answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
9555;transport;query;"what trips are available from [place_name : new york city] to [place_name : poughkeepsie]";"what trips are available from new york city to poughkeepsie";"What trips are available from NYC to Poughkeepsie?"
13494;transport;query;"how long i can go to [place_name : dundee]";"how long i can go to dundee";"how long I can go to XXX"
9554;transport;query;"how do i get to [place_name : poughkeepsie] from [place_name : new york city]";"how do i get to poughkeepsie from new york city";"How do I get to Poughkeepsie from NYC?"
5079;transport;query;"fix the [transport_type : driving] route from here to [place_name : grant market]";"fix the driving route from here to grant market";"fix the driving route from here to grant market"
12017;transport;query;"how do i go to [place_name : athens] by train";"how do i go to athens by train";"How do i go to Athens by train?"
8815;transport;query;"directions to nearest [business_name : apple store]";"directions to nearest apple store";"Directions to nearest Apple Store"
10423;transport;query;"how do i get to the grocery store";"how do i get to the grocery store";"How do I get to the grocery store?"
7173;transport;query;"check time of [transport_name : kalka] [transport_type : train] from [place_name : jodhpur station] on [date : monday]";"check time of kalka train from jodhpur station on monday";"Check time of kalka train From jodhpur station on monday"
15153;transport;query;"how often does the [transport_type : train] arrive and depart from [place_name : penn station]";"how often does the train arrive and depart from penn station";"How often does the train arrive and depart from Penn Station?"
16727;transport;query;"take me to [business_name : tnagar]";"take me to tnagar";"Take me to T.Nagar"
19177;transport;query;"how much is a [transport_type : train] ticket to [place_name : san fransisco]";"how much is a train ticket to san fransisco";"How much is a train ticket to San Fransisco?"
6200;transport;query;"when [transport_name : indianapolis express] will reach [place_name : indiana]";"when indianapolis express will reach indiana";"when Indianapolis Express will reach Indiana."
14483;transport;query;"can you give me [transport_type : train] times for [place_name : ann arbor]";"can you give me train times for ann arbor";"can you give me train times for ann arbor?"
16592;transport;query;"when is the next [transport_type : train] arriving to [place_name : union station from grand central station]";"when is the next train arriving to union station from grand central station";"When is the next train arriving to Union Station from Grand Central Station?"
14163;transport;query;"how much is a round trip [transport_type : train] ticket to go to [place_name : new york]";"how much is a round trip train ticket to go to new york";"How much is a round trip  train ticket to go to New York?"
13044;transport;query;"directions to [place_name : virginia beach] va";"directions to virginia beach va";"Directions to Virginia Beach, VA"
23780;transport;query;"give me the driving directions from [place_name : faripir] to [place_name : gurpur]";"give me the driving directions from faripir to gurpur";"Give me the driving directions from faripir to gurpur"
11046;transport;query;"when is the next [transport_type : train] to [place_name : philadelphia]";"when is the next train to philadelphia";"when is the next train to Philadelphia?"
13042;transport;query;"i need directions to [place_name : lowes in mount h nj]";"i need directions to lowes in mount h nj";"I need directions to Lowes in Mount Holly, NJ"
