answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
19267;alarm;set;"wake me up in [time : thirty minutes]";"wake me up in thirty minutes";"Wake me up in 30 minutes."
3123;alarm;set;"schedule an alarm to wake me up [time : after three hours]";"schedule an alarm to wake me up after three hours";"Schedule an alarm to wake me up after 3 hours."
8853;alarm;set;"set an alarm";"set an alarm";"set an alarm"
10450;alarm;set;"make an alarm for me at [time : five am] [date : tomorrow]";"make an alarm for me at five am tomorrow";"Make an alarm for me at 5am tomorrow"
9159;alarm;set;"set alarm for [time : twelve weeks from today] at [time : eight am]";"set alarm for twelve weeks from today at eight am";"set alarm for 12 weeks from today at 8am"
22798;alarm;set;"wake me up at time";"wake me up at time";"Wake me up at time"
1286;alarm;set;"set wake up [date : Thursday] [time : seven am]";"set wake up Thursday seven am";"Set wake-up Thursday 7 am."
12854;alarm;set;"please set my alarm for [time : five pm]";"please set my alarm for five pm";"Please set my alarm for 5pm."
8738;alarm;set;"get me up in [time : half an hour]";"get me up in half an hour";"Get me up in half an hour"
12268;alarm;set;"wake me up at this time";"wake me up at this time";"Wake me up at this time"
16535;alarm;set;"wake me up at [time : ten]";"wake me up at ten";"Wake me up at ten."
10769;alarm;set;"set an alarm for [time : five hundred and thirty]";"set an alarm for five hundred and thirty";"set an alarm for 5:30"
7846;alarm;set;"put alarm at [time : five am]";"put alarm at five am";"put alarm at 5 AM"
1937;alarm;set;"wake me up on [date : Friday] at [time : five] in the [timeofday : morning] i need to catch the [event_name : train]";"wake me up on Friday at five in the morning i need to catch the train";"wake me up on Friday at 5 in the morning, I need to catch the train"
17554;alarm;set;"set an alarm for [time : seven thirty am]";"set an alarm for seven thirty am";"set an alarm for seven thirty a.m."
2820;alarm;set;"please ring the [alarm_type : wake up] alarm at [time : eight am] next [date : saturday]";"please ring the wake up alarm at eight am next saturday";"please ring the wake up alarm at 8 am next saturday"
20402;alarm;set;"create an alarm for [time : six am]";"create an alarm for six am";"Create an alarm for 6am"
13930;alarm;set;"i need an alarm set for [time : five hundred and thirty am] [date : tomorrow]";"i need an alarm set for five hundred and thirty am tomorrow";"Olly I need an alarm set for 5:30 a.m. tomorrow."
19881;alarm;set;"set a repeating reminder alarm for the [media_type : facebook] event i have to attend on [date : seventh april]";"set a repeating reminder alarm for the facebook event i have to attend on seventh april";"Set a repeating reminder alarm for the Facebook event I have to attend on 7th April."
