answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
8301;iot;hue_lightchange;"transition lights to [color_type : blue] to [color_type : green] to [color_type : yellow]";"transition lights to blue to green to yellow";"transition lights to blue to green to yellow"
4091;iot;hue_lightchange;"change the [house_place : media room] lights from [color_type : purple] to [color_type : green]";"change the media room lights from purple to green";"Change the media room lights from purple to green"
9164;iot;hue_lightchange;"set colour [color_type : blue] for all lights of my house";"set colour blue for all lights of my house";"Set colour blue for all lights of my house"
20288;iot;hue_lightchange;"change the opacity of the color";"change the opacity of the color";"Change the opacity of the color"
18974;iot;hue_lightchange;"make the lights a different color";"make the lights a different color";"make the lights a different color"
15149;iot;hue_lightchange;"light [color_type : green]";"light green";"Light Green"
1701;iot;hue_lightchange;"change the lights into [color_type : green]";"change the lights into green";"Change the lights into green"
9418;iot;hue_lightchange;"replace the current light colours in the house with [color_type : dark] ones";"replace the current light colours in the house with dark ones";"Replace the current light colours in the house with dark ones."
765;iot;hue_lightchange;"set brightness [change_amount : to fifty percent]";"set brightness to fifty percent";"Set brightness to 50%"
17572;iot;hue_lightchange;"change the color of my lights to something [color_type : random]";"change the color of my lights to something random";"Change the color of my lights to something random."
24249;iot;hue_lightchange;"change lighting colours";"change lighting colours";"change lighting colours"
2183;iot;hue_lightchange;"can you [player_setting : shuffle] the light colors in the [house_place : house]";"can you shuffle the light colors in the house";"Can you shuffle the light colors in the house?"
14607;iot;hue_lightchange;"make the lights [color_type : pink] at the [house_place : house]";"make the lights pink at the house";"make the lights pink at the house"
11610;iot;hue_lightchange;"change your colors to something different";"change your colors to something different";"Change your colors to something different."
13328;iot;hue_lightchange;"i want the light to be a little more [color_type : red ish]";"i want the light to be a little more red ish";"I want the light to be a little more red-ish."
11067;iot;hue_lightchange;"make the lights in the [house_place : house] [color_type : red]";"make the lights in the house red";"Make the lights in the house red."
14168;iot;hue_lightchange;"change the lights to [color_type : red]";"change the lights to red";"Change the lights to red."
5695;iot;hue_lightchange;"change my light color to [color_type : yellow]";"change my light color to yellow";"Olly, change my light color to yellow."
24612;iot;hue_lightchange;"change background";"change background";"change background"
