answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
10728;takeaway;order;"order two [food_type : cheeseburgers] from [business_name : wings n. ale] on university drive";"order two cheeseburgers from wings n. ale on university drive";"Order two cheeseburgers from Wings & Ale on University Drive."
11886;takeaway;order;"order me some [food_type : chinese] food";"order me some chinese food";"order me some chinese food"
16621;takeaway;order;"show me [order_type : delivery] near me";"show me delivery near me";"PDA, show me delivery near me."
24736;takeaway;order;"order me the [food_type : fish risotto] from [business_name : the golden fork]";"order me the fish risotto from the golden fork";"Order me the fish risotto from the Golden Fork"
3399;takeaway;order;"can i order [order_type : take out] food at [time : this time]";"can i order take out food at this time";"Can I order take out food at this time?"
4373;takeaway;order;"place a [order_type : take out] order at [business_name : olive garden]";"place a take out order at olive garden";"Place a take out order at Olive Garden."
624;takeaway;order;"please order some [food_type : sushi] for [meal_type : dinner]";"please order some sushi for dinner";"Please, order some sushi for dinner"
10871;takeaway;order;"i'm in the mood to order [order_type : takeaway]";"i'm in the mood to order takeaway";"I'm in the mood to order  takeaway."
23420;takeaway;order;"search for [food_type : pizza] nearby";"search for pizza nearby";"search for pizza nearby"
17700;takeaway;order;"order a double [food_type : bacon cheeseburger] with [food_type : bacon] an white [food_type : american cheese]";"order a double bacon cheeseburger with bacon an white american cheese";"Order a double bacon cheeseburger with bacon an white american cheese."
19414;takeaway;order;"call the nearest [business_type : pizza place] that offers [food_type : buffalo pizza]";"call the nearest pizza place that offers buffalo pizza";"Call the nearest pizza place that offers buffalo pizza."
23206;takeaway;order;"find [business_type : restaurant] order food name";"find restaurant order food name";"find restaurant order food name"
12469;takeaway;order;"schedule a [order_type : delivery] from food at the nearby [order_type : takeaway] [meal_type : diner]";"schedule a delivery from food at the nearby takeaway diner";"Schedule a delivery from food at the nearby takeaway diner"
1920;takeaway;order;"order a [order_type : takeaway] [food_type : sandwich] and [food_type : soup] from the [business_name : italian's]";"order a takeaway sandwich and soup from the italian's";"Order a takeaway sandwich and soup from The Italian's"
25867;takeaway;order;"can you please order some food for me";"can you please order some food for me";"Can you please order some food for me?"
5833;takeaway;order;"order a large [order_type : pepperoni pizza] from [business_name : dominos] to go";"order a large pepperoni pizza from dominos to go";"Order a large pepperoni pizza from Dominos, to go."
14889;takeaway;order;"give me the best [food_type : pizza] deals offered [date : today]";"give me the best pizza deals offered today";"Give me the best pizza deals offered today."
11416;takeaway;order;"hey order me some take out from [business_name : jason's deli]";"hey order me some take out from jason's deli";"Hey PDA, order me some take out from Jason's Deli"
7693;takeaway;order;"hey call the nearest [food_type : chinese] [business_type : restaurant] for a [order_type : takeaway]";"hey call the nearest chinese restaurant for a takeaway";"Hey, call the nearest Chinese restaurant for a takeaway"
16692;takeaway;order;"open the [app_name : grubhub] app so i can order take out";"open the grubhub app so i can order take out";"Open the Grubhub app so I can order take-out."
25196;takeaway;order;"can you order me some [food_type : pizza]";"can you order me some pizza";"Can you order me some pizza?"
16690;takeaway;order;"order some [food_type : fried chicken] from [business_name : church's chicken] via [app_name : grubhub]";"order some fried chicken from church's chicken via grubhub";"Order some fried chicken from Church's Chicken via Grubhub."
6633;takeaway;order;"free home [order_type : delivery]";"free home delivery";"free home delivery"
