answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
22772;datetime;convert;"how much later is [place_name : new york] than [place_name : la]";"how much later is new york than la";"how much later is new york than L.A.?"
3214;datetime;convert;"change the time zone from [place_name : washington] to [place_name : new york]";"change the time zone from washington to new york";"change the time zone from washington to new york"
4554;datetime;convert;"if it's [time : sunrise] in [place_name : stockholm] what time is it in [place_name : okinawa]";"if it's sunrise in stockholm what time is it in okinawa";"If it's sunrise in Stockholm, what time is it in Okinawa?"
23499;datetime;convert;"change the time zone from [time_zone : irish] time zone to [time_zone : moscow] time zone";"change the time zone from irish time zone to moscow time zone";"Change the time zone from irish time zone to moscow time zone"
4007;datetime;convert;"how many hours difference is [place_name : hong kong] from [place_name : new york city]";"how many hours difference is hong kong from new york city";"How many hours difference is Hong Kong from New York City?"
21155;datetime;convert;"[time : eight am] in [place_name : manila] is what in [place_name : new york]";"eight am in manila is what in new york";"8 AM in Manila is what in New York?"
4648;datetime;convert;"convert [place_name : new york] time to [place_name : london]";"convert new york time to london";"Convert New York Time to London"
4553;datetime;convert;"if it's [time : midnight] in [place_name : colorado] what time is it in [place_name : munich]";"if it's midnight in colorado what time is it in munich";"If it's midnight in Colorado, what time is it in Munich?"
15508;datetime;convert;"convert [time_zone : g. m. t.] to [time_zone : ist]";"convert g. m. t. to ist";"Convert GMT to IST."
25720;datetime;convert;"switch to [place_name : los angeles] time";"switch to los angeles time";"switch to Los Angeles time"
4903;datetime;convert;"it's [time : eight fifty five] here what time is it in [place_name : england]";"it's eight fifty five here what time is it in england";"It's 8:55 here, what time is it in England?"
3215;datetime;convert;"change this time zone to [place_name : washington]";"change this time zone to washington";"change this time zone to wasington"
5985;datetime;convert;"what is the time difference between [place_name : california] and [place_name : michegan]";"what is the time difference between california and michegan";"What is the time difference between California and Michegan?"
17779;datetime;convert;"can you change my time zone from [time_zone : central] time to [time_zone : pacific]";"can you change my time zone from central time to pacific";"Olly can you change my timezone from central time to pacific?"
6151;datetime;convert;"what is time now in [place_name : japan] compared to [place_name : usa]";"what is time now in japan compared to usa";"What is time now in Japan compared to USA."
