answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
27067;qa;currency;"what is the exchange rate for [currency_name : dollars] to pounds";"what is the exchange rate for dollars to pounds";"What is the exchange rate for [currency_source : dollars] to pounds?"
19630;qa;currency;"new exchange rate";"new exchange rate";"New exchange rate?"
15777;qa;currency;"what is the exchange rate between the [currency_name : dollar] and the [currency_name : euro] currently";"what is the exchange rate between the dollar and the euro currently";"What is the exchange rate between the dollar and the Euro currently?"
26300;qa;currency;"what is the exchange rate of [currency_name : euro] [date : today] to [currency_name : dirham]";"what is the exchange rate of euro today to dirham";"What is the exchange rate of Euro today to dirham"
25644;qa;currency;"exchanges rates any problems";"exchanges rates any problems";"EXCHANGES RATES ANY PROBLEMS"
22255;qa;currency;"how much is ten [currency_name : u. s. d.] to [currency_name : cad]";"how much is ten u. s. d. to cad";"how much is 10 USD to CAD"
23635;qa;currency;"give me the exchange rate between [currency_name : united states dollar] and [currency_name : japanese yen]";"give me the exchange rate between united states dollar and japanese yen";"Give me the exchange rate between United States Dollar and Japanese Yen"
24944;qa;currency;"what's the current exchange rate for the [currency_name : euro] against [currency_name : u. s. d.]";"what's the current exchange rate for the euro against u. s. d.";"What's the current exchange rate for the euro against USD?"
19352;qa;currency;"what's the exchange rate between [currency_name : czk] and [currency_name : euro]";"what's the exchange rate between czk and euro";"What's the exchange rate between CZK and euro?"
22237;qa;currency;"please give me detail one [currency_name : dollars] equals [currency_name : rs]";"please give me detail one dollars equals rs";"please give me detail 1 $ = Rs"
21044;qa;currency;"forex rate of [currency_name : euro] to [currency_name : u. s. d.]";"forex rate of euro to u. s. d.";"forex rate of euro to usd"
26520;qa;currency;"tell me the exchange rate [currency_name : us] versus [currency_name : indian rupees]";"tell me the exchange rate us versus indian rupees";"tell me the exchange rate US$ v/s Indian Rupees"
25376;qa;currency;"what's the [currency_name : pound] to [currency_name : dollar] exchange rate";"what's the pound to dollar exchange rate";"What's the pound to dollar exchange rate?"
19365;qa;currency;"what is the exchange of [currency_name : euro] to [currency_name : dollars]";"what is the exchange of euro to dollars";"What is the exchange of Euro to [currency_source : dollars]"
2614;qa;currency;"tell me the current dollar ratio for the [place_name : us] and [place_name : canada]";"tell me the current dollar ratio for the us and canada";"tell me the current dollar ratio for the US and Canada"
21099;qa;currency;"give me the exchange rate between [currency_name : japanese yen] and the [currency_name : australian dollar]";"give me the exchange rate between japanese yen and the australian dollar";"Give me the exchange rate between [] and []"
25995;qa;currency;"what is the currency conversion charges applicable";"what is the currency conversion charges applicable";"what is the currency conversion charges applicable."
25307;qa;currency;"is a [currency_name : peso] worth more than a [currency_name : dollar]";"is a peso worth more than a dollar";"is a peso worth more than a dollar"
22858;qa;currency;"how much is a [currency_name : g. b. p.] in [currency_name : u. s. d.]";"how much is a g. b. p. in u. s. d.";"How much is a GBP in USD?"
