answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
23699;play;game;"play for me the game [game_name : temple run]";"play for me the game temple run";"Play for me the Game Temple Run"
27087;play;game;"i want to play [game_name : solitare] with you";"i want to play solitare with you";"I want to play solitare with you."
26140;play;game;"can we play [game_name : twenty questions]";"can we play twenty questions";"Can we play Twenty Questions?"
22479;play;game;"give me a company for playing [game_name : football]";"give me a company for playing football";"Give me a company for playing football"
25708;play;game;"my games to play in my phones";"my games to play in my phones";"MY GAMES TO PLAY IN MY PHONES"
22915;play;game;"let's play";"let's play";"Let's play"
26378;play;game;"play [game_name : tennis] for me";"play tennis for me";"Play Tennis for me"
23617;play;game;"lets play [game_name : poker]";"lets play poker";"Lets play poker."
18282;play;game;"anyone for [game_name : tennis]";"anyone for tennis";"Anyone for tennis?"
25350;play;game;"play [game_name : pong] against me";"play pong against me";"play pong against me"
18784;play;game;"play [game_name : solitaire]";"play solitaire";"Play Solitaire"
24830;play;game;"we should play [game_name : nfs] at high speed";"we should play nfs at high speed";"we should play nfs at high speed"
15962;play;game;"can we play a game of [game_name : hangman]";"can we play a game of hangman";"Can we play a game of hangman?"
26019;play;game;"do you want to play [game_name : monopoly] with me";"do you want to play monopoly with me";"Do you want to play Monopoly with me?"
24192;play;game;"bring up [game_name : papa pear saga]";"bring up papa pear saga";"bring up papa pear saga"
22149;play;game;"play [game_name : checkers] with me";"play checkers with me";"play checkers with me"
22475;play;game;"fight me in [game_name : street fighter]";"fight me in street fighter";"Fight me in Street Fighter"
26251;play;game;"[game_name : paper scissors or stone]";"paper scissors or stone";"Paper, scissors or stone?"
21264;play;game;"start [game_name : poker] game with me";"start poker game with me";"Start poker game with me."
24907;play;game;"start up [game_name : league of legends] for me";"start up league of legends for me";"Start up League of Legends for me."
26766;play;game;"we are going to play [game_name : poker] together";"we are going to play poker together";"We are going to play poker together."
24831;play;game;"can you take a role of enemy in the game of [game_name : coc]";"can you take a role of enemy in the game of coc";"can you take a role of enemy in the game of coc"
24380;play;game;"run game";"run game";"run game"
26478;play;game;"open [game_name : parcheese game] for you and i";"open parcheese game for you and i";"Open parcheese game for you and i."
26477;play;game;"let's [game_name : roll the dice]";"let's roll the dice";"Let's roll the dice."
22115;play;game;"launch game";"launch game";"Launch game"
26142;play;game;"can you do [game_name : name that tune]";"can you do name that tune";"Can you do Name That Tune?"
26171;play;game;"play the latest games";"play the latest games";"play the latest games."
18786;play;game;"start up [game_name : bejeweled]";"start up bejeweled";"Start up bejeweled"
23227;play;game;"let's play our favourite [game_name : football match] on [device_type : tv]";"let's play our favourite football match on tv";"let's play our favroite football match on tv"
23875;play;game;"play this game with me";"play this game with me";"play this game with me"
22116;play;game;"find game";"find game";"Find game"
26042;play;game;"list the games you can play with me";"list the games you can play with me";"List the games you can play with me."
null;play;game;"can you play [game_name : monopoly] with me";"can you play monopoly with me";"null"
16039;play;game;"play [game_name : flappy bird]";"play flappy bird";"Play Flappy Bird."
26819;play;game;"i need to play [game_name : sims]";"i need to play sims";"I need to play Sims"
16041;play;game;"turn on [game_name : flappy bird]";"turn on flappy bird";"Olly, turn on Flappy Bird."
22456;play;game;"let's play [game_name : space invaders]";"let's play space invaders";"let's play space invaders"
17414;play;game;"start [game_name : words with friends]";"start words with friends";"Start words with friends"
26909;play;game;"i challenge you to a game of [game_name : tic tac toe]";"i challenge you to a game of tic tac toe";"Olly, I challenge you to a game of tic-tac-toe."
23802;play;game;"please open [game_name : blokus] game i would like to play with you";"please open blokus game i would like to play with you";"Please open Blokus game, I would like to play with you"
27352;play;game;"Please play this game";"Please play this game";"PDA please play this game"
22343;play;game;"open [game_name : tic tac toe]";"open tic tac toe";"Open tic tac toe"
26456;play;game;"open games";"open games";"Open games"
22374;play;game;"play [game_name : gta vice city] game";"play gta vice city game";"Play GTA vice city game."
22477;play;game;"please play [game_name : football] with me";"please play football with me";"Please play football with me"
24355;play;game;"play [game_name : chess]";"play chess";"play chess"
24639;play;game;"play for me the game [game_name : cricket]";"play for me the game cricket";"Play for me the game Cricket"
17413;play;game;"play [game_name : scrabble] with me";"play scrabble with me";"Play scrabble with me"
20588;play;game;"play me a game of [game_name : tic tac toe]";"play me a game of tic tac toe";"Play me a game of tic-tac-toe"
24838;play;game;"let's play [game_name : fmod]";"let's play fmod";"Ok Google, let's play FMOD"
17168;play;game;"lets play";"lets play";"lets play"
20505;play;game;"please begin [game_name : clash of clans]";"please begin clash of clans";"Please begin clash of clans"
17497;play;game;"open [game_name : chess] app and begin game";"open chess app and begin game";"Open chess app and begin game"
23351;play;game;"do a tournament with me in [game_name : candy crush]";"do a tournament with me in candy crush";"Do a tournament with me in Candy Crush"
27280;play;game;"shall we play a game";"shall we play a game";"Shall we play a game?"
16867;play;game;"open up [game_name : tetris]";"open up tetris";"Open up tetris."
26266;play;game;"please play [game_name : trivial pursuit] with me";"please play trivial pursuit with me";"Please play Trivial Pursuit with me."
null;play;game;"let's play [game_name : chess]";"let's play chess";"null"
16449;play;game;"i feel like playing [game_name : chess] can you play that";"i feel like playing chess can you play that";"I feel like playing chess, can you play that?"
23371;play;game;"open [game_name : temple run] game";"open temple run game";"open temple run game"
17429;play;game;"open [game_name : chess] play against me";"open chess play against me";"Open chess, play against me"
22478;play;game;"play [game_name : football] with me";"play football with me";"Play football with me"
20589;play;game;"let's play a game how about [game_name : tic tac toe]";"let's play a game how about tic tac toe";"Let's play a game.  How about tic-tac-toe"
24191;play;game;"play [game_name : papa pear saga]";"play papa pear saga";"play papa pear saga"
23354;play;game;"play [game_name : tic tac toe] with me";"play tic tac toe with me";"Play tic-tac-toe with me"
16089;play;game;"play [game_name : subway surfers] with me";"play subway surfers with me";"Play Subway surfers with me."
23355;play;game;"lets play [game_name : chess] together";"lets play chess together";"Lets play chess together"
24379;play;game;"play game";"play game";"play game"
16447;play;game;"can you play [game_name : tic tac toe]";"can you play tic tac toe";"Can you play tic tac toe?"
24829;play;game;"play a game of [game_name : contra] as a second player";"play a game of contra as a second player";"play a game of contra as a second player"
24436;play;game;"play a game of [game_name : chess] with me";"play a game of chess with me";"Play a game of Chess with me."
21187;play;game;"please play my [game_name : cricket] game";"please play my cricket game";"PLEASE PLAY MY CRICKET GAME."
27152;play;game;"Lets play [game_name : tic tac toe]";"Lets play tic tac toe";"Olly, lets play tic tac toe."
24758;play;game;"[game_name : mario]";"mario";"mario"
21219;play;game;"start [game_name : angry bird]";"start angry bird";"start angry bird"
21320;play;game;"want to play a [game_name : game of trivia]";"want to play a game of trivia";"Olly, want to play a game of trivia?"
17167;play;game;"want to play a game";"want to play a game";"want to play a game?"
21173;play;game;"i want to play a game";"i want to play a game";"I want to play a game"
22457;play;game;"let's play [game_name : space invaders] together";"let's play space invaders together";"let's play space invaders together"
23698;play;game;"play for me the game [game_name : star wars]";"play for me the game star wars";"Play for me the Game Star Wars"
25709;play;game;"my games to play in my computers";"my games to play in my computers";"MY GAMES TO PLAY IN MY COMPUTERS"
26141;play;game;"i want to play a [game_name : trivia game]";"i want to play a trivia game";"I want to play a trivia game."
18595;play;game;"can you play a game with me";"can you play a game with me";"Can you play a game with me"
26170;play;game;"Play my favorite game by name [game_name : naughty dog]";"Play my favorite game by name naughty dog";"play my favorite game.by name xxxxx"
