answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
12581;news;query;"add newscast time to daily schedule";"add newscast time to daily schedule";"add newscast time to daily schedule"
8765;news;query;"what were the cities affected by the earthquake";"what were the cities affected by the earthquake";"What were the cities affected by the earthquake?"
8784;news;query;"head lines [date : today] from news";"head lines today from news";"head lines today from news"
10622;news;query;"what is the [place_name : seattle] [news_topic : city council doing about homelessness]";"what is the seattle city council doing about homelessness";"What is the Seattle city council doing about homelessness?"
6943;news;query;"find me any news from [media_type : so clean] the [time : last six hours]";"find me any news from so clean the last six hours";"Find me any news from SO CLEAN the last 6 hours?"
11860;news;query;"what is the latest headline news from this [media_type : newsource]";"what is the latest headline news from this newsource";"What is the latest headline news from this newsource"
3261;news;query;"could you please find me the latest news from a source that i do not usually go to";"could you please find me the latest news from a source that i do not usually go to";"Could you please find me the latest news from a source that I do not usually go to?"
19508;news;query;"please keep tabs on how the [news_topic : presidential debates] are going";"please keep tabs on how the presidential debates are going";"Please keep tabs on how the presidential debates are going."
9562;news;query;"what's happening around the [place_name : world]";"what's happening around the world";"What's happening around the world?"
15572;news;query;"i want to know everything that breaks about the dam breaking in [place_name : california]";"i want to know everything that breaks about the dam breaking in california";"I want to know everything that breaks about the dam breaking in California."
20274;news;query;"what is the latest news about [news_topic : obamacare]";"what is the latest news about obamacare";"What is the latest news about Obamacare"
21517;news;query;"show news of [news_topic : migration]";"show news of migration";"show news of migration"
4487;news;query;"find new [news_topic : trump] articles but not from [media_type : fox news]";"find new trump articles but not from fox news";"Find new Trump articles but not from Fox News."
13552;news;query;"what's the latest news from [media_type : xinhua]";"what's the latest news from xinhua";"what's the latest news from Xinhua?"
14362;news;query;"find me info on [news_topic : cars]";"find me info on cars";"find me info on cars"
13640;news;query;"Show me news from [media_type : cnn]";"Show me news from cnn";"Show me news from CNN"
1846;news;query;"what is the current state of [news_topic : brexit negotiations]";"what is the current state of brexit negotiations";"What is the current state of Brexit negotiations?"
5026;news;query;"fast me the news of [news_topic : academy awards]";"fast me the news of academy awards";"Fast me the news of academy awards"
5027;news;query;"i want the news about [news_topic : academy awards]";"i want the news about academy awards";"I want the news about academy award"
25425;news;query;"latest updates";"latest updates";"latest updates"
15662;news;query;"hey olly tell my [date : today's] top news";"hey olly tell my today's top news";"hey siri tell my today's top news"
10422;news;query;"is there any new [news_topic : environmental] news";"is there any new environmental news";"Is there any new environmental news?"
1755;news;query;"[media_type : hackernews]";"hackernews";"Olly Hackernews"
17948;news;query;"look up news articles about [person : trump]";"look up news articles about trump";"Look up news articles about Trump"
10845;news;query;"headline news for [place_name : texas]";"headline news for texas";"Headline news for Texas"
8441;news;query;"give me the [news_topic : winning numbers to the powerball lottery]";"give me the winning numbers to the powerball lottery";"Give me the winning numbers to the powerball lottery."
20585;news;query;"[news_topic : dea guam prescription drug abuse on the rise]";"dea guam prescription drug abuse on the rise";"DEA: Guam prescription drug abuse on the rise"
16891;news;query;"what is the latest news from [media_type : cbs]";"what is the latest news from cbs";"WHat is the latest news from CBS?"
26263;news;query;"what's going on at the [place_name : capitol]";"what's going on at the capitol";"What's going on at the capitol?"
16524;news;query;"please find me the pe most recent news on";"please find me the pe most recent news on";"Please find me the most recent news on"
2754;news;query;"what is new news for [date : today]";"what is new news for today";"what is new news for today"
12552;news;query;"what are the most recent headlines on [media_type : cnn]";"what are the most recent headlines on cnn";"Cortana, what are the most recent headlines on CNN?"
10560;news;query;"is anything different [date : today] about [news_topic : blank]";"is anything different today about blank";"Is anything different today about blank"
15430;news;query;"what's happening [date : today]";"what's happening today";"What's happening today?"
25685;news;query;"search for the latest news about [news_topic : iphone]";"search for the latest news about iphone";"Search for the latest news about Iphone"
11857;news;query;"what is new in [news_topic : politics] [date : today] can you filter out [person : trump] news though";"what is new in politics today can you filter out trump news though";"What is new in politics today? Can you filter out Trump news though?"
6239;news;query;"what went on in the world [date : today]";"what went on in the world today";"What went on in the world today?"
21690;news;query;"how are things in the [place_name : world]";"how are things in the world";"How are things in the world?"
7276;news;query;"how is [news_topic : president's trump office proceeding]";"how is president's trump office proceeding";"how is president's trump office proceeding?"
22437;news;query;"show me [media_type : rediff masala]";"show me rediff masala";"Show me rediff masala"
17329;news;query;"keep me updated on the [news_topic : election] results";"keep me updated on the election results";"Keep me updated on the election results"
9786;news;query;"what are [date : today's] headlines";"what are today's headlines";"What are today's headlines?"
3911;news;query;"breaking news [media_type : fox] news";"breaking news fox news";"Breaking news Fox News"
7529;news;query;"what is the news [date : today]";"what is the news today";"what is the news today?"
7863;news;query;"what does the analysts say about the new [news_topic : immigration policies]";"what does the analysts say about the new immigration policies";"What does the analysts say about the new immigration policies?"
21688;news;query;"check the news";"check the news";"Check the news."
26397;news;query;"please let me know about topic [news_topic : elections]";"please let me know about topic elections";"please let me know about topic X"
21496;news;query;"show current news from [media_type : bbc]";"show current news from bbc";"show current news form bbc"
12629;news;query;"tell me the top stories in the news";"tell me the top stories in the news";"Tell me the top stories in the news."
2393;news;query;"open news about [news_topic : bp oil]";"open news about bp oil";"open news about BP Oil"
7866;news;query;"get me [news_topic : match highlights]";"get me match highlights";"Get me match highlights"
2753;news;query;"what is [news_topic : trending]";"what is trending";"what is trending"
5685;news;query;"let me know when you hear about [news_topic : france]";"let me know when you hear about france";"let me know when you hear about france."
26265;news;query;"give me the latest on [news_topic : paul ryan]";"give me the latest on paul ryan";"Give me the latest on paul ryan."
17635;news;query;"have there been updates on [news_topic : abortion law]";"have there been updates on abortion law";"Have there been updates on abortion law?"
