answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
874;general;negate;"thanks but i think you don't understand this correctly.";"thanks but i think you don't understand this correctly.";"thanks but i think you don't understand this correctly."
864;general;negate;"sorry but i think you've got that not right.";"sorry but i think you've got that not right.";"sorry but i think you've got that not right."
658;general;negate;"i didn't say it.";"i didn't say it.";"i didn't say it."
913;general;negate;"shit, not right.";"shit, not right.";"shit, not right."
404;general;negate;"i think it is not correct response.";"i think it is not correct response.";"i think it is not correct response."
868;general;negate;"thanks but you have understood this wrongly.";"thanks but you have understood this wrongly.";"thanks but you have understood this wrongly."
556;general;negate;"wait, i think that's not the right answer.";"wait, i think that's not the right answer.";"wait, i think that's not the right answer."
138;general;negate;"that wasn't right.";"that wasn't right.";"that wasn't right."
75;general;negate;"oops, you're not correct.";"oops, you're not correct.";"oops, you're not correct."
660;general;negate;"wait, you did not interpret command right.";"wait, you did not interpret command right.";"wait, you did not interpret command right."
720;general;negate;"you have done a wrong thing.";"you have done a wrong thing.";"you have done a wrong thing."
249;general;negate;"wait, this is not the correct answer.";"wait, this is not the correct answer.";"wait, this is not the correct answer."
164;general;negate;"thanks but i think you do not get me.";"thanks but i think you do not get me.";"thanks but i think you do not get me."
57;general;negate;"no, this is not what i am looking for.";"no, this is not what i am looking for.";"no, this is not what i am looking for."
98;general;negate;"uhh no, incorrect command.";"uhh no, incorrect command.";"uhh no, incorrect command."
227;general;negate;"i think you don't get answer right.";"i think you don't get answer right.";"i think you don't get answer right."
118;general;negate;"i think you did a task all wrong.";"i think you did a task all wrong.";"i think you did a task all wrong."
871;general;negate;"uh no, you did not understand what i am searching for.";"uh no, you did not understand what i am searching for.";"uh no, you did not understand what i am searching for."
388;general;negate;"i am sorry but i think it was not the correct answer.";"i am sorry but i think it was not the correct answer.";"i am sorry but i think it was not the correct answer."
599;general;negate;"dammit, that's not what i meant.";"dammit, that's not what i meant.";"dammit, that's not what i meant."
614;general;negate;"thanks but i think that was not the correct command.";"thanks but i think that was not the correct command.";"thanks but i think that was not the correct command."
340;general;negate;"that was incorrect let's try again.";"that was incorrect let's try again.";"that was incorrect let's try again."
442;general;negate;"no, i think that's not the right response.";"no, i think that's not the right response.";"no, i think that's not the right response."
678;general;negate;"you didn't say my name right.";"you didn't say my name right.";"you didn't say my name right."
535;general;negate;"it seems like olly's command was not right.";"it seems like olly's command was not right.";"it seems like olly's command was not right."
449;general;negate;"i am sorry but you did not interpret command right.";"i am sorry but you did not interpret command right.";"i am sorry but you did not interpret command right."
452;general;negate;"i think you've done this all in wrong manner.";"i think you've done this all in wrong manner.";"i think you've done this all in wrong manner."
528;general;negate;"dont do that again.";"dont do that again.";"dont do that again."
465;general;negate;"i did not say it.";"i did not say it.";"i did not say it."
480;general;negate;"uh no, you've done in wrong manner.";"uh no, you've done in wrong manner.";"uh no, you've done in wrong manner."
