answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
78;general;praise;"you are my hero, thank you very much, olly.";"you are my hero, thank you very much, olly.";"you are my hero, thank you very much, olly."
148;general;praise;"you have done it correctly thanks, olly.";"you have done it correctly thanks, olly.";"you have done it correctly thanks, olly."
519;general;praise;"ah that's nice one.";"ah that's nice one.";"ah that's nice one."
599;general;praise;"you rock, thank you very much, olly.";"you rock, thank you very much, olly.";"you rock, thank you very much, olly."
718;general;praise;"fantastic job, you did well.";"fantastic job, you did well.";"fantastic job, you did well."
658;general;praise;"that's good, thanks.";"that's good, thanks.";"that's good, thanks."
785;general;praise;"appreciate your answers, olly.";"appreciate your answers, olly.";"appreciate your answers, olly."
771;general;praise;"you are my star, thank you so much, olly.";"you are my star, thank you so much, olly.";"you are my star, thank you so much, olly."
409;general;praise;"that was cool, i appreciate it.";"that was cool, i appreciate it.";"that was cool, i appreciate it."
304;general;praise;"fantastic job, you've done well, olly.";"fantastic job, you've done well, olly.";"fantastic job, you've done well, olly."
615;general;praise;"great work, you did well, olly.";"great work, you did well, olly.";"great work, you did well, olly."
582;general;praise;"that is cool, thanks, olly.";"that is cool, thanks, olly.";"that is cool, thanks, olly."
5;general;praise;"thank you for the response, olly.";"thank you for the response, olly.";"thank you for the response, olly."
413;general;praise;"you've done it right.";"you've done it right.";"you've done it right."
524;general;praise;"well done, appreciated.";"well done, appreciated.";"well done, appreciated."
110;general;praise;"excellent work, you have done well.";"excellent work, you have done well.";"excellent work, you have done well."
776;general;praise;"awesome job, you did well.";"awesome job, you did well.";"awesome job, you did well."
280;general;praise;"it's great one, thank you very much.";"it's great one, thank you very much.";"it's great one, thank you very much."
635;general;praise;"it's helpful, appreciated.";"it's helpful, appreciated.";"it's helpful, appreciated."
759;general;praise;"that's helpful,.";"that's helpful,.";"that's helpful,."
42;general;praise;"that's perfect, musch appreciated.";"that's perfect, musch appreciated.";"that's perfect, musch appreciated."
305;general;praise;"thank you so much.";"thank you so much.";"thank you so much."
487;general;praise;"fantastic job, you did well, olly.";"fantastic job, you did well, olly.";"fantastic job, you did well, olly."
87;general;praise;"perfect work, you've done well, olly.";"perfect work, you've done well, olly.";"perfect work, you've done well, olly."
580;general;praise;"appreciate your helping, olly.";"appreciate your helping, olly.";"appreciate your helping, olly."
234;general;praise;"it is great one, thank you.";"it is great one, thank you.";"it is great one, thank you."
163;general;praise;"you did awesome job,.";"you did awesome job,.";"you did awesome job,."
147;general;praise;"that's wonderful work, thank you.";"that's wonderful work, thank you.";"that's wonderful work, thank you."
282;general;praise;"you've done it right thank you so much.";"you've done it right thank you so much.";"you've done it right thank you so much."
412;general;praise;"you helped a lot, i appreciate it, olly.";"you helped a lot, i appreciate it, olly.";"you helped a lot, i appreciate it, olly."
731;general;praise;"it's useful,, olly.";"it's useful,, olly.";"it's useful,, olly."
96;general;praise;"you have done that correctly thanks.";"you have done that correctly thanks.";"you have done that correctly thanks."
140;general;praise;"thanks, it's perfect, olly.";"thanks, it's perfect, olly.";"thanks, it's perfect, olly."
322;general;praise;"that's cool, thank you very much, olly.";"that's cool, thank you very much, olly.";"that's cool, thank you very much, olly."
67;general;praise;"you are awesome, thanks.";"you are awesome, thanks.";"you are awesome, thanks."
50;general;praise;"i appreciate your helping.";"i appreciate your helping.";"i appreciate your helping."
611;general;praise;"you are so helpful, musch appreciated, olly.";"you are so helpful, musch appreciated, olly.";"you are so helpful, musch appreciated, olly."
115;general;praise;"you've done it correctly thank you.";"you've done it correctly thank you.";"you've done it correctly thank you."
577;general;praise;"you are my hero, thank you so much, olly.";"you are my hero, thank you so much, olly.";"you are my hero, thank you so much, olly."
569;general;praise;"that was helpful,.";"that was helpful,.";"that was helpful,."
239;general;praise;"thank you so much for the information.";"thank you so much for the information.";"thank you so much for the information."
24;general;praise;"thanks for doing that.";"thanks for doing that.";"thanks for doing that."
294;general;praise;"it was cool, thank you very much.";"it was cool, thank you very much.";"it was cool, thank you very much."
170;general;praise;"you are helpful, appreciated.";"you are helpful, appreciated.";"you are helpful, appreciated."
564;general;praise;"it's helpful, thank you very much.";"it's helpful, thank you very much.";"it's helpful, thank you very much."
8;general;praise;"awesome work, you've done well.";"awesome work, you've done well.";"awesome work, you've done well."
396;general;praise;"thank you so much for your helping.";"thank you so much for your helping.";"thank you so much for your helping."
473;general;praise;"that is nice work, thanks.";"that is nice work, thanks.";"that is nice work, thanks."
336;general;praise;"well done,.";"well done,.";"well done,."
674;general;praise;"amazing job, you have done well.";"amazing job, you have done well.";"amazing job, you have done well."
1;general;praise;"that's good one, thank you very much.";"that's good one, thank you very much.";"that's good one, thank you very much."
562;general;praise;"ah it was great one, olly.";"ah it was great one, olly.";"ah it was great one, olly."
547;general;praise;"it's good one, appreciated.";"it's good one, appreciated.";"it's good one, appreciated."
248;general;praise;"thank you for doing it, olly.";"thank you for doing it, olly.";"thank you for doing it, olly."
215;general;praise;"it was nice one, thanks.";"it was nice one, thanks.";"it was nice one, thanks."
673;general;praise;"thanks for your answers.";"thanks for your answers.";"thanks for your answers."
55;general;praise;"thank you very much, olly.";"thank you very much, olly.";"thank you very much, olly."
79;general;praise;"thanks for reminding me.";"thanks for reminding me.";"thanks for reminding me."
354;general;praise;"thanks for asssistance.";"thanks for asssistance.";"thanks for asssistance."
624;general;praise;"ah it's great work.";"ah it's great work.";"ah it's great work."
470;general;praise;"thank you very much for listening.";"thank you very much for listening.";"thank you very much for listening."
752;general;praise;"you are awesome, i appreciate it.";"you are awesome, i appreciate it.";"you are awesome, i appreciate it."
133;general;praise;"you've done that correctly thanks.";"you've done that correctly thanks.";"you've done that correctly thanks."
654;general;praise;"thank you so much for the help, olly.";"thank you so much for the help, olly.";"thank you so much for the help, olly."
226;general;praise;"you rock, musch appreciated.";"you rock, musch appreciated.";"you rock, musch appreciated."
