answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
21372;transport;traffic;"is it possible to drive now in [place_name : ohio]";"is it possible to drive now in ohio";"is it possible to drive now in ohio"
16201;transport;traffic;"how is traffic in city";"how is traffic in city";"HOW IS TRAFFIC IN CITY"
17485;transport;traffic;"what is the current traffic";"what is the current traffic";"What is the current traffic"
24122;transport;traffic;"is there any traffic";"is there any traffic";"Is there any traffic?"
12696;transport;traffic;"are there are any delays on my commute";"are there are any delays on my commute";"Are there are any delays on my commute?"
2049;transport;traffic;"what the traffic condition outside my [place_name : office]";"what the traffic condition outside my office";"what the traffic condition outside my office?"
7185;transport;traffic;"in [place_name : jodhpur] traffic level is very low";"in jodhpur traffic level is very low";"In Jodhpur traffic level is very Low"
9198;transport;traffic;"outside traffic status please";"outside traffic status please";"Outside Traffic  status please"
19293;transport;traffic;"show me the current traffic [place_name : nearby me]";"show me the current traffic nearby me";"Show me the current traffic nearby me"
6291;transport;traffic;"give information about the traffic near my location please";"give information about the traffic near my location please";"Give information about the traffic near my location please."
21276;transport;traffic;"just how bad is traffic on my commute";"just how bad is traffic on my commute";"just how bad is traffic on my commute"
16578;transport;traffic;"how much traffic does [place_name : atlanta georgia] usually have";"how much traffic does atlanta georgia usually have";"How much traffic does Atlanta, Georgia usually have?"
2359;transport;traffic;"what is the traffic like right now on [place_name : telegraph]";"what is the traffic like right now on telegraph";"what is the traffic like right now on telegraph?"
16759;transport;traffic;"what's the traffic this [timeofday : morning]";"what's the traffic this morning";"What's the traffic this morning?"
6558;transport;traffic;"accident or normal traffic";"accident or normal traffic";"Accident or normal traffic"
6162;transport;traffic;"how long will it take me to get to [place_name : park avenue] considering current traffic";"how long will it take me to get to park avenue considering current traffic";"How long will it take me to get to Park Avenue considering current traffic?"
2707;transport;traffic;"what are the traffic conditions on the [place_name : one hundred and one]";"what are the traffic conditions on the one hundred and one";"What are the traffic conditions on the 101?"
6289;transport;traffic;"how's the traffic [place_name : downtown]";"how's the traffic downtown";"How's the traffic downtown?"
10659;transport;traffic;"how is traffic on the [place_name : highway]";"how is traffic on the highway";"How is traffic on the highway?"
