answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
14623;qa;factoid;"what year what the eiffel tower built";"what year what the eiffel tower built";"what year what the Eiffel tower built"
26220;qa;factoid;"when does the [event_name : super bowl] officially start";"when does the super bowl officially start";"When does the super bowl officially start?"
14210;qa;factoid;"how many months in a year";"how many months in a year";"How many months in a year?"
19141;qa;factoid;"how many pages long is harry potter";"how many pages long is harry potter";"how many pages long is harry potter"
16917;qa;factoid;"where do cows come from";"where do cows come from";"PDA, where do cows come from?"
24655;qa;factoid;"where is [place_name : italy]";"where is italy";"where is contry x"
24232;qa;factoid;"give me the birth date of [person : mahatma gandhi]";"give me the birth date of mahatma gandhi";"Give me the birth date of Mahatma Gandhi"
23294;qa;factoid;"which continent has highest growth of cotton and what is average production";"which continent has highest growth of cotton and what is average production";"which continent has highest growth of cotton and what is avg. production"
9187;qa;factoid;"when is [artist_name : shakira's] [event_name : birthday]";"when is shakira's birthday";"When is Shakira's birthday?"
21020;qa;factoid;"please tell me about the historic facts about [place_name : india]";"please tell me about the historic facts about india";"PLEAE TELL ME ABOUT THE HISTORIC FACTS ABOUT INDIA"
26968;qa;factoid;"how old is [person : emma watson] newest boyfriend";"how old is emma watson newest boyfriend";"how old is Emma Watson newest boyfriend?"
24146;qa;factoid;"who assassinated [person : lincoln]";"who assassinated lincoln";"who assassinated lincoln"
26389;qa;factoid;"tell me when will indians economy touch that of americas";"tell me when will indians economy touch that of americas";"Tell me when will indias economy touch that of Americas."
26988;qa;factoid;"info on [person : lisa ann] please";"info on lisa ann please";"info on lisa ann please"
8075;qa;factoid;"calculate distance from [place_name : boston] to [place_name : new york]";"calculate distance from boston to new york";"Calculate distance from Boston to New York"
20240;qa;factoid;"what year did [person : george clooney] start acting";"what year did george clooney start acting";"What year did George Clooney start acting?"
12876;qa;factoid;"tell me who will win the next presidential election";"tell me who will win the next presidential election";"Tell me who will win the next presidential election."
19057;qa;factoid;"what is the capital of new hampshire";"what is the capital of new hampshire";"what is the capital of new hampshire?"
7056;qa;factoid;"name the capital of [place_name : nigeria]";"name the capital of nigeria";"Name the capital of Nigeria?"
14345;qa;factoid;"how many legs does a dog have";"how many legs does a dog have";"How many legs does a dog have?"
24344;qa;factoid;"who was the first president of [place_name : united states]";"who was the first president of united states";"Who was the first president of United States"
13831;qa;factoid;"where is place";"where is place";"where is place?"
25414;qa;factoid;"what's the capital of [place_name : tanzania]";"what's the capital of tanzania";"What's the capital of Tanzania?"
27225;qa;factoid;"search for [person : pink's] [media_type : youtube] channel";"search for pink's youtube channel";"olly search for pink's youtube channel"
10564;qa;factoid;"how many sides are on a pentagon";"how many sides are on a pentagon";"how many sides are on a pentagon"
27025;qa;factoid;"calculate a close integral of exponential function from zero to five";"calculate a close integral of exponential function from zero to five";"calculate a close integral of exponential function from zero to five"
3655;qa;factoid;"what is the age of [person : britney spears]";"what is the age of britney spears";"Britney Spears"
24717;qa;factoid;"where is the hottest place on [place_name : earth]";"where is the hottest place on earth";"Ok Google, where is the hottest place on earth"
21101;qa;factoid;"where is [place_name : morocco] located";"where is morocco located";"Where is Morocco located?"
6413;qa;factoid;"what is the total number of oceans in the world";"what is the total number of oceans in the world";"What is the total number of Oceans in the world?"
9747;qa;factoid;"birth date for movie star [person : keanu reeves]";"birth date for movie star keanu reeves";"Birth date for movie star Keanu Reeves?"
25933;qa;factoid;"how deep is the deepest point of [place_name : the grand canyon]";"how deep is the deepest point of the grand canyon";"How deep is the deepest point of the Grand Canyon?"
22408;qa;factoid;"how is the spouse of [person : obama]";"how is the spouse of obama";"How is the spouse of Obama ?"
26058;qa;factoid;"what are the climatic conditions in that area";"what are the climatic conditions in that area";"what are the climatic conditions in tha that area."
15048;qa;factoid;"what tv show is [person : jennifer aniston] on";"what tv show is jennifer aniston on";"What TV show is Jennifer Aniston on?"
1765;qa;factoid;"what is the capital of [place_name : china]";"what is the capital of china";"what is the capital of China"
1860;qa;factoid;"how hot are summers in [place_name : gibraltar]";"how hot are summers in gibraltar";"How hot are summers in Gibraltar?"
20369;qa;factoid;"what [person : johncena] do";"what johncena do";"What johncena do"
26801;qa;factoid;"how old is [person : clint eastwood]";"how old is clint eastwood";"How old is Clint Eastwood"
18746;qa;factoid;"where is the hottest desert located";"where is the hottest desert located";"Where is the hottest desert located"
17298;qa;factoid;"how high is pikes peak";"how high is pikes peak";"How high is Pikes Peak?"
26191;qa;factoid;"how far above sea level is [place_name : denver]";"how far above sea level is denver";"How far above sea level is Denver?"
22314;qa;factoid;"show various plants in earth";"show various plants in earth";"show various plants in earth"
21129;qa;factoid;"is [person : brad pitt] married";"is brad pitt married";"Is [famous person] married?"
18861;qa;factoid;"what part of the world is the safest";"what part of the world is the safest";"What part of the world is the safest"
26101;qa;factoid;"how tall is [person : frank goggins]";"how tall is frank goggins";"How tall is Frank Goggins?"
22413;qa;factoid;"what color is a dragon fruit";"what color is a dragon fruit";"What color is a dragon fruit?"
17336;qa;factoid;"can you really see [place_name : russia] from [place_name : alaska]";"can you really see russia from alaska";"Can you really see Russia from Alaska?"
22429;qa;factoid;"where is [place_name : los angeles]";"where is los angeles";"Where is Los Angeles?"
23779;qa;factoid;"where is [place_name : kansas] located";"where is kansas located";"Where is kansas located"
17437;qa;factoid;"tell me about [person : sean connery]";"tell me about sean connery";"Tell me about Sean Connery"
22752;qa;factoid;"can turkeys fly";"can turkeys fly";"Can turkeys fly"
9220;qa;factoid;"show me the demographic growth rate of [place_name : switzerland] in the [time : last ten years]";"show me the demographic growth rate of switzerland in the last ten years";"Show me the demographic growth rate of Switzerland in the last ten years"
16038;qa;factoid;"where do most celebrities hang out";"where do most celebrities hang out";"Where do most celebrities hang out?"
17438;qa;factoid;"wikipedia page about [person : sean connery]";"wikipedia page about sean connery";"Wikipedia page about Sean Connery"
26148;qa;factoid;"what are the coordinates of [place_name : everest]";"what are the coordinates of everest";"What are the cordinates of everest?"
20547;qa;factoid;"what country was [person : einstein] from";"what country was einstein from";"What country was Einstein from?"
22248;qa;factoid;"how many countries are in [place_name : europe]";"how many countries are in europe";"How many countries are in Europe?"
24718;qa;factoid;"Where is [place_name : miami]";"Where is miami";"miami"
16708;qa;factoid;"what is the highest mountain in the [place_name : world]";"what is the highest mountain in the world";"What is the highest mountain in the world?"
22946;qa;factoid;"what is the deepest point on earth";"what is the deepest point on earth";"what is the deepest point on earth?"
23291;qa;factoid;"how many oscars does [person : morgan freeman] have";"how many oscars does morgan freeman have";"How many Oscars does Morgan Freeman have?"
7709;qa;factoid;"what awards did [person : erica grebe] win [date : last night]";"what awards did erica grebe win last night";"What awards did Erica Grebe win last night?"
19574;qa;factoid;"tell me about [person : donald trump]";"tell me about donald trump";"tell me about Donald Trump"
23810;qa;factoid;"get more information on geographic information about this place";"get more information on geographic information about this place";"get more information on geographic information about this place"
9517;qa;factoid;"what is hair made up of";"what is hair made up of";"What is hair made up of?"
8350;qa;factoid;"how many people live in [place_name : los angeles]";"how many people live in los angeles";"How many people live in Los Angeles?"
25426;qa;factoid;"how old are [person : kim kardashian's] children";"how old are kim kardashian's children";"How old are Kim Kardashian's children?"
22750;qa;factoid;"is it true the gym is seven miles away";"is it true the gym is seven miles away";"Is it true the gym is 7 miles away"
23670;qa;factoid;"where is [person : steven spielberg] living";"where is steven spielberg living";"where is steven spielberg living?"
21130;qa;factoid;"info of [person : rowan atkinson]";"info of rowan atkinson";"info of rowan atkinson"
