answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
3837;email;querycontact;"open contacts and call [person : john smith]";"open contacts and call john smith";"open contacts and call john smith"
11852;email;querycontact;"can you provide me with the contact information assigned to this person";"can you provide me with the contact information assigned to this person";"Can you provide me with the contact information assigned to this person?"
18478;email;querycontact;"open [person : derek's] contact information";"open derek's contact information";"Open Derek's contact information"
19378;email;querycontact;"how many [personal_info : phone numbers] do i have for [person : brenden]";"how many phone numbers do i have for brenden";"How many phone numbers do I have for Brenden?"
9828;email;querycontact;"is there a way to pull up information about a contact";"is there a way to pull up information about a contact";"Is there a way to pull up information about a contact?"
15940;email;querycontact;"find [person : john smith] from [place_name : alabama]";"find john smith from alabama";"find john smith from Alabama"
3836;email;querycontact;"open contacts and find [person : john smith]";"open contacts and find john smith";"open contacts and find John smith"
18480;email;querycontact;"show me [person : derek's] contact information";"show me derek's contact information";"Show me Derek's contact information"
4978;email;querycontact;"what's [person : june's] [personal_info : address] nowadays";"what's june's address nowadays";"What's June's address nowadays?"
1349;email;querycontact;"where [person : seth] [personal_info : lives]";"where seth lives";"Where Seth lives?"
18661;email;querycontact;"find my [relation : wife]";"find my wife";"Find my wife."
7627;email;querycontact;"where does [person : tar] [personal_info : work] currently";"where does tar work currently";"Where does Tar work currently?"
7381;email;querycontact;"give me the details of friend";"give me the details of friend";"give me the details of friend"
2900;email;querycontact;"is there [personal_info : email id] of [person : john] in the list";"is there email id of john in the list";"Is there email id of John in the list."
3096;email;querycontact;"fetch me the [personal_info : phone number] of [person : Alexander]";"fetch me the phone number of Alexander";"Fetch me the phone number of  Alexander."
25991;email;querycontact;"what is [person : jimmy johns's] [personal_info : corporate number]";"what is jimmy johns's corporate number";"What is Jimmy Johns's corporate number?"
17568;email;querycontact;"open the contact named [person : john]";"open the contact named john";"Open the contact named John"
15942;email;querycontact;"locate information on [person : john smith] about his work location";"locate information on john smith about his work location";"locate information on john smith about his work location"
14044;email;querycontact;"please delete the contacts that i havent spoken to in [date : three of months]";"please delete the contacts that i havent spoken to in three of months";"Please delete the contacts that I havent spoken to in 3 of months"
