answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
9360;cooking;recipe;"how do i make [food_type : cookies]";"how do i make cookies";"how do i make cookies"
22018;cooking;recipe;"tell me how to make [food_type : tacos]";"tell me how to make tacos";"Tell me how to make tacos"
17867;cooking;recipe;"what goes with [food_type : risotto]";"what goes with risotto";"What goes with risotto?"
9358;cooking;recipe;"show me the recipe for [food_type : cookies]";"show me the recipe for cookies";"show me the recipe for cookies"
1807;cooking;recipe;"how do i [cooking_type : cook] a [food_type : pasta]";"how do i cook a pasta";"Olly How do I cook a pasta?"
12223;cooking;recipe;"what is an [ingredient : alternative to flour]";"what is an alternative to flour";"What is an alternative to flour?"
5127;cooking;recipe;"[cooking_type : evaporated]";"evaporated";"Evaporated"
4618;cooking;recipe;"cook me some [ingredient : oats]";"cook me some oats";"Cook me some oats"
16218;cooking;recipe;"find me a recipe for [food_type : chicken noodle soup]";"find me a recipe for chicken noodle soup";"Find me a recipe for chicken noodle soup."
10272;cooking;recipe;"what do i need to make [food_type : pot roast]";"what do i need to make pot roast";"PDA: What do I need to make pot roast"
14281;cooking;recipe;"how do i make [food_type : meatloaf]";"how do i make meatloaf";"olly how do i make meatloaf"
11942;cooking;recipe;"please find the recipe for [food_type : meatballs]";"please find the recipe for meatballs";"Please find the recipe for meatballs"
17207;cooking;recipe;"find me the recipe for a [food_type : cake]";"find me the recipe for a cake";"Find me the recipe for a cake"
14178;cooking;recipe;"i need help making [food_type : pancakes]";"i need help making pancakes";"I need help making pancakes."
19594;cooking;recipe;"how to cook [food_type : spaghetti squash]";"how to cook spaghetti squash";"How to cook spaghetti squash"
27111;cooking;recipe;"how much [food_type : meat] should i buy to serve ten people";"how much meat should i buy to serve ten people";"Olly, how much meat should I buy to serve 10 people?"
23119;cooking;recipe;"what is recipe";"what is recipe";"what is recipe"
23135;cooking;recipe;"what are the ingredients necessary";"what are the ingredients necessary";"what are the ingredients neccesary"
16719;cooking;recipe;"what do you use to make [food_type : cookies]";"what do you use to make cookies";"PDA, what do you use to make cookies."
