answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
603;general;explain;"would you clarify me on your answer further please.";"would you clarify me on your answer further please.";"would you clarify me on your answer further please."
97;general;explain;"s2, i can not understand that.";"s2, i can not understand that.";"s2, i can not understand that."
292;general;explain;"your words is not so clear.";"your words is not so clear.";"your words is not so clear."
41;general;explain;"s1, explain further please.";"s1, explain further please.";"s1, explain further please."
649;general;explain;"s2, i am unclear about what you have just said.";"s2, i am unclear about what you have just said.";"s2, i am unclear about what you have just said."
591;general;explain;"please will you clarify me more on that.";"please will you clarify me more on that.";"please will you clarify me more on that."
572;general;explain;"will you rephrase me about your response once again please.";"will you rephrase me about your response once again please.";"will you rephrase me about your response once again please."
46;general;explain;"again clarify me on your answers.";"again clarify me on your answers.";"again clarify me on your answers."
372;general;explain;"again elaborate.";"again elaborate.";"again elaborate."
595;general;explain;"couldn't understand what you just said now.";"couldn't understand what you just said now.";"couldn't understand what you just said now."
136;general;explain;"can you again clarify what you've said please.";"can you again clarify what you've said please.";"can you again clarify what you've said please."
467;general;explain;"i didn't get your response.";"i didn't get your response.";"i didn't get your response."
663;general;explain;"s1, could you please again rephrase me about what you said now.";"s1, could you please again rephrase me about what you said now.";"s1, could you please again rephrase me about what you said now."
379;general;explain;"what you said now was not clear.";"what you said now was not clear.";"what you said now was not clear."
130;general;explain;"can you explain once again.";"can you explain once again.";"can you explain once again."
1;general;explain;"do not get this.";"do not get this.";"do not get this."
12;general;explain;"s1, explain me on your answer further please.";"s1, explain me on your answer further please.";"s1, explain me on your answer further please."
625;general;explain;"s2, i do not catch up with you.";"s2, i do not catch up with you.";"s2, i do not catch up with you."
659;general;explain;"didn't understand what you said now.";"didn't understand what you said now.";"didn't understand what you said now."
578;general;explain;"once again clarify me about your answers please.";"once again clarify me about your answers please.";"once again clarify me about your answers please."
307;general;explain;"don't get this.";"don't get this.";"don't get this."
675;general;explain;"explain it further please.";"explain it further please.";"explain it further please."
683;general;explain;"s1, rephrase me more on it.";"s1, rephrase me more on it.";"s1, rephrase me more on it."
35;general;explain;"would you elaborate again to me please.";"would you elaborate again to me please.";"would you elaborate again to me please."
353;general;explain;"would you once again clarify me about your response please.";"would you once again clarify me about your response please.";"would you once again clarify me about your response please."
626;general;explain;"would you explain further on it to me please.";"would you explain further on it to me please.";"would you explain further on it to me please."
462;general;explain;"i am unclear about your response.";"i am unclear about your response.";"i am unclear about your response."
420;general;explain;"s1, please elaborate further on it to me.";"s1, please elaborate further on it to me.";"s1, please elaborate further on it to me."
559;general;explain;"please explain again to me.";"please explain again to me.";"please explain again to me."
667;general;explain;"further explain.";"further explain.";"further explain."
540;general;explain;"s1, again clarify your answers please.";"s1, again clarify your answers please.";"s1, again clarify your answers please."
275;general;explain;"it was not clear.";"it was not clear.";"it was not clear."
192;general;explain;"s1, would you please further clarify me on your answers.";"s1, would you please further clarify me on your answers.";"s1, would you please further clarify me on your answers."
434;general;explain;"s2, i was not so clear about what you said now.";"s2, i was not so clear about what you said now.";"s2, i was not so clear about what you said now."
333;general;explain;"s1, could you rephrase further on what you have said to me please.";"s1, could you rephrase further on what you have said to me please.";"s1, could you rephrase further on what you have said to me please."
19;general;explain;"could you clarify me on it further.";"could you clarify me on it further.";"could you clarify me on it further."
395;general;explain;"could you please again clarify your answer to me.";"could you please again clarify your answer to me.";"could you please again clarify your answer to me."
151;general;explain;"please explain me more on what you said.";"please explain me more on what you said.";"please explain me more on what you said."
248;general;explain;"s2, i was unclear about what you've just said.";"s2, i was unclear about what you've just said.";"s2, i was unclear about what you've just said."
22;general;explain;"s1, will you further explain.";"s1, will you further explain.";"s1, will you further explain."
413;general;explain;"please further elaborate your response.";"please further elaborate your response.";"please further elaborate your response."
457;general;explain;"i am not so clear about your answers.";"i am not so clear about your answers.";"i am not so clear about your answers."
331;general;explain;"could you again elaborate me on your answers please.";"could you again elaborate me on your answers please.";"could you again elaborate me on your answers please."
306;general;explain;"s1, rephrase me further on it please.";"s1, rephrase me further on it please.";"s1, rephrase me further on it please."
521;general;explain;"s2, do not get your answer.";"s2, do not get your answer.";"s2, do not get your answer."
549;general;explain;"could you please once again elaborate to me.";"could you please once again elaborate to me.";"could you please once again elaborate to me."
448;general;explain;"s2, i can not catch up with you.";"s2, i can not catch up with you.";"s2, i can not catch up with you."
133;general;explain;"s1, would you explain me about what you have just said once again.";"s1, would you explain me about what you have just said once again.";"s1, would you explain me about what you have just said once again."
190;general;explain;"will you further elaborate me on what you have said please.";"will you further elaborate me on what you have said please.";"will you further elaborate me on what you have said please."
388;general;explain;"s2, i was not clear about it.";"s2, i was not clear about it.";"s2, i was not clear about it."
168;general;explain;"i was unclear about what you have said.";"i was unclear about what you have said.";"i was unclear about what you have said."
487;general;explain;"i don't quite catch that.";"i don't quite catch that.";"i don't quite catch that."
385;general;explain;"i do not get the last sentence.";"i do not get the last sentence.";"i do not get the last sentence."
452;general;explain;"can you further explain me on it please.";"can you further explain me on it please.";"can you further explain me on it please."
129;general;explain;"again clarify me on your answers please.";"again clarify me on your answers please.";"again clarify me on your answers please."
476;general;explain;"s1, please clarify me about your answers once again.";"s1, please clarify me about your answers once again.";"s1, please clarify me about your answers once again."
288;general;explain;"please further rephrase it.";"please further rephrase it.";"please further rephrase it."
461;general;explain;"i could not quite catch up with you.";"i could not quite catch up with you.";"i could not quite catch up with you."
468;general;explain;"i can not quite catch up with you.";"i can not quite catch up with you.";"i can not quite catch up with you."
27;general;explain;"your answer was not so clear.";"your answer was not so clear.";"your answer was not so clear."
279;general;explain;"s1, can you please again rephrase to me.";"s1, can you please again rephrase to me.";"s1, can you please again rephrase to me."
469;general;explain;"elaborate me about your answers further.";"elaborate me about your answers further.";"elaborate me about your answers further."
543;general;explain;"i can't get that.";"i can't get that.";"i can't get that."
386;general;explain;"can you please clarify once again.";"can you please clarify once again.";"can you please clarify once again."
230;general;explain;"s2, i could not quite catch up with you.";"s2, i could not quite catch up with you.";"s2, i could not quite catch up with you."
241;general;explain;"s1, can you rephrase me more on the last sentence please.";"s1, can you rephrase me more on the last sentence please.";"s1, can you rephrase me more on the last sentence please."
590;general;explain;"s2, i was unclear about your answers.";"s2, i was unclear about your answers.";"s2, i was unclear about your answers."
225;general;explain;"will you explain me more on what you just said please.";"will you explain me more on what you just said please.";"will you explain me more on what you just said please."
652;general;explain;"what you have said is not so clear.";"what you have said is not so clear.";"what you have said is not so clear."
536;general;explain;"can you elaborate me on your answers again.";"can you elaborate me on your answers again.";"can you elaborate me on your answers again."
235;general;explain;"can you explain me further on what you just said.";"can you explain me further on what you just said.";"can you explain me further on what you just said."
30;general;explain;"what you just said was not so clear to me.";"what you just said was not so clear to me.";"what you just said was not so clear to me."
376;general;explain;"explain further please.";"explain further please.";"explain further please."
186;general;explain;"please can you rephrase me further on your answers.";"please can you rephrase me further on your answers.";"please can you rephrase me further on your answers."
431;general;explain;"could you please further elaborate me about what you have just said.";"could you please further elaborate me about what you have just said.";"could you please further elaborate me about what you have just said."
138;general;explain;"i don't understand what you just said now.";"i don't understand what you just said now.";"i don't understand what you just said now."
263;general;explain;"your words was not so clear.";"your words was not so clear.";"your words was not so clear."
26;general;explain;"i do not catch up with you.";"i do not catch up with you.";"i do not catch up with you."
397;general;explain;"will you further elaborate me on it please.";"will you further elaborate me on it please.";"will you further elaborate me on it please."
289;general;explain;"would you please elaborate more on your response to me.";"would you please elaborate more on your response to me.";"would you please elaborate more on your response to me."
244;general;explain;"i did not catch that.";"i did not catch that.";"i did not catch that."
115;general;explain;"s1, please elaborate me on your answer further.";"s1, please elaborate me on your answer further.";"s1, please elaborate me on your answer further."
641;general;explain;"could you elaborate me more on your response please.";"could you elaborate me more on your response please.";"could you elaborate me more on your response please."
359;general;explain;"i was not clear about what you just said now.";"i was not clear about what you just said now.";"i was not clear about what you just said now."
4;general;explain;"i could not understand this.";"i could not understand this.";"i could not understand this."
48;general;explain;"explain further on last sentence to me please.";"explain further on last sentence to me please.";"explain further on last sentence to me please."
588;general;explain;"what you have said was not so clear to me.";"what you have said was not so clear to me.";"what you have said was not so clear to me."
170;general;explain;"please rephrase more on what you have just said to me.";"please rephrase more on what you have just said to me.";"please rephrase more on what you have just said to me."
373;general;explain;"can you please further explain me about that.";"can you please further explain me about that.";"can you please further explain me about that."
638;general;explain;"further elaborate me on what you have said please.";"further elaborate me on what you have said please.";"further elaborate me on what you have said please."
198;general;explain;"once again elaborate me on that.";"once again elaborate me on that.";"once again elaborate me on that."
313;general;explain;"i don't get this.";"i don't get this.";"i don't get this."
524;general;explain;"s2, i don't get your words.";"s2, i don't get your words.";"s2, i don't get your words."
117;general;explain;"please rephrase me more on what you said now.";"please rephrase me more on what you said now.";"please rephrase me more on what you said now."
510;general;explain;"what did you mean by it.";"what did you mean by it.";"what did you mean by it."
99;general;explain;"s1, will you please further explain me about what you said.";"s1, will you please further explain me about what you said.";"s1, will you please further explain me about what you said."
421;general;explain;"could you clarify further on what you said now to me please.";"could you clarify further on what you said now to me please.";"could you clarify further on what you said now to me please."
430;general;explain;"s2, i am unclear about it.";"s2, i am unclear about it.";"s2, i am unclear about it."
14;general;explain;"what did you mean by that.";"what did you mean by that.";"what did you mean by that."
240;general;explain;"i am unclear about your answer.";"i am unclear about your answer.";"i am unclear about your answer."
426;general;explain;"would you again explain the last sentence to me please.";"would you again explain the last sentence to me please.";"would you again explain the last sentence to me please."
440;general;explain;"please explain me more on what you've just said.";"please explain me more on what you've just said.";"please explain me more on what you've just said."
618;general;explain;"i am not so clear about that.";"i am not so clear about that.";"i am not so clear about that."
223;general;explain;"what do you mean.";"what do you mean.";"what do you mean."
400;general;explain;"will you once again rephrase me about what you just said now.";"will you once again rephrase me about what you just said now.";"will you once again rephrase me about what you just said now."
105;general;explain;"i was not so clear about your answers.";"i was not so clear about your answers.";"i was not so clear about your answers."
93;general;explain;"s1, again elaborate me on what you have just said please.";"s1, again elaborate me on what you have just said please.";"s1, again elaborate me on what you have just said please."
283;general;explain;"explain further.";"explain further.";"explain further."
460;general;explain;"s2, i was not clear about that.";"s2, i was not clear about that.";"s2, i was not clear about that."
294;general;explain;"please will you elaborate further on last sentence.";"please will you elaborate further on last sentence.";"please will you elaborate further on last sentence."
52;general;explain;"will you please clarify again.";"will you please clarify again.";"will you please clarify again."
439;general;explain;"explain me further on what you have said please.";"explain me further on what you have said please.";"explain me further on what you have said please."
47;general;explain;"once again explain it to me.";"once again explain it to me.";"once again explain it to me."
233;general;explain;"please will you explain me more on what you've said.";"please will you explain me more on what you've said.";"please will you explain me more on what you've said."
185;general;explain;"s1, please explain me more on your answers.";"s1, please explain me more on your answers.";"s1, please explain me more on your answers."
23;general;explain;"will you explain me about the last sentence further please.";"will you explain me about the last sentence further please.";"will you explain me about the last sentence further please."
681;general;explain;"what do you mean by it.";"what do you mean by it.";"what do you mean by it."
634;general;explain;"what you have said was not so clear.";"what you have said was not so clear.";"what you have said was not so clear."
392;general;explain;"s2, i am unclear about your words.";"s2, i am unclear about your words.";"s2, i am unclear about your words."
274;general;explain;"will you please rephrase me further on that.";"will you please rephrase me further on that.";"will you please rephrase me further on that."
406;general;explain;"can you please further elaborate what you just said.";"can you please further elaborate what you just said.";"can you please further elaborate what you just said."
222;general;explain;"i couldn't get what you've said.";"i couldn't get what you've said.";"i couldn't get what you've said."
642;general;explain;"can you elaborate further on this to me please.";"can you elaborate further on this to me please.";"can you elaborate further on this to me please."
614;general;explain;"s1, can you please explain more on what you've said to me.";"s1, can you please explain more on what you've said to me.";"s1, can you please explain more on what you've said to me."
64;general;explain;"s2, i could not catch up with you.";"s2, i could not catch up with you.";"s2, i could not catch up with you."
128;general;explain;"can you please clarify me more on your answers.";"can you please clarify me more on your answers.";"can you please clarify me more on your answers."
557;general;explain;"what did you mean by saying this.";"what did you mean by saying this.";"what did you mean by saying this."
267;general;explain;"could not understand it.";"could not understand it.";"could not understand it."
506;general;explain;"would you please once again explain me about your words.";"would you please once again explain me about your words.";"would you please once again explain me about your words."
148;general;explain;"s2, do not get the last sentence.";"s2, do not get the last sentence.";"s2, do not get the last sentence."
371;general;explain;"i don't understand what you have said.";"i don't understand what you have said.";"i don't understand what you have said."
242;general;explain;"s2, can not get this.";"s2, can not get this.";"s2, can not get this."
24;general;explain;"your response was not clear.";"your response was not clear.";"your response was not clear."
436;general;explain;"s1, please explain further on your words to me.";"s1, please explain further on your words to me.";"s1, please explain further on your words to me."
383;general;explain;"i am not so clear about what you just said.";"i am not so clear about what you just said.";"i am not so clear about what you just said."
315;general;explain;"i am not clear about your answers.";"i am not clear about your answers.";"i am not clear about your answers."
494;general;explain;"i am not clear about last sentence.";"i am not clear about last sentence.";"i am not clear about last sentence."
520;general;explain;"s2, i could not get that.";"s2, i could not get that.";"s2, i could not get that."
147;general;explain;"will you rephrase me on what you've just said again please.";"will you rephrase me on what you've just said again please.";"will you rephrase me on what you've just said again please."
10;general;explain;"will you explain me about what you have said once again please.";"will you explain me about what you have said once again please.";"will you explain me about what you have said once again please."
597;general;explain;"what did you mean by saying it.";"what did you mean by saying it.";"what did you mean by saying it."
280;general;explain;"would you please once again rephrase me on your answers.";"would you please once again rephrase me on your answers.";"would you please once again rephrase me on your answers."
551;general;explain;"rephrase further on your response please.";"rephrase further on your response please.";"rephrase further on your response please."
620;general;explain;"s2, i didn't quite catch that.";"s2, i didn't quite catch that.";"s2, i didn't quite catch that."
85;general;explain;"would you again clarify me on it.";"would you again clarify me on it.";"would you again clarify me on it."
124;general;explain;"have you made a mistake.";"have you made a mistake.";"have you made a mistake."
422;general;explain;"elaborate further on what you've just said to me please.";"elaborate further on what you've just said to me please.";"elaborate further on what you've just said to me please."
433;general;explain;"s1, please once again clarify to me.";"s1, please once again clarify to me.";"s1, please once again clarify to me."
507;general;explain;"s1, can you further clarify me on it.";"s1, can you further clarify me on it.";"s1, can you further clarify me on it."
496;general;explain;"will you please again elaborate.";"will you please again elaborate.";"will you please again elaborate."
489;general;explain;"can you please clarify me about this further.";"can you please clarify me about this further.";"can you please clarify me about this further."
45;general;explain;"could you elaborate further on your answers to me.";"could you elaborate further on your answers to me.";"could you elaborate further on your answers to me."
389;general;explain;"once again elaborate me on what you have just said please.";"once again elaborate me on what you have just said please.";"once again elaborate me on what you have just said please."
322;general;explain;"s1, again explain to me please.";"s1, again explain to me please.";"s1, again explain to me please."
