answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
14497;transport;ticket;"book me a [transport_type : train] ticket to [place_name : chicago] for [date : tomorrow] morning before [time : ten]";"book me a train ticket to chicago for tomorrow morning before ten";"Book me a train ticket to Chicago for tomorrow morning before 10."
7583;transport;ticket;"find out the the [transport_type : train] arrival time and book me";"find out the the train arrival time and book me";"Find out the the train arrival time and book me."
4066;transport;ticket;"google [transport_type : train] tickets to [place_name : washington dc]";"google train tickets to washington dc";"google train tickets to washington dc"
13226;transport;ticket;"book ticket for [place_name : paris] by [transport_type : train]";"book ticket for paris by train";"Book ticket for (location) by train"
5908;transport;ticket;"book me a [transport_type : train] ticket";"book me a train ticket";"book me a train ticket"
3252;transport;ticket;"book a [transport_type : train] ticket to [place_name : canada] this [timeofday : evening]";"book a train ticket to canada this evening";"Book a train ticket to Canada this evening"
8553;transport;ticket;"book me on a [transport_type : train] leaving [place_name : penn station] [date : tomorrow] travelling to [place_name : any city more than two hundred miles away]";"book me on a train leaving penn station tomorrow travelling to any city more than two hundred miles away";"book me on a train leaving Penn station tomorrow travelling to any city more than 200 miles away"
8552;transport;ticket;"get me two [transport_type : train] tickets from where i am now to [place_name : dallas] arriving [time : before dark]";"get me two train tickets from where i am now to dallas arriving before dark";"Get me 2 train tickets from where I am now to Dallas arriving before dark."
9876;transport;ticket;"book and pay for a [transport_type : train] ticket to [place_name : denver] for [date : saturday]";"book and pay for a train ticket to denver for saturday";"Book and pay for a train ticket to Denver for Saturday."
5239;transport;ticket;"please book a [transport_type : train] ticket from [place_name : london] to [place_name : manchester]";"please book a train ticket from london to manchester";"Please book a train ticket from London to Manchester"
13728;transport;ticket;"google i need one [transport_type : train] ticket to [place_name : new york] can you book that for me";"google i need one train ticket to new york can you book that for me";"Google I need one train ticket to New York can you book that for me."
18701;transport;ticket;"i need to buy a [transport_type : train] ticket";"i need to buy a train ticket";"I need to buy a train ticket."
23674;transport;ticket;"book a ticket in irctc website from [place_name : sbc] to [place_name : mdu] on [date : may two] for stored passenger list";"book a ticket in irctc website from sbc to mdu on may two for stored passenger list";"Book a ticket in irctc website from sbc to mdu on may 2 for stored passenger list"
11545;transport;ticket;"google search booking [transport_type : train] ticket";"google search booking train ticket";"Google search, booking train ticket"
18882;transport;ticket;"please purchase a amtrak ticket from [place_name : las vegas nevada] to [place_name : lakeland florida] leaving on the [date : first of april]";"please purchase a amtrak ticket from las vegas nevada to lakeland florida leaving on the first of april";"Please purchase a Amtrak ticket from Las Vegas, Nevada to Lakeland, Florida leaving on the first of April."
7250;transport;ticket;"book the the next [transport_type : train] ticket to [place_name : chennai]";"book the the next train ticket to chennai";"book the the next train ticket to Chennai"
17908;transport;ticket;"find me a [transport_type : train] ticket to [place_name : boston]";"find me a train ticket to boston";"find me a train ticket to boston"
25572;transport;ticket;"get me a ride on the commuter [transport_type : train] from [place_name : nj] to [place_name : ny]";"get me a ride on the commuter train from nj to ny";"Get me a ride on the commuter train from NJ to NY."
23675;transport;ticket;"open [app_name : irctc] application and go to book ticket";"open irctc application and go to book ticket";"Open irctc application and go to book ticket"
5071;transport;ticket;"book me a [transport_type : train] ticket in any [transport_type : train] to [place_name : bombay] for [date : tomorrow]";"book me a train ticket in any train to bombay for tomorrow";"book me a train ticket in any train to bombay for tommorrow"
18550;transport;ticket;"i need the current dart rail schedule from [place_name : west irving station] to [place_name : north lake college]";"i need the current dart rail schedule from west irving station to north lake college";"OK Google, I need the current DART rail schedule from West Irving Station to North Lake College."
77;transport;ticket;"schedule a journey to [place_name : las vegas] by [transport_type : train]";"schedule a journey to las vegas by train";"schedule a journey to Las Vegas by train"
11308;transport;ticket;"book a [transport_type : train] ticket to [place_name : boston] [date : tomorrow]";"book a train ticket to boston tomorrow";"Book a train ticket to boston tomorrow."
25949;transport;ticket;"reserve a seat for me on the [transport_type : train] [date : march twentieth]";"reserve a seat for me on the train march twentieth";"Reserve a seat for me on the train March 20th."
20608;transport;ticket;"confirm a travel ticket to [place_name : german]";"confirm a travel ticket to german";"Confirm a travel ticket to German."
8401;transport;ticket;"i want a [transport_type : train] ticket";"i want a train ticket";"i want a train ticket."
21616;transport;ticket;"please book a [transport_type : train] ticket from [place_name : jodhpur] to [place_name : jaisalmer] on [date : sunday]";"please book a train ticket from jodhpur to jaisalmer on sunday";"Please book a train ticket from Jodhpur to Jaisalmer on Sunday."
7135;transport;ticket;"book a [transport_type : train] ticket for one [transport_descriptor : one way] for this [date : tuesday] at [time : nine am]";"book a train ticket for one one way for this tuesday at nine am";"PDA book a train ticket for one, one way for this Tuesday at 9am."
20334;transport;ticket;"get me a seat on the next [transport_type : train] going to [place_name : new york]";"get me a seat on the next train going to new york";"get me a seat on the next train going to new york"
17902;transport;ticket;"order a [transport_type : train] ticket to [place_name : boston]";"order a train ticket to boston";"Order a train ticket to Boston."
10438;transport;ticket;"show me [transport_type : train] tickets";"show me train tickets";"Show me train tickets"
12022;transport;ticket;"book a [transport_type : train] ticket for me";"book a train ticket for me";"book a train ticket for me"
18702;transport;ticket;"can you please buy me a [transport_type : train] ticket";"can you please buy me a train ticket";"Can you please buy me a train ticket."
16186;transport;ticket;"book a [transport_type : train] for [date : twenty two march] at [time : twelve pm]";"book a train for twenty two march at twelve pm";"Book a train for 22 March at 12pm"
10818;transport;ticket;"book ticket to depart in the [timeofday : morning]";"book ticket to depart in the morning";"Book ticket to depart in the morning."
25950;transport;ticket;"secure [transport_type : train] passage for me on [date : july three]";"secure train passage for me on july three";"Secure train passage for me on July 3."
11522;transport;ticket;"i want a [transport_type : train] ticket to [place_name : oregon]";"i want a train ticket to oregon";"I want a train ticket to Oregon."
7136;transport;ticket;"can you please book [transport_type : train] tickets for two for this [date : friday]";"can you please book train tickets for two for this friday";"Can you please book train tickets for 2, for this Friday."
14124;transport;ticket;"i want to book rajdhani [transport_type : train] ticket from [place_name : mumbai to ahmadabad]";"i want to book rajdhani train ticket from mumbai to ahmadabad";"i want to book Rajdhani train ticket from mumbai to Ahmadabad"
20607;transport;ticket;"please book [transport_type : train] ticket to [place_name : new york]";"please book train ticket to new york";"please book train ticket to NY"
12024;transport;ticket;"book me the cheapest [transport_type : train] ticket to [place_name : new york]";"book me the cheapest train ticket to new york";"book me the cheapest train ticket to new york"
24744;transport;ticket;"best ticket price air plane to [place_name : chester] on the [date : twenty first]";"best ticket price air plane to chester on the twenty first";"best ticket price air/plane/bus to city x on date y"
23676;transport;ticket;"book a ticket for [date : today] in [app_name : irctc] site for the stored information";"book a ticket for today in irctc site for the stored information";"Book a ticket for today in irctc site for the stored information"
13225;transport;ticket;"i need a [transport_type : train] ticket to [place_name : rome] book ticket";"i need a train ticket to rome book ticket";"I need a train ticket to (location). Book ticket."
25881;transport;ticket;"help me book a [transport_type : train] ticket";"help me book a train ticket";"Help me book a train ticket"
19152;transport;ticket;"i need the times for the [transport_descriptor : south bound] [transport_type : train] on [place_name : allison rd]";"i need the times for the south bound train on allison rd";"I need the times for the South bound train on Allison RD"
5363;transport;ticket;"i want a [transport_type : train] ticket to [place_name : edinburgh]";"i want a train ticket to edinburgh";"I want a train ticket to <city>"
7392;transport;ticket;"could you make a [transport_type : train] ticket for me";"could you make a train ticket for me";"Could you make a train ticket for m"
24556;transport;ticket;"[transport_type : train] ticket";"train ticket";"train ticket"
6904;transport;ticket;"book me a [transport_type : train] ticket to [place_name : new york] city on the [date : third] i [time : don't care] what time";"book me a train ticket to new york city on the third i don't care what time";"Olly, book me a train ticket to New York City on the 3rd. I don't care what time."
11546;transport;ticket;"travel book a [transport_type : train] ticket";"travel book a train ticket";"Travel, book a train ticket"
78;transport;ticket;"book me a [transport_descriptor : return] trip from [place_name : edinburgh] to [place_name : london] by [transport_type : train]";"book me a return trip from edinburgh to london by train";"Book me a return trip from Edinburgh to London by train"
10251;transport;ticket;"book [transport_type : train] best deal";"book train best deal";"Book train best deal"
20332;transport;ticket;"book a [transport_type : train] ticket to [place_name : new york]";"book a train ticket to new york";"book a train ticket to New york"
12408;transport;ticket;"find me the cheapest [transport_type : train] ticket to [place_name : spain]";"find me the cheapest train ticket to spain";"Olly, find me the cheapest train ticket to Spain."
8439;transport;ticket;"book a [transport_type : train] ticket to city [place_name : leeds]";"book a train ticket to city leeds";"book a train ticket to city A."
3061;transport;ticket;"book a [transport_type : train] ticket from [place_name : canada] to [place_name : las vegas]";"book a train ticket from canada to las vegas";"Book a train ticket from Canada to Las Vegas."
15529;transport;ticket;"book me a [transport_type : train] ride";"book me a train ride";"book me a train ride"
796;transport;ticket;"book a [transport_type : train] for me";"book a train for me";"Book a train for me"
15322;transport;ticket;"order a [transport_type : train] ticket to [place_name : los angeles]";"order a train ticket to los angeles";"Order a train ticket to Los Angeles."
14498;transport;ticket;"get a me a [transport_type : train] ticket to [place_name : milwaukee] from [place_name : chicago] on [date : sunday] [timeofday : morning]";"get a me a train ticket to milwaukee from chicago on sunday morning";"Get a me a train ticket to Milwaukee from Chicago on Sunday morning."
12406;transport;ticket;"book me a [transport_type : train] ticket to [place_name : barcelona] please";"book me a train ticket to barcelona please";"Olly, book me a train ticket to Barcelona, please."
14001;transport;ticket;"i need to book a [transport_type : train] ticket from [place_name : mumbai to goa]";"i need to book a train ticket from mumbai to goa";"I need to book a train ticket from mumbai to goa"
13673;transport;ticket;"please purchase me a [transport_type : train] ticket to [place_name : atlanta]";"please purchase me a train ticket to atlanta";"Olly please purchase me a train ticket to atlanta"
14162;transport;ticket;"i need a [transport_type : train] ticket traveling to [place_name : new york] in [date : may]";"i need a train ticket traveling to new york in may";"I need a train ticket traveling to New York in May."
73;transport;ticket;"hey i want to get trains to [place_name : manchester] on [date : Wednesday]";"hey i want to get trains to manchester on Wednesday";"Hey Olly, I want to get trains to Manchester on Wednesday."
20333;transport;ticket;"book a [transport_type : train] ticket for [date : tomorrow] going to [place_name : new york]";"book a train ticket for tomorrow going to new york";"Book a train ticket for [date : tomorrow], going to new york"
2274;transport;ticket;"book my [transport_type : train] ticket from [place_name : las vegas] to [place_name : los angeles]";"book my train ticket from las vegas to los angeles";"Book my train ticket from Las Vegas to Los Angeles"
5559;transport;ticket;"ticket for [place_name : delhi]";"ticket for delhi";"ticket for delhi"
14712;transport;ticket;"find a non stop [transport_type : train] to [place_name : seattle]";"find a non stop train to seattle";"Find a non-stop train to Seattle"
17378;transport;ticket;"find [transport_type : train] ticket";"find train ticket";"find train ticket"
5072;transport;ticket;"can you book me a [transport_type : train] ticket to [place_name : bombay] for [date : tomorrow] in any train";"can you book me a train ticket to bombay for tomorrow in any train";"can you book me a train ticket  to bombay for tommorow in any train?"
