answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
24705;qa;stock;"current stock price [business_name : intel]";"current stock price intel";"current stock price x"
27154;qa;stock;"give me the average five year stock price of home depot";"give me the average five year stock price of home depot";"Olly, give me the average 5 year stock price of home depot."
22487;qa;stock;"how's [business_name : microsoft's] stock";"how's microsoft's stock";"How's Microsoft's stock?"
24880;qa;stock;"how are stocks for [business_name : google]";"how are stocks for google";"Ok Google, how are stocks for Google"
26289;qa;stock;"how much would it cost to buy stock in [business_name : apple]";"how much would it cost to buy stock in apple";"How much would it cost to buy stock in Apple?"
21237;qa;stock;"stock price [business_name : fb]";"stock price fb";"stock price fb"
24394;qa;stock;"stock details";"stock details";"stock details"
27432;qa;stock;"is [business_name : i. b. m.] up [date : today]";"is i. b. m. up today";"Is IBM up today?"
18505;qa;stock;"set notification for news on the [news_topic : stock market]";"set notification for news on the stock market";"Set notification for news on the stock market"
18506;qa;stock;"turn on notification for all news on the [news_topic : stock market]";"turn on notification for all news on the stock market";"Turn on notification for all news on the stock market"
25357;qa;stock;"what is [business_name : apple's] stock price";"what is apple's stock price";"what is apple's stock price"
18730;qa;stock;"what are [business_name : i. b. m.'s] stock prices";"what are i. b. m.'s stock prices";"What are IBM's stock prices"
25811;qa;stock;"please find [date : today's] stock prices for [business_name : samsung] company";"please find today's stock prices for samsung company";"Please find today's stock prices for Samsung company."
26189;qa;stock;"is now a good time to sell some [currency_name : euros]";"is now a good time to sell some euros";"is now a good time to sell some euros?"
26186;qa;stock;"were the stocks rising or declining";"were the stocks rising or declining";"were the stocks rising or declining."
16898;qa;stock;"show me the stock price for [business_name : google]";"show me the stock price for google";"Show me the stock price for google."
15573;qa;stock;"i would like to receive updates about the [news_topic : stock market] [general_frequency : every day]";"i would like to receive updates about the stock market every day";"I would like to receive updates about the stock market every day."
23856;qa;stock;"please indicate the opening price of [business_name : fra] stock";"please indicate the opening price of fra stock";"Please indicate the opening price of fra stock"
22365;qa;stock;"how strong is the [currency_name : dollar] compared to the [currency_name : peso]";"how strong is the dollar compared to the peso";"How strong is the dollar compared to the Peso."
