answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
7402;calendar;remove;"remove the next event on my calendar";"remove the next event on my calendar";"Remove the next event on my calender"
11838;calendar;remove;"format the calendar";"format the calendar";"Format the calendar"
4331;calendar;remove;"remove the [event_name : board meeting] and reschedule for next [date : wednesday]";"remove the board meeting and reschedule for next wednesday";"Remove the board meeting and reschedule for next Wednesday"
9208;calendar;remove;"delete event from mine";"delete event from mine";"Delete event from mine"
3285;calendar;remove;"cancel the event [event_name : valentine's day] from the calendar";"cancel the event valentine's day from the calendar";"cancel the event 'valentine's day' from the calender"
16369;calendar;remove;"remove my [event_name : meeting] today at [time : one pm]";"remove my meeting today at one pm";"Remove my meeting today at 1:00 P.M."
18555;calendar;remove;"i no longer need to see the [event_name : doctor] can that event be removed";"i no longer need to see the doctor can that event be removed";"I no longer need to see the doctor can that event be removed"
19963;calendar;remove;"please remove [date : march nineteenth's] scheduled event";"please remove march nineteenth's scheduled event";"Please remove march 19ths scheduled event"
2916;calendar;remove;"make sure there is no events on my calendar";"make sure there is no events on my calendar";"make sure there is no events on my calendar"
1543;calendar;remove;"remove all the events on my calendar";"remove all the events on my calendar";"Remove all the events on my calendar"
16370;calendar;remove;"delete my [event_name : meeting] event for [date : march nineteen] at [time : one pm]";"delete my meeting event for march nineteen at one pm";"Delete my meeting event for March 19 at 1 P.M."
21437;calendar;remove;"remove upcoming task";"remove upcoming task";"Remove upcoming task."
23791;calendar;remove;"remove [person : emma's] [event_name : birthday] from events";"remove emma's birthday from events";"Remove Emma's birthday from events"
9427;calendar;remove;"in my calendar delete all of my [event_name : golf events] for the current [date : month]";"in my calendar delete all of my golf events for the current month";"In my calendar delete all of my golf events for the current month."
3938;calendar;remove;"erase calendar events";"erase calendar events";"Erase calender events"
14871;calendar;remove;"take [event_name : lunch meeting] off my calendar";"take lunch meeting off my calendar";"Take lunch meeting off my calendar."
9658;calendar;remove;"delete all my events for [date : tomorrow]";"delete all my events for tomorrow";"Delete all my events for tomorrow"
4324;calendar;remove;"delete the [event_name : party] on [date : june first] from my calendar";"delete the party on june first from my calendar";"Delete the party on June 1st from my calendar."
10036;calendar;remove;"can to please clear my calendar of all events";"can to please clear my calendar of all events";"Can to please clear my calendar of all events?"
99;calendar;remove;"remove [event_name : standup] on [date : Friday] at [time : ten am]";"remove standup on Friday at ten am";"Olly, remove standup on Friday at 10am"
26534;calendar;remove;"update the calendar with the [event_name : last event removed]";"update the calendar with the last event removed";"Alexa, update the calendar with the last event removed"
6924;calendar;remove;"delete an last event reminder of [date : twenty ninth of march twenty seventeen]";"delete an last event reminder of twenty ninth of march twenty seventeen";"Delete an last event reminder of 29/03/2017"
19860;calendar;remove;"take away all events";"take away all events";"Take away all events."
26051;calendar;remove;"erase next calendar event";"erase next calendar event";"Erase next calendar event"
21952;calendar;remove;"clear my schedule for [date : today]";"clear my schedule for today";"clear my schedule for today"
3843;calendar;remove;"cancel everything on my calendar";"cancel everything on my calendar";"Cancel everything on my calendar"
6426;calendar;remove;"cancel my [event_name : meeting] [date : tomorrow]";"cancel my meeting tomorrow";"Cancel my meeting tomorrow."
15633;calendar;remove;"hey olly make sure my calendar is completely clear [date : tomorrow]";"hey olly make sure my calendar is completely clear tomorrow";"hey siri make sure my calendar is completely clear tomorrow"
18553;calendar;remove;"can you delete the [event_name : doctors appointment] i had [date : Tuesday]";"can you delete the doctors appointment i had Tuesday";"Can you delete the doctors appoitment i had tuesday."
7394;calendar;remove;"i wish this event to be removed from my calendar";"i wish this event to be removed from my calendar";"i wish this event to be removed from my calender"
16194;calendar;remove;"remove my [meal_type : dinner] event for [date : monday]";"remove my dinner event for monday";"Remove my dinner event for Monday."
3725;calendar;remove;"delete all my calendar events";"delete all my calendar events";"delete all my calender events"
25566;calendar;remove;"remove all my engagements from calendar for [date : tomorrow]";"remove all my engagements from calendar for tomorrow";"Remove all my engagements from calender for [date : tomorrow]"
14308;calendar;remove;"please clear [person : jeff's] [event_name : birthday] from the calendar";"please clear jeff's birthday from the calendar";"Please clear Jeff's birthday from the calendar."
11816;calendar;remove;"can you please disregard the [event_name : party] that i will be going to [date : this weekend] on my calendar";"can you please disregard the party that i will be going to this weekend on my calendar";"Can you please disregard the party that I will be going to this weekend on my calendar."
2914;calendar;remove;"clear all events on my calendar";"clear all events on my calendar";"clear all events on my calender"
13714;calendar;remove;"please clear my calendar for [date : tomorrow]";"please clear my calendar for tomorrow";"Please clear my calendar for tomorrow."
18809;calendar;remove;"i need everything deleted from calendar please";"i need everything deleted from calendar please";"I need everything deleted from calendar please."
1289;calendar;remove;"remove next [event_name : meeting] [date : today] in my calendar";"remove next meeting today in my calendar";"Remove next meeting today in my calendar."
18;calendar;remove;"cancel the [meal_type : breakfast] at [place_name : tiffany's house]";"cancel the breakfast at tiffany's house";"cancel  the breakfast at tiffany's"
17645;calendar;remove;"remove the [event_name : fundraiser for dolphines] in [date : april]";"remove the fundraiser for dolphines in april";"Remove the fundraiser for dolphines in April."
18810;calendar;remove;"please clear out my calendar completely";"please clear out my calendar completely";"Please clear out my calendar completely."
19027;calendar;remove;"delete [event_name : meeting]";"delete meeting";"delete meeting"
18554;calendar;remove;"can you take off the next event on my calendar";"can you take off the next event on my calendar";"Can you take off the next event on my calendar"
25657;calendar;remove;"remove the [event_name : doctor's appointment] i added to my calendar for [date : february twelfth] at [time : nine am]";"remove the doctor's appointment i added to my calendar for february twelfth at nine am";"Remove the doctor's appointment I added to my calendar for February 12th at 9am."
15632;calendar;remove;"hey olly on the [date : twentieth] clear my calendar";"hey olly on the twentieth clear my calendar";"hey siri on the 20th clear my calendar"
14690;calendar;remove;"cancel my event on [date : june nineteenth]";"cancel my event on june nineteenth";"Cancel my event on June 19th"
14268;calendar;remove;"remove all upcoming events please";"remove all upcoming events please";"Remove all upcoming events please."
2915;calendar;remove;"clean my calendar";"clean my calendar";"clean my calender"
2451;calendar;remove;"remove all events from my calendar";"remove all events from my calendar";"Remove all events from my calendar."
12982;calendar;remove;"hi olly please cancel all the programs for [date : friday]";"hi olly please cancel all the programs for friday";"hi google please cancel all the programs for friday"
