answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
25571;transport;ticket;"book a ticket for the [transport_name : ethan allen express] to [place_name : vermont]";"book a ticket for the ethan allen express to vermont";"Book a ticket for the Ethan Allen Express to Vermont."
2436;transport;ticket;"find me a [transport_type : train] ticket next [date : monday] to [place_name : new york city]";"find me a train ticket next monday to new york city";"find me a train ticket next monday to new york city"
18884;transport;ticket;"i want to buy a [transport_type : train] ticket [date : tomorrow] for [place_name : boston] to [place_name : new york]";"i want to buy a train ticket tomorrow for boston to new york";"i want to buy a train ticket [date : tomorrow] for boston to new york"
3062;transport;ticket;"book a ride from [place_name : new york] to [place_name : orlando] covering [transport_descriptor : ten places to see]";"book a ride from new york to orlando covering ten places to see";"Book a ride from New York to Orlando covering 10 places to see."
20606;transport;ticket;"book a ticket to [place_name : ny] by [transport_type : train]";"book a ticket to ny by train";"book a ticket to NY by train"
26634;transport;ticket;"i need to book a [transport_type : train] ticket to [place_name : la]";"i need to book a train ticket to la";"I need to book a train ticket to LA"
12407;transport;ticket;"fetch me two [transport_type : train] tickets for the earliest [transport_type : train] to [place_name : paris]";"fetch me two train tickets for the earliest train to paris";"Olly, fetch me two train tickets for the earliest train to Paris."
11547;transport;ticket;"transportation ticket booking [transport_type : train]";"transportation ticket booking train";"Transportation, ticket booking, train"
4068;transport;ticket;"please purchase a [transport_type : train] ticket for this [time : weekend]";"please purchase a train ticket for this weekend";"please purchase a train ticket for this weekend"
2092;transport;ticket;"reserve a ticket to go to [place_name : destination] by [transport_type : train]";"reserve a ticket to go to destination by train";"reserve a ticket to go to destination by train"
7962;transport;ticket;"book a [transport_type : train] ticket from [place_name : baltimore maryland] to [place_name : new york new york]";"book a train ticket from baltimore maryland to new york new york";"Book a training ticket from Baltimore Maryland to New York New York"
13999;transport;ticket;"book a [transport_type : train] ticket from [place_name : mumbai to goa]";"book a train ticket from mumbai to goa";"Book a train ticket from mumbai to goa"
5241;transport;ticket;"i want a [transport_type : train] ticket from [place_name : los angeles] to [place_name : phoenix]";"i want a train ticket from los angeles to phoenix";"I want a train ticket from Los Angeles to Phoenix"
13726;transport;ticket;"google can you book me a ticket on the [transport_type : train] for [date : tomorrow]";"google can you book me a ticket on the train for tomorrow";"Google can you book me a ticket on the train for tomorrow."
3213;transport;ticket;"search for a [transport_type : train] ticket to [place_name : newcastle]";"search for a train ticket to newcastle";"Search for a train ticket to..."
21505;transport;ticket;"book [transport_type : train] ticket to [place_name : ny]";"book train ticket to ny";"book train ticket to NY"
14782;transport;ticket;"please book the [time : five pm] [transport_type : train] to [place_name : rockville]";"please book the five pm train to rockville";"Please book the 5pm train to Rockville."
17903;transport;ticket;"get me a ticket to [place_name : boston]";"get me a ticket to boston";"Get me a ticket to Boston."
2255;transport;ticket;"can you book a [transport_type : train] ticket for my [relation : mother]";"can you book a train ticket for my mother";"Can you book a train ticket for my mother?"
14000;transport;ticket;"get me a [transport_type : train] ticket from [place_name : mumbai to goa]";"get me a train ticket from mumbai to goa";"Get me a train ticket from mumbai to goa"
15323;transport;ticket;"please order one [transport_type : train] ticket to [place_name : los angeles]";"please order one train ticket to los angeles";"Please order one train ticket to Los Angeles."
13227;transport;ticket;"i need to go to [place_name : lyon] book a [transport_type : train] ticket";"i need to go to lyon book a train ticket";"I need to go to (location). Book a train ticket."
17377;transport;ticket;"order travel ticket";"order travel ticket";"order travel ticket"
