answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
2490;audio;volume_mute;"quiet please";"quiet please";"Quiet please."
10974;audio;volume_mute;"mute sound from speakers";"mute sound from speakers";"Mute sound from speakers."
27292;audio;volume_mute;"please mute for [time : five minutes]";"please mute for five minutes";"PDA please mute for 5 minutes"
15393;audio;volume_mute;"mute my speakers for a minute here i need to make a call";"mute my speakers for a minute here i need to make a call";"Mute my speakers for a minute here I need to make a call."
13033;audio;volume_mute;"mute speaker";"mute speaker";"Mute speaker"
10973;audio;volume_mute;"silence volume on speakers";"silence volume on speakers";"Silence volume on speakers."
19545;audio;volume_mute;"turn off media volume";"turn off media volume";"turn off media volume"
10086;audio;volume_mute;"i need you to be quiet [time : until tomorrow]";"i need you to be quiet until tomorrow";"I need you to be quiet until tomorrow."
13025;audio;volume_mute;"go to sleep";"go to sleep";"Go to sleep"
27293;audio;volume_mute;"no notifications for [time : five minutes]";"no notifications for five minutes";"PDA no notifications for 5 minutes"
12006;audio;volume_mute;"turn off the sound";"turn off the sound";"Turn off the PDA's sound"
14416;audio;volume_mute;"mute the music";"mute the music";"mute the music"
33;audio;volume_mute;"pause for [time : ten seconds]";"pause for ten seconds";"Olly pause for ten seconds"
2815;audio;volume_mute;"set mute for [time : twenty minutes]";"set mute for twenty minutes";"Set mute for 20 mins"
14236;audio;volume_mute;"i need to mute the speaker";"i need to mute the speaker";"i need to mute the speaker"
11214;audio;volume_mute;"stop making sounds for [time : forty minutes]";"stop making sounds for forty minutes";"Stop making sounds for 40 minutes."
25841;audio;volume_mute;"can you please stop speaking";"can you please stop speaking";"Can you please stop speaking"
1310;audio;volume_mute;"mute volume";"mute volume";"Mute volume."
8243;audio;volume_mute;"please do not answer";"please do not answer";"please do not answer"
10373;audio;volume_mute;"please be silent until i tell you not to be";"please be silent until i tell you not to be";"Please be silent until I tell you not to be"
14238;audio;volume_mute;"i want to mute the speaker";"i want to mute the speaker";"I want to mute the speaker"
10374;audio;volume_mute;"silent mode";"silent mode";"Silent mode"
2522;audio;volume_mute;"mute yourself when i am in a [event_name : meeting]";"mute yourself when i am in a meeting";"Must yourself when I am in a meeting."
4265;audio;volume_mute;"please pause yourself";"please pause yourself";"Please pause yourself."
10518;audio;volume_mute;"please keep quiet for the [time : next hour]";"please keep quiet for the next hour";"Please keep quiet for the next hour."
11092;audio;volume_mute;"mute the [device_type : living room speakers]";"mute the living room speakers";"Mute the living room speakers"
