answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
512;general;repeat;"would you do it again.";"would you do it again.";"would you do it again."
212;general;repeat;"let us start over.";"let us start over.";"let us start over."
515;general;repeat;"please would you replay your last phrase said.";"please would you replay your last phrase said.";"please would you replay your last phrase said."
346;general;repeat;"say the last one said again please.";"say the last one said again please.";"say the last one said again please."
108;general;repeat;"reset.";"reset.";"reset."
218;general;repeat;"can you tell me what said once more.";"can you tell me what said once more.";"can you tell me what said once more."
100;general;repeat;"please start over.";"please start over.";"please start over."
87;general;repeat;"please would you repeat that.";"please would you repeat that.";"please would you repeat that."
60;general;repeat;"please try the things one more again.";"please try the things one more again.";"please try the things one more again."
407;general;repeat;"would you speak it one more again please.";"would you speak it one more again please.";"would you speak it one more again please."
548;general;repeat;"can you try the last one spoken once again.";"can you try the last one spoken once again.";"can you try the last one spoken once again."
128;general;repeat;"please reset that.";"please reset that.";"please reset that."
224;general;repeat;"can you speak the command spoke one more again please.";"can you speak the command spoke one more again please.";"can you speak the command spoke one more again please."
280;general;repeat;"i'd like to hear what i have just said again.";"i'd like to hear what i have just said again.";"i'd like to hear what i have just said again."
79;general;repeat;"tell me once again.";"tell me once again.";"tell me once again."
564;general;repeat;"please say what you've just said once again.";"please say what you've just said once again.";"please say what you've just said once again."
345;general;repeat;"start over please.";"start over please.";"start over please."
264;general;repeat;"can you repeat please.";"can you repeat please.";"can you repeat please."
336;general;repeat;"will you reset.";"will you reset.";"will you reset."
248;general;repeat;"could you tell me it one more time please.";"could you tell me it one more time please.";"could you tell me it one more time please."
371;general;repeat;"one more time again.";"one more time again.";"one more time again."
414;general;repeat;"will you retry it please.";"will you retry it please.";"will you retry it please."
320;general;repeat;"would you try that instruction said again please.";"would you try that instruction said again please.";"would you try that instruction said again please."
139;general;repeat;"tell me that once again.";"tell me that once again.";"tell me that once again."
75;general;repeat;"tell me it one more again please.";"tell me it one more again please.";"tell me it one more again please."
355;general;repeat;"i would like to hear what i've said again.";"i would like to hear what i've said again.";"i would like to hear what i've said again."
509;general;repeat;"would you tell me that once again.";"would you tell me that once again.";"would you tell me that once again."
68;general;repeat;"please speak the last one said one more time.";"please speak the last one said one more time.";"please speak the last one said one more time."
368;general;repeat;"one more again please.";"one more again please.";"one more again please."
581;general;repeat;"try it once more please.";"try it once more please.";"try it once more please."
14;general;repeat;"please let's start over.";"please let's start over.";"please let's start over."
220;general;repeat;"i would like to hear the last you just said again.";"i would like to hear the last you just said again.";"i would like to hear the last you just said again."
131;general;repeat;"tell me what you just said once again please.";"tell me what you just said once again please.";"tell me what you just said once again please."
142;general;repeat;"could you try what you just said one more again.";"could you try what you just said one more again.";"could you try what you just said one more again."
151;general;repeat;"i'd like to hear the last utterance spoken again.";"i'd like to hear the last utterance spoken again.";"i'd like to hear the last utterance spoken again."
59;general;repeat;"would you try what you said again.";"would you try what you said again.";"would you try what you said again."
369;general;repeat;"please would you reset.";"please would you reset.";"please would you reset."
328;general;repeat;"please would you repeat what you've said.";"please would you repeat what you've said.";"please would you repeat what you've said."
82;general;repeat;"will you say again please.";"will you say again please.";"will you say again please."
5;general;repeat;"could you tell me one more time please.";"could you tell me one more time please.";"could you tell me one more time please."
217;general;repeat;"replay please.";"replay please.";"replay please."
516;general;repeat;"please could you try what you've said once more.";"please could you try what you've said once more.";"please could you try what you've said once more."
349;general;repeat;"i would like to hear the last one you said again.";"i would like to hear the last one you said again.";"i would like to hear the last one you said again."
442;general;repeat;"do it again please.";"do it again please.";"do it again please."
342;general;repeat;"can you reset.";"can you reset.";"can you reset."
253;general;repeat;"say that again.";"say that again.";"say that again."
10;general;repeat;"please replay your last statement.";"please replay your last statement.";"please replay your last statement."
271;general;repeat;"try the last message one more time please.";"try the last message one more time please.";"try the last message one more time please."
558;general;repeat;"please tell me that one more again.";"please tell me that one more again.";"please tell me that one more again."
26;general;repeat;"retry the last spoken.";"retry the last spoken.";"retry the last spoken."
356;general;repeat;"please tell me it one more again.";"please tell me it one more again.";"please tell me it one more again."
7;general;repeat;"i want to hear your last instruction you said again.";"i want to hear your last instruction you said again.";"i want to hear your last instruction you said again."
561;general;repeat;"reset please.";"reset please.";"reset please."
282;general;repeat;"can you speak it again please.";"can you speak it again please.";"can you speak it again please."
416;general;repeat;"please can you tell me that word said once again.";"please can you tell me that word said once again.";"please can you tell me that word said once again."
158;general;repeat;"i'm sorry.";"i'm sorry.";"i'm sorry."
12;general;repeat;"can you say it one more time again please.";"can you say it one more time again please.";"can you say it one more time again please."
171;general;repeat;"please repeat that.";"please repeat that.";"please repeat that."
549;general;repeat;"would you repeat the last please.";"would you repeat the last please.";"would you repeat the last please."
226;general;repeat;"replay the last utterance said.";"replay the last utterance said.";"replay the last utterance said."
55;general;repeat;"please speak that one more again.";"please speak that one more again.";"please speak that one more again."
560;general;repeat;"i need to hear that sentence said again.";"i need to hear that sentence said again.";"i need to hear that sentence said again."
162;general;repeat;"can you speak once again please.";"can you speak once again please.";"can you speak once again please."
411;general;repeat;"tell me that one more time please.";"tell me that one more time please.";"tell me that one more time please."
485;general;repeat;"what's that.";"what's that.";"what's that."
207;general;repeat;"say it one more time please.";"say it one more time please.";"say it one more time please."
90;general;repeat;"tell me again.";"tell me again.";"tell me again."
527;general;repeat;"please can you say it one more time again.";"please can you say it one more time again.";"please can you say it one more time again."
504;general;repeat;"tell me what i said one more time again please.";"tell me what i said one more time again please.";"tell me what i said one more time again please."
208;general;repeat;"speak one more time please.";"speak one more time please.";"speak one more time please."
31;general;repeat;"could you tell me once again please.";"could you tell me once again please.";"could you tell me once again please."
559;general;repeat;"will you speak one more time again.";"will you speak one more time again.";"will you speak one more time again."
533;general;repeat;"i would like to hear what said again.";"i would like to hear what said again.";"i would like to hear what said again."
159;general;repeat;"let's try it again.";"let's try it again.";"let's try it again."
138;general;repeat;"could you speak once more please.";"could you speak once more please.";"could you speak once more please."
203;general;repeat;"please will you say that one more again.";"please will you say that one more again.";"please will you say that one more again."
86;general;repeat;"speak again please.";"speak again please.";"speak again please."
251;general;repeat;"tell me one more time again please.";"tell me one more time again please.";"tell me one more time again please."
481;general;repeat;"i'd like to hear that sentence spoke again.";"i'd like to hear that sentence spoke again.";"i'd like to hear that sentence spoke again."
225;general;repeat;"will you say what you have just said once more please.";"will you say what you have just said once more please.";"will you say what you have just said once more please."
491;general;repeat;"could you say the sentence spoken once again please.";"could you say the sentence spoken once again please.";"could you say the sentence spoken once again please."
188;general;repeat;"what is that one more time.";"what is that one more time.";"what is that one more time."
469;general;repeat;"please let's try it one more time again.";"please let's try it one more time again.";"please let's try it one more time again."
