answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
17945;takeaway;query;"call [business_name : pizza hut] and find out if my order is ready";"call pizza hut and find out if my order is ready";"Call Pizza Hut and find out if my order is ready."
4327;takeaway;query;"find a [food_type : pizza] [business_type : restaurant] open until [time : noon]";"find a pizza restaurant open until noon";"Find a pizza restaurant open until noon"
1345;takeaway;query;"does my favourite [food_type : pizza] place available for [order_type : takeaway]";"does my favourite pizza place available for takeaway";"Does my favourite pizza place available for takeaway?"
25003;takeaway;query;"do the [business_type : restaurant] [order_type : deliver]";"do the restaurant deliver";"do the restaurant deliver?"
3859;takeaway;query;"does [business_name : pf changs] do [order_type : takeout]";"does pf changs do takeout";"Does PF Changs do takeout?"
87;takeaway;query;"find my [food_type : thai] [order_type : takeaways] around [place_name : grassmarket]";"find my thai takeaways around grassmarket";"find my thai takeaways around grassmarket"
25501;takeaway;query;"look to see if [business_name : luigi's] has [order_type : takeaway]";"look to see if luigi's has takeaway";"Look to see if Luigi's has take-a-way."
13027;takeaway;query;"does [person : john's] [food_type : pizza] have [order_type : takeaway]";"does john's pizza have takeaway";"Does John's pizza have takeaway"
3861;takeaway;query;"can i get [order_type : takeout] from [business_name : pf changs]";"can i get takeout from pf changs";"Can I get takeout from PF Changs?"
14898;takeaway;query;"where is an [business_name : olive garden] that does [order_type : takeaway]";"where is an olive garden that does takeaway";"Where is an Olive Garden that does takeaway?"
2551;takeaway;query;"how much time it will take to prepare the order";"how much time it will take to prepare the order";"How much time it will take to prepare the order"
23446;takeaway;query;"when i will get the [order_type : delivery]";"when i will get the delivery";"When i will get the delivery."
25177;takeaway;query;"when is my [order_type : takeaway] going to get here";"when is my takeaway going to get here";"When is my takeaway going to get here?"
6156;takeaway;query;"when will my food be ready";"when will my food be ready";"When will my food be ready?"
19174;takeaway;query;"does [business_type : restaurant] have [order_type : takeaway]";"does restaurant have takeaway";"Does restaurant have takeaway?"
10822;takeaway;query;"can i get [order_type : delivery] from this [business_type : restaurant]";"can i get delivery from this restaurant";"Can I get delivery from this restaurant?"
13576;takeaway;query;"what is the status of my order";"what is the status of my order";"what is the status of my order?"
10167;takeaway;query;"when do i need to leave to pick up my order";"when do i need to leave to pick up my order";"When do I need to leave to pick up my order?"
2552;takeaway;query;"prepare the order as soon as possible";"prepare the order as soon as possible";"Prepare the order as soon as possible."
