answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
6861;recommendation;locations;"i want to know the best [business_type : super market] in this local area";"i want to know the best super market in this local area";"Alexa, I want to know the best super market in this local area"
4439;recommendation;locations;"i need some [food_type : sushi] what's closest";"i need some sushi what's closest";"I need some sushi, what's closest?"
16798;recommendation;locations;"what [business_type : bars] are around me";"what bars are around me";"Olly, what bars are around me"
11018;recommendation;locations;"what's the best [food_type : italian] [business_type : restaurant] in [place_name : atlanta]";"what's the best italian restaurant in atlanta";"What's the best Italian restaurant in Atlanta?"
16799;recommendation;locations;"where is the closest [business_type : bar]";"where is the closest bar";"Olly, where is the closest bar"
18289;recommendation;locations;"please list [business_type : shops] within one miles from me";"please list shops within one miles from me";"Please list shops withing X miles from me"
16809;recommendation;locations;"where is a great [business_type : pub]";"where is a great pub";"Where is a great pub"
3973;recommendation;locations;"where should i go for [food_type : mexican] food in me area";"where should i go for mexican food in me area";"Where should I go for Mexican food in my area?"
11716;recommendation;locations;"recommend [business_type : pub] in [place_name : eighth and monte diablo]";"recommend pub in eighth and monte diablo";"Recommend Pub, eighth and monte diablo"
672;recommendation;locations;"what [business_type : pubs] are close";"what pubs are close";"what pubs are close"
11691;recommendation;locations;"name stores within ten mile radius with music";"name stores within ten mile radius with music";"Olly, name stores within 10 mile radius with music"
16165;recommendation;locations;"what [business_type : restaurants] are open near me";"what restaurants are open near me";"What restaurants are open near me?"
11233;recommendation;locations;"where can i go [business_type : shopping] in [place_name : this area]";"where can i go shopping in this area";"Olly where can I go shopping in this area?"
2891;recommendation;locations;"where can i find a good [business_type : taco truck] in [place_name : los angles]";"where can i find a good taco truck in los angles";"Where can I find a good taco truck in LA?"
19085;recommendation;locations;"what is a good place for cruise";"what is a good place for cruise";"PDA, What is a good place for cruise"
11771;recommendation;locations;"what [food_type : chinese] [business_type : restaurants] are in my area";"what chinese restaurants are in my area";"Olly what chinese restaurants are in my area?"
10875;recommendation;locations;"where do people shop for clothes here";"where do people shop for clothes here";"Where do people shop for clothes here?"
16313;recommendation;locations;"can you recommend a cheap [business_type : restaurant] in this area";"can you recommend a cheap restaurant in this area";"Can you recommend a cheap restaurant in this area?"
8889;recommendation;locations;"make a reservation for two at [business_type : olive garden]";"make a reservation for two at olive garden";"Make a reservation for 2 at olive garden"
