answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
7930;lists;remove;"delete item four";"delete item four";"Delete item 4"
693;lists;remove;"remove eggs for the [list_name : shopping] list";"remove eggs for the shopping list";"Remove eggs for the shopping list"
7725;lists;remove;"remove cheese from my list";"remove cheese from my list";"Remove Cheese from my list."
3138;lists;remove;"clear list";"clear list";"clear list"
19422;lists;remove;"get rid of [list_name : tax] list from [date : nineteen ninety]";"get rid of tax list from nineteen ninety";"Get rid of tax list from 1990."
6615;lists;remove;"remove the item from list";"remove the item from list";"Remove the item from list"
3999;lists;remove;"delete from playlist my [list_name : old english] songs list";"delete from playlist my old english songs list";"Delete from playlist my Old English Songs list"
22347;lists;remove;"erase spaghetti from list";"erase spaghetti from list";"Erase @ from list"
8303;lists;remove;"please remove the following list";"please remove the following list";"Please remove the following list"
21994;lists;remove;"please remove list";"please remove list";"Please remove list"
22595;lists;remove;"abolish an item from list";"abolish an item from list";"abolish an item from list"
10709;lists;remove;"erase my [list_name : grocery] list";"erase my grocery list";"Erase my grocery list."
1856;lists;remove;"delete the list created [date : yesterday]";"delete the list created yesterday";"Delete the list created yesteday"
19420;lists;remove;"remove the [list_name : santana music] list";"remove the santana music list";"Remove the Santana music list."
696;lists;remove;"delete the [list_name : shopping] list";"delete the shopping list";"Delete the shopping list"
7724;lists;remove;"delete the list item about the meeting";"delete the list item about the meeting";"Delete the list item about the meeting."
24386;lists;remove;"remove vegetables from the list";"remove vegetables from the list";"Remove vegetables from the list"
12404;lists;remove;"i need you to remove item s from my list";"i need you to remove item s from my list";"I need you to remove item s from my list"
2532;lists;remove;"remove a list of [list_name : accessories] purchase [date : last week]";"remove a list of accessories purchase last week";"Remove a list of accessories purchase last week."
