answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
9411;play;music;"take me to [device_type : music player]";"take me to music player";"Take me to music player"
23217;play;music;"play the romantic songs";"play the romantic songs";"play the romanitc songs"
5095;play;music;"play music for me";"play music for me";"play music for me"
23729;play;music;"please play [artist_name : michael jackson] [media_type : album]";"please play michael jackson album";"Please play Michael Jackson album"
12987;play;music;"play [artist_name : jack johnson] playlist music";"play jack johnson playlist music";"Play Jack Johnson playlist music"
20708;play;music;"find songs from my [playlist_name : big band playlist]";"find songs from my big band playlist";"Find songs from my Big Band playlist."
23816;play;music;"play for me [music_genre : hip hop] music";"play for me hip hop music";"Play for me Hip-Hop music"
5952;play;music;"play the [song_name : last song] from my most recent playlist";"play the last song from my most recent playlist";"Play the last song from my most recent playlist."
2782;play;music;"please i want to hear [song_name : we will rock you] from [artist_name : queen]";"please i want to hear we will rock you from queen";"please I want to hear We will rock you from Queen"
10729;play;music;"i want to listen to [music_genre : rock]";"i want to listen to rock";"I want to listen to Rock"
2358;play;music;"i want to listen [music_genre : jazz]";"i want to listen jazz";"I want to listen jazz."
10922;play;music;"now playing";"now playing";"now playing"
21168;play;music;"i want to hear [song_name : surfin usa]";"i want to hear surfin usa";"i want to hear surfin usa"
23805;play;music;"play for me the music by [artist_name : the beatles]";"play for me the music by the beatles";"Play for me the music by The Beatles"
14060;play;music;"google find and play [song_name : florida georgia line the one] with [artist_name : nelly]";"google find and play florida georgia line the one with nelly";"Google find and play Florida Georgia Line the one with Nelly."
2492;play;music;"play songs by [artist_name : adele]";"play songs by adele";"play songs bu Adele"
22157;play;music;"play the [artist_name : bjork] album i've heard the least";"play the bjork album i've heard the least";"Play the Bjork album I've heard the least."
4341;play;music;"get [artist_name : sia's] [song_name : cheap thrills] ready to play next";"get sia's cheap thrills ready to play next";"Get Sia's cheap thrills ready to play next."
12972;play;music;"best [music_genre : rap] music";"best rap music";"best rap music"
