answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
6756;calendar;set;"[date : twelveth july] is [person : bola's] [event_name : birthday] and my calendar to be updated with this date";"twelveth july is bola's birthday and my calendar to be updated with this date";"12th July is Bola's birthday and my calender to be updated with this date"
1898;calendar;set;"set reminder for [event_name : tennis game] with [person : peter] on [date : Sunday] at [time : four pm]";"set reminder for tennis game with peter on Sunday at four pm";"Set reminder for tennis game with Peter on Sunday at 4 pm"
17816;calendar;set;"please block off [date : friday] at [time : eight am] on my calendar";"please block off friday at eight am on my calendar";"Please block off Friday at 8 am on my calendar."
6992;calendar;set;"all [place_name : rccg] [date : march] event is to be added to my calendar";"all rccg march event is to be added to my calendar";"All RCCG March event is to be added to my calender"
11830;calendar;set;"add [event_name : valia's wedding] the next [date : saturday] at [time : eight o clock]";"add valia's wedding the next saturday at eight o clock";"Add Valia's wedding the next Saturday at 8 o clock,"
9636;calendar;set;"i have a [event_name : meeting] [date : tomorrow] [timeofday : morning] at [time : ten] please remind me";"i have a meeting tomorrow morning at ten please remind me";"I have a meeting tomorrow morning at 10:00, please remind me."
9749;calendar;set;"i need you to remind me to go to store [date : tomorrow]";"i need you to remind me to go to store tomorrow";"I need you to remind me to go to store tomorrow"
13738;calendar;set;"remind me of this [event_name : meeting] soon";"remind me of this meeting soon";"Remind me of this meeting soon."
15345;calendar;set;"[event_name : dentist appointment] [date : today] at [time : nine am]";"dentist appointment today at nine am";"Dentist appointment today at 9 am"
1831;calendar;set;"create a [general_frequency : repeating] event on [date : mondays] at [time : seven pm]";"create a repeating event on mondays at seven pm";"Olly, create a repeating event on Mondays at 7 pm"
14299;calendar;set;"remind me of [event_name : meeting] [time : five minutes before] time";"remind me of meeting five minutes before time";"remind me of meeting 5 minutes before time"
22047;calendar;set;"remind me to [event_name : meet with steve] at [time : one pm] [date : tomorrow]";"remind me to meet with steve at one pm tomorrow";"Remind me to meet with Steve at 1:00pm [date : tomorrow]"
7257;calendar;set;"add [event_name : new year] with [relation : family] [date : next week]";"add new year with family next week";"add 'new year' with family next week"
3567;calendar;set;"schedule a [event_name : lunch meeting] with [person : brent] on [date : Wednesday] at [timeofday : noon]";"schedule a lunch meeting with brent on Wednesday at noon";"Schedule a lunch meeting with Brent on Wednesday at noon."
22821;calendar;set;"call me for this [event_name : meeting]";"call me for this meeting";"call me for this meeting"
23140;calendar;set;"schedule [meal_type : dinner] with [person : sara] and [person : jamie]";"schedule dinner with sara and jamie";"Schedule dinner with Sara and Jamie"
3893;calendar;set;"remind me later";"remind me later";"Remind me later."
23757;calendar;set;"just set me reminders about [event_name : pending payment of children school fees]";"just set me reminders about pending payment of children school fees";"Just set me reminders about pending payment of childreen school fees"
9258;calendar;set;"add a reminder for [date : april twenty] as my [relation : bro's] [event_name : birthday]";"add a reminder for april twenty as my bro's birthday";"Add a reminder for April 20 as my bro's birthday."
