answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
23960;alarm;remove;"disable the alarm which is set at [time : nine thirty pm]";"disable the alarm which is set at nine thirty pm";"disable the alarm which is set at 9:30pm"
11624;alarm;remove;"delete scheduled alarm";"delete scheduled alarm";"Delete scheduled alarm"
19606;alarm;remove;"turn off my first alarm";"turn off my first alarm";"Turn off my first alarm"
11270;alarm;remove;"please cancel all alarms for [date : tomorrow]";"please cancel all alarms for tomorrow";"Please cancel all alarms for tomorrow."
14684;alarm;remove;"please delete the [date : wednesday] [timeofday : evening] alarm";"please delete the wednesday evening alarm";"Please delete the Wednesday evening alarm."
3737;alarm;remove;"please delete my [timeofday : morning] alarm";"please delete my morning alarm";"please delete my morning alarm"
15082;alarm;remove;"remove all of my alarms";"remove all of my alarms";"Olly, remove all of my alarms."
11625;alarm;remove;"cancel alarm";"cancel alarm";"Cancel alarm"
1530;alarm;remove;"delete the alarm i just set";"delete the alarm i just set";"Delete the alarm I just set"
25900;alarm;remove;"could you please remove the set of alarms between [time : eight and nine]";"could you please remove the set of alarms between eight and nine";"Could you please remove the set of alarms between 8 and 9?"
13047;alarm;remove;"please turn off the alarm";"please turn off the alarm";"pls turn off the alarm"
27254;alarm;remove;"delete alarm";"delete alarm";"Delete alarm."
12973;alarm;remove;"remove the latest alarm";"remove the latest alarm";"remove the latest alarm"
3534;alarm;remove;"stop [alarm_type : wake up] calls for [date : this week]";"stop wake up calls for this week";"stop wake-up calls for this week"
2173;alarm;remove;"remove the first alarm";"remove the first alarm";"Remove the first alarm"
16804;alarm;remove;"remove my earliest alarm for [date : tomorrow]";"remove my earliest alarm for tomorrow";"Remove my earliest alarm for tomorrow."
14685;alarm;remove;"kickball is over i do not need the alarm for kickball on [date : wednesday] [timeofday : evening] any longer";"kickball is over i do not need the alarm for kickball on wednesday evening any longer";"Kickball is over, I do not need the alarm for kickball on Wednesday evening, any longer."
12427;alarm;remove;"remove all alarms";"remove all alarms";"remove all alarms"
13272;alarm;remove;"take off my alarms";"take off my alarms";"Take off my alarms"
558;alarm;remove;"cancel my [time : seven am] alarm";"cancel my seven am alarm";"Cancel my 7am alarm"
15935;alarm;remove;"disable all alarms set for [date : today]";"disable all alarms set for today";"Disable all alarms set for today."
20467;alarm;remove;"olly cancel alarms";"olly cancel alarms";"Siri, cancel alarms"
19462;alarm;remove;"remove my [time : six am] alarm";"remove my six am alarm";"Remove my 6 am alarm"
15936;alarm;remove;"snooze all [date : today's] alarms permanently";"snooze all today's alarms permanently";"Snooze all today's alarms permanently."
19882;alarm;remove;"remove my work alarm";"remove my work alarm";"Echo, remove my work alarm"
4506;alarm;remove;"[time : one pm] removed";"one pm removed";"1PM REMOVED 1AM SET"
20468;alarm;remove;"olly cancel yoga alarms";"olly cancel yoga alarms";"Siri, cancel yoga alarms"
18441;alarm;remove;"do not wake me up on [time : weekends]";"do not wake me up on weekends";"Do not wake me up on weekends."
3532;alarm;remove;"remove [alarm_type : wake up] calls for [date : this week]";"remove wake up calls for this week";"remove wake-up calls for this week"
18439;alarm;remove;"cancel my alarm for [date : tomorrow] [timeofday : morning]";"cancel my alarm for tomorrow morning";"Cancel my alarm for tomorrow morning."
25329;alarm;remove;"reset the alarm";"reset the alarm";"Reset the alarm."
8993;alarm;remove;"remove [date : tomorrow's] alarm";"remove tomorrow's alarm";"remove tomorrow's alarm"
5808;alarm;remove;"set the alarm off";"set the alarm off";"Set the alarm off"
8652;alarm;remove;"remove my [time : four am] alarm";"remove my four am alarm";"remove my 4 am alaram"
2690;alarm;remove;"cancel my [time : eight am] alarm";"cancel my eight am alarm";"Cancel my 8AM alarm"
16805;alarm;remove;"delete the [event_name : meeting] alarm at [time : two pm] on [date : tuesday]";"delete the meeting alarm at two pm on tuesday";"Delete the meeting alarm at 2 P.M. on Tuesday."
11866;alarm;remove;"please remove this alarm";"please remove this alarm";"Please remove this alarm"
6984;alarm;remove;"remove [time : six am] alarm of [time : whole week] for future";"remove six am alarm of whole week for future";"Remove 6 a. m. alarm of whole week for future."
4505;alarm;remove;"[time : twelve am] removed";"twelve am removed";"12AM REMOVED 2PM SET"
12104;alarm;remove;"delete my [time : six am] alarm";"delete my six am alarm";"delete my 6 am alarm"
14371;alarm;remove;"i need to delete the alarm for church on [date : sundays] at [time : eleven am]";"i need to delete the alarm for church on sundays at eleven am";"I need to delete the alarm for church on Sundays at 11am."
4632;alarm;remove;"cancel my [time : three pm] alarm";"cancel my three pm alarm";"cancel my 3pm alarm"
8136;alarm;remove;"please remove the alarm which i set for [date : today] [timeofday : morning]";"please remove the alarm which i set for today morning";"please remove the alarm which i set for today morning."
12341;alarm;remove;"cancel alarm for [date : tomorrow]";"cancel alarm for tomorrow";"cancel alarm for tomorrow"
22028;alarm;remove;"remove number three alarm of list";"remove number three alarm of list";"Remove no. 3 alarm of list."
3533;alarm;remove;"cancel [alarm_type : wake up] calls for [date : this week]";"cancel wake up calls for this week";"cancel wake-up calls for this week"
23959;alarm;remove;"please remove the the alarm which i set";"please remove the the alarm which i set";"pleaze remove the the alarm which i set"
15084;alarm;remove;"Get rid of my current alarms";"Get rid of my current alarms";"Olly, get rid of my current alarms."
14372;alarm;remove;"please remove the alarm that is set for [date : weekdays] at [time : nine]";"please remove the alarm that is set for weekdays at nine";"Please remove the alarm that is set for weekdays at 9."
17611;alarm;remove;"disable the alarm at [time : ten am]";"disable the alarm at ten am";"Disable the alarm at xx:xx am/pm"
6983;alarm;remove;"remove [date : tuesday] alarm of [time : nine am]";"remove tuesday alarm of nine am";"Remove Tuesday alarm of 9.00 a. m."
2691;alarm;remove;"get rid of my [time : eight am] alarm";"get rid of my eight am alarm";"Get rid of my 8AM alarm"
12105;alarm;remove;"clear my [time : nine am] alarms";"clear my nine am alarms";"clear my 9 am alarms"
