answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
26410;weather;query;"do i have to bring [weather_descriptor : umbrella] for [timeofday : tonight] party";"do i have to bring umbrella for tonight party";"Do I have to bring umbrella for tonight party"
26490;weather;query;"should i wear [weather_descriptor : gloves] [timeofday : tonight]";"should i wear gloves tonight";"Should i wear gloves tonight?"
26411;weather;query;"will it [weather_descriptor : rain] in the [timeofday : noon]";"will it rain in the noon";"Will it rain in the noon"
23748;weather;query;"how will be the weather at [timeofday : night]";"how will be the weather at night";"How will be the weather at night"
17973;weather;query;"will the [weather_descriptor : temperature] be [weather_descriptor : higher than forty] [date : tomorrow]";"will the temperature be higher than forty tomorrow";"will the temperature be higher than 40 tomorrow?"
23746;weather;query;"ask for the weather [date : today] [timeofday : morning]";"ask for the weather today morning";"Ask for the weather today morning"
3361;weather;query;"is [weather_descriptor : summer] going on";"is summer going on";"is summer going on?"
24933;weather;query;"do you think i can wear [weather_descriptor : sandals] or should i wear [weather_descriptor : sneakers] [timeofday : tonight] at [time : seven pm]";"do you think i can wear sandals or should i wear sneakers tonight at seven pm";"Do you think I can wear sandals or should I wear sneakers tonight at 7pm?"
9141;weather;query;"show me the weather forecast for [time : the next three three days]";"show me the weather forecast for the next three three days";"Show me the weather forecast for the next 3 three days"
20932;weather;query;"are you sure its going to [weather_descriptor : rain] [date : tomorrow]";"are you sure its going to rain tomorrow";"Olly, are you sure its going to rain [date : tomorrow]?"
26072;weather;query;"will i need my [weather_descriptor : snow boots] [timeofday : this afternoon]";"will i need my snow boots this afternoon";"Will I need my snow boots this afternoon?"
17470;weather;query;"do i need to wear [weather_descriptor : sunscreen] [date : today]";"do i need to wear sunscreen today";"Do I need to wear sunscreen today?"
3170;weather;query;"what is the [weather_descriptor : temperature] [date : today]";"what is the temperature today";"What is the temperature today"
24419;weather;query;"what is the weather [date : next week]";"what is the weather next week";"what is the weather next week"
5055;weather;query;"what is the climate here [date : today]";"what is the climate here today";"what is the climate here today"
3696;weather;query;"let me know when the next cold front is expected";"let me know when the next cold front is expected";"Let me know when the next cold front is expected"
27011;weather;query;"i am gonna need an [weather_descriptor : umbrella] [date : today] [time : after sunset]";"i am gonna need an umbrella today after sunset";"I am gonna need an umbrella today after sunset?"
22545;weather;query;"google what is the temperature outside";"google what is the temperature outside";"Google, what is the temperature outside?"
15984;weather;query;"are there any [weather_descriptor : tornado] warnings [date : today]";"are there any tornado warnings today";"Are there any tornado warnings today?"
17281;weather;query;"give me the weather for [place_name : merced] at [time : three pm]";"give me the weather for merced at three pm";"give me the weather for merced at 3:00 pm"
14260;weather;query;"weather [date : this week]";"weather this week";"weather this week"
23401;weather;query;"find weather report";"find weather report";"find weather report"
23265;weather;query;"i will need a [weather_descriptor : scarf] in [timeofday : afternoon] to overcome sunlight";"i will need a scarf in afternoon to overcome sunlight";"i will need a scalf in  afternoon to overcome sunlight"
21301;weather;query;"should i wear a [weather_descriptor : hat] [date : today]";"should i wear a hat today";"Should I wear a hat today?"
12036;weather;query;"what should i wear is it [weather_descriptor : cold] outside";"what should i wear is it cold outside";"What shoul i wear? Is it cold outside."
18673;weather;query;"is it going to [weather_descriptor : snow] [timeofday : tonight]";"is it going to snow tonight";"Is it going to snow tonight?"
4575;weather;query;"tell me what was the [weather_descriptor : temperature] in [place_name : our city] at [time : twelve pm]";"tell me what was the temperature in our city at twelve pm";"Tell me what was the temperature in our city at 12 pm."
25184;weather;query;"tell me about [date : this week's] weather";"tell me about this week's weather";"Tell me about this week's weather."
4883;weather;query;"what will be the weather on [date : monday] [date : this week]";"what will be the weather on monday this week";"What will be the weather on Monday this week"
2347;weather;query;"how's the weather [date : today]";"how's the weather today";"How's the weather today?"
9031;weather;query;"weather forecast for [date : this week]";"weather forecast for this week";"Weather forecast for this week"
13085;weather;query;"what is [date : today's] weather in [place_name : springfield]";"what is today's weather in springfield";"What is today's weather in Springfield?"
25334;weather;query;"is it going to be [weather_descriptor : cloudy] or [weather_descriptor : sunny] [date : today] in [place_name : bangalore]";"is it going to be cloudy or sunny today in bangalore";"Is it going to be cloudy or sunny today in Bangalore"
7759;weather;query;"[weather_descriptor : temperature] [time : this hour]";"temperature this hour";"temperature this hour"
12339;weather;query;"tell me the weather for [place_name : new york city]";"tell me the weather for new york city";"Tell me the weather for ny city"
6163;weather;query;"i dont want to carry an [weather_descriptor : umbrella] will we have [weather_descriptor : rain] [date : today]";"i dont want to carry an umbrella will we have rain today";"I dont want to carry an umbrella, will we have rain today?"
5438;weather;query;"what will the weather be like on [date : saturday]";"what will the weather be like on saturday";"Olly what will the weather be like on Saturday?"
7690;weather;query;"is the [weather_descriptor : sun gonna shine] in [place_name : devon] [date : this weekend]";"is the sun gonna shine in devon this weekend";"Is the sun gonna shine in Devon this weekend?"
2010;weather;query;"is it [weather_descriptor : snowing] in [place_name : california]";"is it snowing in california";"Is it snowing in California?"
6575;weather;query;"any signs of [weather_descriptor : rain]";"any signs of rain";"Any signs of rain?"
26296;weather;query;"is it a [weather_descriptor : soft evening] [timeofday : tonight]";"is it a soft evening tonight";"Is it a soft evening tonight?"
12998;weather;query;"how hot is it outside [date : today]";"how hot is it outside today";"How hot is it outside today?"
20208;weather;query;"status of weather";"status of weather";"Status of weather?"
15607;weather;query;"what will be the [weather_descriptor : temperature] [date : today] for [place_name : miami florida]";"what will be the temperature today for miami florida";"What will be the temperature today for Miami, Florida?"
2043;weather;query;"will there be [weather_descriptor : snow] [date : tomorrow]";"will there be snow tomorrow";"Will there be snow tomorrow?"
5170;weather;query;"what is weather [date : today]";"what is weather today";"what is weather today?"
14744;weather;query;"how much [weather_descriptor : snow] has fallen in [place_name : maine] since [date : yesterday]";"how much snow has fallen in maine since yesterday";"How much snow has fallen in Maine since yesterday?"
5820;weather;query;"how [weather_descriptor : hot] is it in [place_name : quebec]";"how hot is it in quebec";"how hot is it in quebec, PDA?"
20966;weather;query;"is it going to [weather_descriptor : rain] [date : today] in [place_name : san diego]";"is it going to rain today in san diego";"Is it going to rain today in San Diego?"
15446;weather;query;"is it going to [weather_descriptor : rain] in the [date : next few days] in [place_name : tucson]";"is it going to rain in the next few days in tucson";"Is it going to rain in the next few days in Tucson?"
10590;weather;query;"is it going to [weather_descriptor : rain] in [place_name : seattle] [date : today]";"is it going to rain in seattle today";"Is it going to rain in Seattle today?"
7691;weather;query;"will it get [weather_descriptor : warmer] here [date : next week]";"will it get warmer here next week";"Will it get warmer here next week?"
3351;weather;query;"how me the [weather_descriptor : highest] weather [date : this week]";"how me the highest weather this week";"show me the highest weather this week"
12337;weather;query;"let me know the weather for [date : today]";"let me know the weather for today";"Let me know the weather for today"
18353;weather;query;"weather in [place_name : chicago] please";"weather in chicago please";"weather in Chicago please?"
25457;weather;query;"whether it would be [weather_descriptor : sunny] in [place_name : califonia]";"whether it would be sunny in califonia";"WETHER IT WOULD BE SUNNY IN CALIFONIA"
2033;weather;query;"will it be [weather_descriptor : rainy] [date : tomorrow]";"will it be rainy tomorrow";"will it be rainy tomorrow?"
2698;weather;query;"what's the [weather_descriptor : temperature]";"what's the temperature";"What's the temperature?"
4680;weather;query;"what will be the weather update for [date : monday] [timeofday : noon]";"what will be the weather update for monday noon";"what will be the weather update for monday noon"
22524;weather;query;"do i need [weather_descriptor : pants]";"do i need pants";"Do I need pants?"
9106;weather;query;"do i need a [weather_descriptor : rain coat] [date : today]";"do i need a rain coat today";"Do I need a raincoat today"
14151;weather;query;"weather forecast please";"weather forecast please";"Weather forecast please."
2109;weather;query;"check the weather app to see if";"check the weather app to see if";"check the weather app to see if"
24510;weather;query;"weather for the [date : next week] in [place_name : new york]";"weather for the next week in new york";"Weather for the next week in New York"
1546;weather;query;"how's the weather like in [place_name : beijing]";"how's the weather like in beijing";"How's the weather like in Beijing"
7926;weather;query;"what is the weather for the [date : school week]";"what is the weather for the school week";"What is the weather for the school week?"
1737;weather;query;"[weather_descriptor : sunny] in [place_name : oslo]";"sunny in oslo";"sunny in Oslo?"
null;weather;query;"Is it going to be [weather_descriptor : windy] on [date : Saturday] in [place_name : denver]";"Is it going to be windy on Saturday in denver";"null"
17544;weather;query;"will i need an [weather_descriptor : umbrella] [date : tomorrow]";"will i need an umbrella tomorrow";"Will I need an umbrella tomorrow?"
6853;weather;query;"when is the next time it will [weather_descriptor : rain]";"when is the next time it will rain";"When is the next time it will rain?"
17128;weather;query;"what's the weather [date : this week]";"what's the weather this week";"What's the weather this week?"
3806;weather;query;"whats the weather like right now in [place_name : new york]";"whats the weather like right now in new york";"whats the weather like right now in new york"
21682;weather;query;"what is the current weather conditions in [place_name : chicago illinois]";"what is the current weather conditions in chicago illinois";"PDA, What is the current weather conditions in Chicago Illinois?"
5114;weather;query;"get [date : today's] weather report";"get today's weather report";"get today's weather report"
10808;weather;query;"is it currently [weather_descriptor : raining]";"is it currently raining";"is it currently raining?"
3988;weather;query;"will the weather be [weather_descriptor : bad] on [date : Sunday]";"will the weather be bad on Sunday";"Will the weather be bad on Sunday?"
22383;weather;query;"it looks [weather_descriptor : sunny and clear] [date : today] is that true";"it looks sunny and clear today is that true";"It looks sunny and clear today, is that true?"
12948;weather;query;"what [weather_descriptor : degree] is it outside";"what degree is it outside";"What degree is it outside?"
9115;weather;query;"what is the weather like in [place_name : grand rapids mi]";"what is the weather like in grand rapids mi";"What is the weather like in Grand Rapids, MI?"
20414;weather;query;"how does it feel outside";"how does it feel outside";"How does it feel outside?"
14805;weather;query;"what is the [weather_descriptor : temperature]";"what is the temperature";"What is the temperature?"
5068;weather;query;"what's the weather forecast for [date : today]";"what's the weather forecast for today";"PDA, what's the weather forecast for today?"
9387;weather;query;"i need to know current weather in [place_name : new york] city";"i need to know current weather in new york city";"I need to know current weather in New York city"
5113;weather;query;"what is the weather [date : today]";"what is the weather today";"what is the weather today?"
3807;weather;query;"is the weather [weather_descriptor : bad] in [place_name : new york] right now";"is the weather bad in new york right now";"is the weather bad in new york right now"
16792;weather;query;"how is it outside [date : today]";"how is it outside today";"How is it outside today?"
4426;weather;query;"please tell me the chances of [weather_descriptor : rain] [date : this week] for zip code twenty nine thousand nine hundred and seventy eight";"please tell me the chances of rain this week for zip code twenty nine thousand nine hundred and seventy eight";"Please tell me the chances of rain this week for zip code 29978?"
2888;weather;query;"what will be the [weather_descriptor : highest temperature] [date : this week]";"what will be the highest temperature this week";"What will be the highest temperature this week."
14934;weather;query;"open the weather app";"open the weather app";"Open the weather app"
17658;weather;query;"how soon can we expect [weather_descriptor : rain]";"how soon can we expect rain";"How soon can we expect rain?"
20395;weather;query;"it seems [weather_descriptor : cold]";"it seems cold";"It seems cold."
23398;weather;query;"is [date : today] a [weather_descriptor : sunscreen] day";"is today a sunscreen day";"Is today a sunscreen day?"
19436;weather;query;"how is it outside";"how is it outside";"How is it outside?"
9108;weather;query;"do i need a [weather_descriptor : sweater] [date : today]";"do i need a sweater today";"Do i need a sweater today"
22522;weather;query;"do i need a [weather_descriptor : jacket] [date : today]";"do i need a jacket today";"Do I need a jacket today?"
21529;weather;query;"what's it like outside";"what's it like outside";"What's it like outside?"
22193;weather;query;"is it going to [weather_descriptor : rain] later";"is it going to rain later";"Is it going to rain later?"
21564;weather;query;"what is the weather going to be like on [date : march twentieth two thousand and seventeen]";"what is the weather going to be like on march twentieth two thousand and seventeen";"PDA, What is the weather going to be like on March 20th 2017?"
8425;weather;query;"it is [weather_descriptor : cloudy] [date : today]";"it is cloudy today";"it is cloudy today."
20200;weather;query;"what is [place_name : home town] weather";"what is home town weather";"what is home town weather?"
4857;weather;query;"check and see what will be the weather condition in [place_name : new jersey] at [time : eight am] [date : tomorrow]";"check and see what will be the weather condition in new jersey at eight am tomorrow";"check and see what will be the weather condition in New jersey, at 8 am tommorrow"
14454;weather;query;"how many degrees is it in [place_name : orange tx] right now";"how many degrees is it in orange tx right now";"How many degrees is it in Orange, Tx right now?"
2804;weather;query;"on [date : Tuesday] what is the weather supposed to be";"on Tuesday what is the weather supposed to be";"on Tuesday what is the weather supposed to be"
12862;weather;query;"what will the weather be [date : next week]";"what will the weather be next week";"What will the weather be next week?"
12816;weather;query;"what is the weather forecast for [place_name : chicago]";"what is the weather forecast for chicago";"What is the weather forecast for Chicago?"
