answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
9;email;addcontact;"add this person's [personal_info : email]";"add this person's email";"add this person's email"
15288;email;addcontact;"please add [person : dan's] email to my contacts";"please add dan's email to my contacts";"Please add dan's email to my contacts"
19272;email;addcontact;"please add an email to my contacts";"please add an email to my contacts";"Please add an email to my contacts."
6114;email;addcontact;"add this email to my address book";"add this email to my address book";"Add this email to my address book."
5090;email;addcontact;"add email address [email_address : iamironman@gmail dot com]";"add email address iamironman@gmail dot com";"Add email address iamironman@gmail.com"
8762;email;addcontact;"i need you to add [person : gary's] email to my favorites";"i need you to add gary's email to my favorites";"PDA I need you to add Gary's email to my favorites."
25149;email;addcontact;"put [email_address : sam@gmail dot com] in my email contacts list";"put sam@gmail dot com in my email contacts list";"alexa put sam@gmail.com in my email contacts list."
12149;email;addcontact;"add the email [email_address : oriam@gmail dot com] to my contacts";"add the email oriam@gmail dot com to my contacts";"add the email XXXXX@gmail.com to my contacts"
17676;email;addcontact;"add this email address to my contacts and send an email to";"add this email address to my contacts and send an email to";"Add this email address to my contacts and send an email to brightlights123@bellsouth.net"
23586;email;addcontact;"please add a new email in my contacts from [person : sara]";"please add a new email in my contacts from sara";"Please add  a new email in my contacts from Sara"
26750;email;addcontact;"save my contacts";"save my contacts";"save my contacts"
19271;email;addcontact;"i would like you to add an email to my contacts";"i would like you to add an email to my contacts";"I would like you to add an email to my contacts."
1939;email;addcontact;"create new contact";"create new contact";"create new contact"
3744;email;addcontact;"add this email to my contact list";"add this email to my contact list";"add this email to my contact list"
3299;email;addcontact;"add new email to contacts";"add new email to contacts";"add new email to contacts"
