answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
26515;general;quirky;"today i had a lunch with my longtime sweetheart play me a nice song to the mood";"today i had a lunch with my longtime sweetheart play me a nice song to the mood";"Alexa, today I had a lunch with my longtime sweetheart. Play me a nice song to the mood."
20082;general;quirky;"what's on tv";"what's on tv";"what's on tv"
25647;general;quirky;"is the data prefers any problems in objects";"is the data prefers any problems in objects";"IS THE DATA PREFERS ANY PROBLEMS IN OBJECTS"
null;general;quirky;"your salary";"your salary";"xxx"
25984;general;quirky;"overall day";"overall day";"Overall day"
22137;general;quirky;"anything i need to know";"anything i need to know";"Anything i need to know?"
18266;general;quirky;"is mile marker sixty five where the hanging tree is located";"is mile marker sixty five where the hanging tree is located";"Is mile marker 65 where the hanging tree is located?"
4131;general;quirky;"tell me what happens when we die";"tell me what happens when we die";"Tell me what happens when we die."
8389;general;quirky;"what is your country";"what is your country";"what is your country?"
22988;general;quirky;"do i need to spare washing my car [date : today]";"do i need to spare washing my car today";"do i need to spare washing my car today?"
25637;general;quirky;"this brings some problems to us";"this brings some problems to us";"THIS BRINGS SOME PROBLES TO US"
3340;general;quirky;"can you explain me the problems when the [place_name : syria] becomes more stronger than [place_name : america]";"can you explain me the problems when the syria becomes more stronger than america";"can you explain me the problems when the syria becomes more stronger than america"
null;general;quirky;"you are chatbot";"you are chatbot";"xxx"
21314;general;quirky;"how high is the quality of this stone";"how high is the quality of this stone";"how high is the quality of this stone"
19373;general;quirky;"can you please tell me who are you";"can you please tell me who are you";"Can you please tell me who are you?"
19727;general;quirky;"where did he was [date : yesterday]";"where did he was yesterday";"Where did he was yesterday?"
26126;general;quirky;"have you come across any new recipes";"have you come across any new recipes";"Have you come across any new recipes?"
26674;general;quirky;"how did your day go";"how did your day go";"How did your day go?"
11833;general;quirky;"give me the product review from gamespot about the nintendo switch";"give me the product review from gamespot about the nintendo switch";"PDA give me the product review from GameSpot about the NIntendo Switch"
6049;general;quirky;"i had a relaxing day [date : today]";"i had a relaxing day today";"I had a relaxing day today"
22960;general;quirky;"i want a not only to direct me to an internet site but actually answer any given question";"i want a not only to direct me to an internet site but actually answer any given question";"I want a PDA not only to direct me to an internet site, but actually answer any given question"
22994;general;quirky;"can you feel";"can you feel";"can you feel?"
null;general;quirky;"have a anyinput day";"have a anyinput day";"xxx"
22490;general;quirky;"tell me about economy and gdp about [place_name : india] versus [place_name : china]";"tell me about economy and gdp about india versus china";"Tell me about economy and gdp about india vs china"
4465;general;quirky;"what is the best chocolate chip cookie recipe";"what is the best chocolate chip cookie recipe";"What is the best chocolate chip cookie recipe"
18265;general;quirky;"is it true the hanging tree really had someone hung from it";"is it true the hanging tree really had someone hung from it";"Is it true the hanging tree really had someone hung from it?"
null;general;quirky;"i am happy";"i am happy";"xxx"
13182;general;quirky;"nightime";"nightime";"Nightime"
null;general;quirky;"nice to meet you";"nice to meet you";"xxx"
2281;general;quirky;"what is the best method to decide what the best thing to do isre";"what is the best method to decide what the best thing to do isre";"what is the best method to decide what the best thing to do is....re:"
26676;general;quirky;"how can i make your day a little better";"how can i make your day a little better";"How can I make your day a little better?"
17210;general;quirky;"can you explain string theory to me";"can you explain string theory to me";"can you explain string theory to me"
10626;general;quirky;"what do you think i should have for [meal_type : breakfast]";"what do you think i should have for breakfast";"What do you think I should have for breakfast?"
613;general;quirky;"i really enjoyed sunny day [date : today]";"i really enjoyed sunny day today";"I really enjoyed sunny day today"
16842;general;quirky;"when i want it to take down notes";"when i want it to take down notes";"When I want it to take down notes"
21674;general;quirky;"what [person : rihanna] is doing";"what rihanna is doing";"what rihana is doing"
17370;general;quirky;"famous person biographies";"famous person biographies";"famous person biographies"
9803;general;quirky;"i hate how [time : long] the traffic jams get";"i hate how long the traffic jams get";"I hate how long the traffic jams get"
11811;general;quirky;"how do i duct tape a gooseto apig";"how do i duct tape a gooseto apig";"How do I duct tape a goose.to a.pig?"
26426;general;quirky;"what about [timeofday : tonight] [meal_type : dinner] with me";"what about tonight dinner with me";"What about tonight dinner with me"
22404;general;quirky;"lets begin buddy";"lets begin buddy";"Lets begin buddy"
24111;general;quirky;"celebrities";"celebrities";"celebrities"
24251;general;quirky;"why do some people still think the earth is flat";"why do some people still think the earth is flat";"why do some poeple still think the earth is flat"
13224;general;quirky;"let me know when charges hit my credit card";"let me know when charges hit my credit card";"Let me know when charges hit my credit card."
11016;general;quirky;"i want it to be able to tell me statistics about things it's done for me like how often i've eaten out [date : this month]";"i want it to be able to tell me statistics about things it's done for me like how often i've eaten out this month";"I want it to be able to tell me statistics about things it's done for me, like how often I've eaten out this month."
22081;general;quirky;"how do you make steel";"how do you make steel";"how do you make steel?"
3303;general;quirky;"what do you think was the best decade";"what do you think was the best decade";"What do you think was the best decade?"
22268;general;quirky;"plants";"plants";"plants"
24749;general;quirky;"[event_name : dubai marriage]";"dubai marriage";"Dubai marraige"
16342;general;quirky;"what do you do with my personal data";"what do you do with my personal data";"What do you do with my personal data?"
5451;general;quirky;"good morning isn't it a great day";"good morning isn't it a great day";"Good morning! Isn't it a great day?"
17136;general;quirky;"tell me about this person";"tell me about this person";"tell me about this person"
