answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
16938;qa;currency;"what is the most current exchange rate in [place_name : china]";"what is the most current exchange rate in china";"What is the most current exchange rate in China"
24102;qa;currency;"if i have five [currency_name : dollars] how many rupies is that";"if i have five dollars how many rupies is that";"if i have 500 [currency_source : dollars] how many rupies is that"
21326;qa;currency;"how much is [currency_name : dollars] american worth in [currency_name : yen]";"how much is dollars american worth in yen";"How much is $100 American worth in yen?"
19991;qa;currency;"convert [currency_name : euros] to [currency_name : dollars]";"convert euros to dollars";"Convert Euros to [currency_source : dollars]"
19024;qa;currency;"how much is ten [currency_name : dollars] in [currency_name : euros]";"how much is ten dollars in euros";"how much is ten [currency_source : dollars] in euros"
15589;qa;currency;"how much is [currency_name : b. p.] in [currency_name : u. s. d.]";"how much is b. p. in u. s. d.";"How much is 1gbp in usd?"
17286;qa;currency;"what's the value of the [currency_name : euro] relative to [currency_name : nzd]";"what's the value of the euro relative to nzd";"What's the value of the Euro, relative to NZD"
23312;qa;currency;"exchange rate of [currency_name : euro] with [currency_name : dollar]";"exchange rate of euro with dollar";"exchange rate of euro with dollar"
24641;qa;currency;"how much money in [currency_name : us] would i need to have a thousand [currency_name : pesos]";"how much money in us would i need to have a thousand pesos";"How much money in US would I need to have a thousand pesos?"
25132;qa;currency;"[currency_name : u. s. d.] to [currency_name : g. b. p.]";"u. s. d. to g. b. p.";"USD to GBP"
21292;qa;currency;"i have ten [currency_name : us dollars] how many [currency_name : canadian dollars] do i have";"i have ten us dollars how many canadian dollars do i have";"I have ten U.S. [currency_source : dollars].  How many Canadian [currency_source : dollars] do I have."
21798;qa;currency;"how much is the [currency_name : us dollar] worth in [currency_name : canada]";"how much is the us dollar worth in canada";"how much is the us dollar worth in canada?"
15703;qa;currency;"what is the exchange rate between the [currency_name : us] and [currency_name : canada]";"what is the exchange rate between the us and canada";"What is the exchange rate between the US and Canada?"
23273;qa;currency;"how much [currency_name : indian rupees] per [currency_name : u. s. d.] [date : today]";"how much indian rupees per u. s. d. today";"How much Indian Rupees per USD today?"
17768;qa;currency;"how many [currency_name : g. b. p.] can i get for one [currency_name : dollar]";"how many g. b. p. can i get for one dollar";"How many GBP can I get for one dollar?"
18948;qa;currency;"give me the exchange rate for [currency_name : dollar] in [currency_name : euros]";"give me the exchange rate for dollar in euros";"PDA, give me the exchange rate for dollar in euros."
26945;qa;currency;"how much australian [currency_name : dollars] one can buy for one [currency_name : pound sterling]";"how much australian dollars one can buy for one pound sterling";"how much australian [currency_source : dollars] one can buy for one pound sterling?"
23240;qa;currency;"and the [currency_name : pound] is doing how badly against the [currency_name : euro]";"and the pound is doing how badly against the euro";"And the pound is doing how badly against the Euro?"
17748;qa;currency;"what is the exchange rate between money i'm [currency_name : the united states] and [currency_name : switzerland]";"what is the exchange rate between money i'm the united states and switzerland";"What is the exchange rate between money I'm the united states and switzerland"
23897;qa;currency;"what is the exchange rate for [currency_name : pounds] and [currency_name : u. s. d.]";"what is the exchange rate for pounds and u. s. d.";"What is the exchange rate for pounds and USD?"
22728;qa;currency;"display exchange rate of [currency_name : euro] to [currency_name : indian rupee]";"display exchange rate of euro to indian rupee";"display exchange rate of euro to Indian rupee"
22934;qa;currency;"how much is one [currency_name : u. s. d.] in [currency_name : inr]";"how much is one u. s. d. in inr";"how much is 1 USD in INR"
19731;qa;currency;"how many [currency_name : yen] for each [currency_name : dollar]";"how many yen for each dollar";"how many yen for each dollar"
16927;qa;currency;"what is the [currency_name : dollar] price in [currency_name : inr]";"what is the dollar price in inr";"What is the Dollar price in INR?"
25176;qa;currency;"how much is the [currency_name : dollar] worth compared to the [currency_name : euro]";"how much is the dollar worth compared to the euro";"alexa how much is the dollar worth compared to the euro"
18644;qa;currency;"convert one [currency_name : euros] to [currency_name : us dollars]";"convert one euros to us dollars";"Convert 100 Euros to US [currency_source : dollars]"
18805;qa;currency;"from [currency_name : dollar] to [currency_name : euro]";"from dollar to euro";"from dollar to euro"
27069;qa;currency;"how many [currency_name : pesos] can i get for a [currency_name : dollar] right now";"how many pesos can i get for a dollar right now";"How many pesos can I get for a dollar right now?"
20025;qa;currency;"i need the exchange rate for the [currency_name : us dollar] and the [currency_name : euro]";"i need the exchange rate for the us dollar and the euro";"I need the exchange rate for the US dolalr and the Euro."
18500;qa;currency;"tell me the exchange rate for the [currency_name : yen]";"tell me the exchange rate for the yen";"Tell me the exchange rate for the yin"
24228;qa;currency;"money exchange";"money exchange";"money exchange"
27134;qa;currency;"how much is fifty [currency_name : us dollars] with in [currency_name : china]";"how much is fifty us dollars with in china";"How much is 50 US [currency_source : dollars] with in china?"
24100;qa;currency;"how many [currency_name : rupies] are in a [currency_name : dollar]";"how many rupies are in a dollar";"how many rupies are in a dollar"
26784;qa;currency;"what is the difference between the rate of the [currency_name : american dollar] and the [currency_name : pound]";"what is the difference between the rate of the american dollar and the pound";"WHat is the difference between the rate of the American doller and the Pound"
23898;qa;currency;"[currency_name : u. s. d.] to [currency_name : yen]";"u. s. d. to yen";"USD to Yen"
24171;qa;currency;"given me the exchange rates between [currency_name : u. s. d.] and [currency_name : cad]";"given me the exchange rates between u. s. d. and cad";"Given me the exchange rates between USD AND CAD"
25117;qa;currency;"whats the currency exchange rate from [currency_name : dollars] to [currency_name : euros]";"whats the currency exchange rate from dollars to euros";"PDA name: whats the currency exchange rate from [currency_source : dollars] to euros"
22201;qa;currency;"what's the exchange rate between the [currency_name : us dollar] and the [currency_name : euro]";"what's the exchange rate between the us dollar and the euro";"What's the exchange rate between the U.S Dollar and the Euro?"
27067;qa;currency;"what is the exchange rate for [currency_name : dollars] to pounds";"what is the exchange rate for dollars to pounds";"What is the exchange rate for [currency_source : dollars] to pounds?"
