answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
18292;qa;stock;"what are the stock prices of target";"what are the stock prices of target";"What are the stock prices of Target?"
22125;qa;stock;"fill me in on stock symbol";"fill me in on stock symbol";"Fill me in on stock symbol"
26287;qa;stock;"what is the price of stock for [business_name : gm]";"what is the price of stock for gm";"What is the price of stock for GM?"
18731;qa;stock;"[business_name : google] [business_name : i. b. m.] stock prices";"google i. b. m. stock prices";"Google IBM stock prices"
21206;qa;stock;"how is shell s stock doing [date : today]";"how is shell s stock doing today";"How is [company's' stock doing today"
24067;qa;stock;"stock price for [business_name : gss energy]";"stock price for gss energy";"Stock price for GSS Energy"
18606;qa;stock;"list me the stock of [business_name : apple] right now";"list me the stock of apple right now";"List me the stock of apple right now"
20064;qa;stock;"stock price for [business_name : sprint]";"stock price for sprint";"stock price for sprint"
17179;qa;stock;"what is the value of [business_name : apple]";"what is the value of apple";"what is the value of apple"
27155;qa;stock;"compare the stock prices for [business_name : nintendo] and [business_name : sony] and tell me which ones are better";"compare the stock prices for nintendo and sony and tell me which ones are better";"Olly, compare the stock prices for nintendo and sony and tell me which ones are better."
24203;qa;stock;"how much did [business_name : facebook] stock increase last night";"how much did facebook stock increase last night";"how much did facebook stock increase last night"
25359;qa;stock;"what is the stock information of [business_name : walmart]";"what is the stock information of walmart";"what is the stock information of walmart"
24856;qa;stock;"what is now stock price of [business_name : tata]";"what is now stock price of tata";"what is now stock price of tata"
23854;qa;stock;"what is the current price of [business_name : jindel] stock";"what is the current price of jindel stock";"What is the current price of jindel stock"
22362;qa;stock;"how is [business_name : coca cola] stock doing [date : today]";"how is coca cola stock doing today";"How is Coca-Cola stock doing today?"
26339;qa;stock;"for how much is [business_name : hp] selling for";"for how much is hp selling for";"For how much is HP selling for?"
24881;qa;stock;"what price are [business_name : google] stocks trading for";"what price are google stocks trading for";"Ok Google, what price are Google stocks trading for"
26162;qa;stock;"is [business_name : starbucks] stock up or down from last quarter";"is starbucks stock up or down from last quarter";"Is Starbucks' stock up or down from last quarter?"
23631;qa;stock;"how much to buy stock in [business_name : i. b. m.]";"how much to buy stock in i. b. m.";"How much to buy stock in IBM?"
22488;qa;stock;"is chase doing good";"is chase doing good";"Is Chase doing good?"
11638;qa;stock;"please tell me news related to the [news_topic : stock market]";"please tell me news related to the stock market";"Please tell me news related to the stock market."
22985;qa;stock;"how are the top ten stocks at the moment";"how are the top ten stocks at the moment";"how are the top 10 stocks at the moment?"
17539;qa;stock;"current price of [business_name : coca cola] stock";"current price of coca cola stock";"Current price of coca cola stock"
24918;qa;stock;"list the current price of [business_name : microsoft] shares";"list the current price of microsoft shares";"List the curret price of Microsoft shares."
22496;qa;stock;"current price of [business_name : google] please";"current price of google please";"current price of GOOGL please"
27002;qa;stock;"how expensive is [business_name : google] stock";"how expensive is google stock";"how expensive is Google stock?"
23709;qa;stock;"give me the opening stock price of [business_name : infosys technologies] [date : today]";"give me the opening stock price of infosys technologies today";"Give me the  opening stock price of Infosys Technologies today"
26049;qa;stock;"which stock markets have lowered in the past three hours";"which stock markets have lowered in the past three hours";"Which stock markets have lowered in the past 3 hours?"
26187;qa;stock;"what is the [business_name : sensex] and nifty points for [date : today]";"what is the sensex and nifty points for today";"what is the sensex and nifty points for today."
22397;qa;stock;"show me share price of [business_name : facebook]";"show me share price of facebook";"Show me share price of Facebook."
23924;qa;stock;"what is the highest [business_name : microsoft] stock price [date : today]";"what is the highest microsoft stock price today";"What is the highest Microsoft stock price today"
26383;qa;stock;"what is a stock price of [business_name : tata]";"what is a stock price of tata";"What is a stock price of TATA"
26826;qa;stock;"have stocks gone up or down [date : today] for [business_name : walmart]";"have stocks gone up or down today for walmart";"Have stocks gone up or down today for Walmart"
22480;qa;stock;"what is the [business_name : google] stock at";"what is the google stock at";"What is the Google stock at?"
24587;qa;stock;"stock exchange rates";"stock exchange rates";"stock exchange rates"
22505;qa;stock;"mention the stock price of [business_name : hdfc]";"mention the stock price of hdfc";"Mention the stock price of HDFC"
27003;qa;stock;"what is the closing price of [business_name : apple] [date : today]";"what is the closing price of apple today";"what is the closing price of Apple today?"
17180;qa;stock;"how many shares of [business_name : apple] can i get for";"how many shares of apple can i get for";"how many shares of apple can I get for 800$"
21207;qa;stock;"give me today's market trends for [business_name : panasonic]";"give me today's market trends for panasonic";"Give me today's market trends for [company]"
22616;qa;stock;"what are the chances of the stock market closing below the two hundred moving average in the [time : next fourteen days]";"what are the chances of the stock market closing below the two hundred moving average in the next fourteen days";"What are the chances of the stock market closing below the 200 moving average in the next 14 days"
24304;qa;stock;"give me the stock price of [business_name : apple]";"give me the stock price of apple";"Give me the stock price of Apple"
24204;qa;stock;"when does iphone stock usually drop";"when does iphone stock usually drop";"when does iphone stock usually drop"
27284;qa;stock;"give me the stock price for [business_name : tommy hilfiger]";"give me the stock price for tommy hilfiger";"Give me the stock price for X."
24659;qa;stock;"give me the opening stock price of [business_name : apple]";"give me the opening stock price of apple";"Give me the opening stock price of Apple"
21279;qa;stock;"how much is [business_name : starbuck's] stock these days";"how much is starbuck's stock these days";"HOw much is STarbuck's stock these days?"
21347;qa;stock;"can you tell me the price of [business_name : google] stock";"can you tell me the price of google stock";"Olly, can you tell me the price of google stock?"
13550;qa;stock;"what's the latest on [news_topic : stock market]";"what's the latest on stock market";"what's the latest on stock market?"
18296;qa;stock;"what happened to the dow jones [date : today]";"what happened to the dow jones today";"What happened to the Dow Jones today?"
24306;qa;stock;"give me the stock price of [business_name : intel]";"give me the stock price of intel";"Give me the stock price of Intel"
18507;qa;stock;"notify me of the latest news on the [news_topic : stock market]";"notify me of the latest news on the stock market";"Notify me of the latest news on the stock market"
23925;qa;stock;"tell me summary forecast [business_name : microsoft] stock forecast to thirty days ahead";"tell me summary forecast microsoft stock forecast to thirty days ahead";"Tell me summary forecast Microsoft stock forecast to 30 days ahead"
22984;qa;stock;"what is the stock price of [business_name : sensex] right now";"what is the stock price of sensex right now";"what is the stock price of Sensex right now?"
24857;qa;stock;"tell me the stock rate of [business_name : hyundai]";"tell me the stock rate of hyundai";"tell me the stock rate of hyundai"
24069;qa;stock;"[business_name : amazon] stock price";"amazon stock price";"Amazon stock price"
