answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
15159;takeaway;query;"where can i order [food_type : pizza] for [order_type : delivery]";"where can i order pizza for delivery";"Where can I order pizza for delivery?"
22066;takeaway;query;"does [business_name : pings] do [order_type : takeaway]";"does pings do takeaway";"Does Pings do takeaway?"
4821;takeaway;query;"i need to know if [business_name : mr pizza] [order_type : delivers]";"i need to know if mr pizza delivers";"PDA I need to know if Mr Pizza delivers."
23447;takeaway;query;"what's the exact time we get food delivered once we place an order for food";"what's the exact time we get food delivered once we place an order for food";"What's the exact time we get food delivered once we place an order for food."
8346;takeaway;query;"how long until i receive my food";"how long until i receive my food";"How long until I receive my food"
17924;takeaway;query;"check [order_type : delivery] options for the [business_type : restaurant]";"check delivery options for the restaurant";"Check delivery options for the restaurant."
11728;takeaway;query;"does [business_name : louie's] do take out";"does louie's do take out";"Does Louie's do take out"
13578;takeaway;query;"where are my [order_type : takeaway] order";"where are my takeaway order";"where are my takeaway order?"
26227;takeaway;query;"is my order at [business_name : domino's] ready";"is my order at domino's ready";"Is my order at domino's ready?"
21687;takeaway;query;"hi there do you offer home [order_type : delivery] for orders";"hi there do you offer home delivery for orders";"Hi There, Do you offer home delivery for orders?"
804;takeaway;query;"can they provide [order_type : takeaway]";"can they provide takeaway";"Can they provide takeaway?"
7902;takeaway;query;"[business_type : restaurant] order status";"restaurant order status";"Restaurant order status"
25179;takeaway;query;"when is my [order_type : takeaway] arriving";"when is my takeaway arriving";"When is my takeaway arriving?"
12433;takeaway;query;"find out if [business_name : kfc] delivers please";"find out if kfc delivers please";"Olly, find out if KFC delivers, please."
806;takeaway;query;"do they [order_type : deliver] home";"do they deliver home";"Do they deliver home?"
11249;takeaway;query;"please see if [food_type : chili's] has [order_type : delivery]";"please see if chili's has delivery";"Please see if Chili's has delivery."
25004;takeaway;query;"what is the status of my order no";"what is the status of my order no";"what is the status of my order no?"
11250;takeaway;query;"please see if the [business_type : restaurant] [business_name : chili's] has [order_type : delivery] as an option";"please see if the restaurant chili's has delivery as an option";"Please see if the restaurant Chili's has delivery as an option?"
805;takeaway;query;"can they do [order_type : delivery]";"can they do delivery";"Can they do delivery?"
17945;takeaway;query;"call [business_name : pizza hut] and find out if my order is ready";"call pizza hut and find out if my order is ready";"Call Pizza Hut and find out if my order is ready."
4327;takeaway;query;"find a [food_type : pizza] [business_type : restaurant] open until [time : noon]";"find a pizza restaurant open until noon";"Find a pizza restaurant open until noon"
1345;takeaway;query;"does my favourite [food_type : pizza] place available for [order_type : takeaway]";"does my favourite pizza place available for takeaway";"Does my favourite pizza place available for takeaway?"
25003;takeaway;query;"do the [business_type : restaurant] [order_type : deliver]";"do the restaurant deliver";"do the restaurant deliver?"
3859;takeaway;query;"does [business_name : pf changs] do [order_type : takeout]";"does pf changs do takeout";"Does PF Changs do takeout?"
87;takeaway;query;"find my [food_type : thai] [order_type : takeaways] around [place_name : grassmarket]";"find my thai takeaways around grassmarket";"find my thai takeaways around grassmarket"
25501;takeaway;query;"look to see if [business_name : luigi's] has [order_type : takeaway]";"look to see if luigi's has takeaway";"Look to see if Luigi's has take-a-way."
13027;takeaway;query;"does [person : john's] [food_type : pizza] have [order_type : takeaway]";"does john's pizza have takeaway";"Does John's pizza have takeaway"
3861;takeaway;query;"can i get [order_type : takeout] from [business_name : pf changs]";"can i get takeout from pf changs";"Can I get takeout from PF Changs?"
14898;takeaway;query;"where is an [business_name : olive garden] that does [order_type : takeaway]";"where is an olive garden that does takeaway";"Where is an Olive Garden that does takeaway?"
2551;takeaway;query;"how much time it will take to prepare the order";"how much time it will take to prepare the order";"How much time it will take to prepare the order"
23446;takeaway;query;"when i will get the [order_type : delivery]";"when i will get the delivery";"When i will get the delivery."
25177;takeaway;query;"when is my [order_type : takeaway] going to get here";"when is my takeaway going to get here";"When is my takeaway going to get here?"
6156;takeaway;query;"when will my food be ready";"when will my food be ready";"When will my food be ready?"
19174;takeaway;query;"does [business_type : restaurant] have [order_type : takeaway]";"does restaurant have takeaway";"Does restaurant have takeaway?"
10822;takeaway;query;"can i get [order_type : delivery] from this [business_type : restaurant]";"can i get delivery from this restaurant";"Can I get delivery from this restaurant?"
13576;takeaway;query;"what is the status of my order";"what is the status of my order";"what is the status of my order?"
10167;takeaway;query;"when do i need to leave to pick up my order";"when do i need to leave to pick up my order";"When do I need to leave to pick up my order?"
2552;takeaway;query;"prepare the order as soon as possible";"prepare the order as soon as possible";"Prepare the order as soon as possible."
15614;takeaway;query;"could you please confirm if [business_name : paradise] does [order_type : takeaway]";"could you please confirm if paradise does takeaway";"Could you please confirm if paradise does takeaway"
26624;takeaway;query;"is my order ready for pick up now";"is my order ready for pick up now";"Is my order ready for pick up now?"
7901;takeaway;query;"[business_type : restaurant] delivery update";"restaurant delivery update";"Restaurant delivery update"
15615;takeaway;query;"does [business_name : paradise] has [order_type : takeaway]";"does paradise has takeaway";"Does paradise has takeaway"
13577;takeaway;query;"when my [order_type : takeaway] order will arrive";"when my takeaway order will arrive";"when my takeaway order will arrive?"
24580;takeaway;query;"is there a [order_type : takeaway] in [business_name : chipotle] [business_type : restaurant]";"is there a takeaway in chipotle restaurant";"is there a takeaway in __ restaurant"
10883;takeaway;query;"when can i pick up my order";"when can i pick up my order";"When can I pick up my order?"
718;takeaway;query;"how long until my [order_type : takeaway]";"how long until my takeaway";"How long until my takeaway."
19673;takeaway;query;"what time is my [business_name : domino's] order expected to arrive";"what time is my domino's order expected to arrive";"What time is my Domino's order expected to arrive?"
5415;takeaway;query;"can i get an order [order_type : delivered] from [business_name : romero's]";"can i get an order delivered from romero's";"Can I get an order delivered from Romero's?"
15613;takeaway;query;"please check if [business_name : paradise] does [order_type : takeaway]";"please check if paradise does takeaway";"Please check if paradise does takeaway"
17944;takeaway;query;"check to see if [business_name : pizza hut] has my order on the way";"check to see if pizza hut has my order on the way";"Check to see if Pizza Hut has my order on the way."
11629;takeaway;query;"does [business_name : dominos] deliver";"does dominos deliver";"Does dominos deliver?"
12900;takeaway;query;"when did i place my order and what was the projected time it would take";"when did i place my order and what was the projected time it would take";"When did I place my order and what was the projected time it would take?"
8489;takeaway;query;"ask [business_name : peking garden] when my food will arrive";"ask peking garden when my food will arrive";"Ask Peking Garden when my food will arrive."
18247;takeaway;query;"ask if deliver";"ask if deliver";"Ask if deliver"
6154;takeaway;query;"is my order ready";"is my order ready";"Is my order ready?"
24628;takeaway;query;"whats up with my [order_type : takeaway]";"whats up with my takeaway";"whats up with my takeaway"
17344;takeaway;query;"does [business_name : fongs] have [order_type : delivery]";"does fongs have delivery";"Does Fongs have delivery?"
26625;takeaway;query;"how many minutes do i need to wait to pick up my food from [business_name : china on the go]";"how many minutes do i need to wait to pick up my food from china on the go";"how many minutes do I need to wait to pick up my food from china on the go?"
17627;takeaway;query;"check the status of my order";"check the status of my order";"Check the status of my order"
12482;takeaway;query;"does the nearby [food_type : chinese] [business_type : restaurant] do [order_type : delivery]";"does the nearby chinese restaurant do delivery";"Does the nearby chinese restaurant do delivery"
11727;takeaway;query;"find my food";"find my food";"Olly, find my food."
12483;takeaway;query;"does the nearby [business_name : pizza hut] [order_type : deliver] in my area";"does the nearby pizza hut deliver in my area";"Does the nearby pizza hut deliver in my area"
19176;takeaway;query;"can i get the food [order_type : to go]";"can i get the food to go";"Can I get the food to go?"
16691;takeaway;query;"what is the [personal_info : phone number] for the nearest location of [business_name : church's chicken]";"what is the phone number for the nearest location of church's chicken";"What is the phone number for the nearest location of Church's Chicken."
16803;takeaway;query;"will [business_name : arby's] offer [order_type : takeaway]";"will arby's offer takeaway";"will arby's offer takeaway"
11194;takeaway;query;"what's up with my order";"what's up with my order";"What's up with my order?"
18249;takeaway;query;"does this [business_type : restaurant] only do [order_type : carryout]";"does this restaurant only do carryout";"Does this restaurant only do carryout?"
3015;takeaway;query;"call the [business_type : restaurant] to see if the [order_type : delivery] is on the way";"call the restaurant to see if the delivery is on the way";"call the restaurant to see if the delivery is on the way"
