answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
20691;recommendation;locations;"please tell me a [business_type : shop] where i can find books to buy";"please tell me a shop where i can find books to buy";"PLEASE TELL ME   A SHOP WHERE I CAN FIND BOOKS TO BUY."
6549;recommendation;locations;"where is the closest [business_type : restaurant]";"where is the closest restaurant";"Where is the Closest Restaurant"
4225;recommendation;locations;"is there a [business_type : sports bar] near [place_name : kansas city plaza] area";"is there a sports bar near kansas city plaza area";"Is there a sports bar near Kansas City Plaza area?"
14883;recommendation;locations;"where should i go eat [timeofday : tonight]";"where should i go eat tonight";"Where should I go eat tonight?"
11019;recommendation;locations;"i'm looking for a casual [business_type : restaurant] for a [event_name : dinner date]";"i'm looking for a casual restaurant for a dinner date";"I'm looking for a casual restaurant for a dinner date."
20599;recommendation;locations;"where is the [business_type : shopping mall] for shirts";"where is the shopping mall for shirts";"Where is the shopping mall for shirts?"
22012;recommendation;locations;"what [business_type : shops] are near me";"what shops are near me";"What shops are near me?"
16800;recommendation;locations;"when does the closest [business_type : bar] close";"when does the closest bar close";"Olly, when does the closest bar close?"
16429;recommendation;locations;"where can i find the nearest [business_type : irish pub] in my area";"where can i find the nearest irish pub in my area";"Where can I find the nearest Irish pub in my area?"
15115;recommendation;locations;"give me some [business_type : cafes] near [place_name : downtown fort lauderdale]";"give me some cafes near downtown fort lauderdale";"Give me some cafes near downtown Fort Lauderdale."
9912;recommendation;locations;"where is the best place to buy [business_type : party supplies] in [place_name : town]";"where is the best place to buy party supplies in town";"Where is the best place to buy party supplies in town?"
20760;recommendation;locations;"where can i got to grab some [business_type : drinks] in [place_name : west chester]";"where can i got to grab some drinks in west chester";"Olly, Where can I got to grab some drinks in west chester"
9226;recommendation;locations;"where is the closer [business_name : starbucks]";"where is the closer starbucks";"Where is the closer Starbucks?"
10677;recommendation;locations;"what is the best [business_type : hardware store] near me";"what is the best hardware store near me";"What is the best hardware store near me?"
7468;recommendation;locations;"where is [place_name : mcdo]";"where is mcdo";"where is mcdo?"
24477;recommendation;locations;"can you recommend any [business_type : pub] in [place_name : mg road]";"can you recommend any pub in mg road";"can you recommend any pub in m.g road"
9894;recommendation;locations;"find [business_type : grocery store] with an organic section near me";"find grocery store with an organic section near me";"Find grocery store with an organic section near me."
26613;recommendation;locations;"is there any [food_type : chinese] places in [place_name : benton ar]";"is there any chinese places in benton ar";"is there any Chinese places in Benton AR"
11668;recommendation;locations;"tell me where the [place_name : local shopping district] is";"tell me where the local shopping district is";"Olly tell me where the local shopping district is."
14626;recommendation;locations;"whats the best [business_type : place to eat] near here";"whats the best place to eat near here";"olly whats the best place to eat near here"
