answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
26005;play;audiobook;"[player_setting : start] my [audiobook_name : bible study] book again";"start my bible study book again";"Start my Bible study book again."
21190;play;audiobook;"play [media_type : audio]";"play audio";"play audio"
24952;play;audiobook;"play [media_type : album] [media_type : audiobook]";"play album audiobook";"Play album audiobook"
25795;play;audiobook;"open [app_name : audible] and [player_setting : continue] playing the book that i was listening to";"open audible and continue playing the book that i was listening to";"Open Audible and continue playing the book that I was listening to."
27279;play;audiobook;"[player_setting : continue playing] where I left off";"continue playing where I left off";"Continue playing X where I left off."
17403;play;audiobook;"[player_setting : start] chapter seven of [audiobook_name : alma]";"start chapter seven of alma";"Start chapter 7 of Alma"
24423;play;audiobook;"continue from where we left off in [audiobook_name : divergent]";"continue from where we left off in divergent";"Continue from where we left off in Divergent."
24421;play;audiobook;"please [player_setting : continue reading] [audiobook_name : the hunger games]";"please continue reading the hunger games";"Please continue reading The Hunger Games."
17402;play;audiobook;"play [audiobook_name : seven habits of effective people]";"play seven habits of effective people";"Play 7 Habits of Effective People"
24178;play;audiobook;"play my bookmarked [media_type : audiobook]";"play my bookmarked audiobook";"play my bookmarked audiobook"
15792;play;audiobook;"play audiobook";"play audiobook";"Play audiobook"
26254;play;audiobook;"[player_setting : continue] with my [media_type : audiobook] please";"continue with my audiobook please";"Continue with my audiobook please."
22609;play;audiobook;"play it [time : after five minutes]";"play it after five minutes";"Play it after 5 minutes"
20116;play;audiobook;"start [media_type : audiobook] again";"start audiobook again";"Start audiobook again."
16856;play;audiobook;"[player_setting : resume] [audiobook_name : harry potter] from the place i have stopped listening to last time";"resume harry potter from the place i have stopped listening to last time";"Resume Harry Potter from the place I have stopped listening to last time."
22358;play;audiobook;"please [player_setting : pause] this [media_type : audio book] now";"please pause this audio book now";"Please apuse this audio book now."
22467;play;audiobook;"[player_setting : put on] [audiobook_name : the god of small things]";"put on the god of small things";"Put on the God of small things"
26813;play;audiobook;"[player_setting : continue playing] my [audiobook_name : book of vitamins]";"continue playing my book of vitamins";"continue playing My book of Vitamins"
26031;play;audiobook;"list me the [media_type : audiobooks] i have already listened to";"list me the audiobooks i have already listened to";"List me the audiobooks I have already listened to."
