answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
3159;play;music;"play music i have liked";"play music i have liked";"Play music I have liked"
26643;play;music;"i would like to hear the [music_descriptor : theme song] to [song_name : this is us]";"i would like to hear the theme song to this is us";"I would like to hear the theme song to This is Us"
15890;play;music;"play the list from my favorites";"play the list from my favorites";"Play the list from my favorites"
12234;play;music;"put [song_name : poker face] by [artist_name : lady gaga] next in the play queue";"put poker face by lady gaga next in the play queue";"PDA, put Poker Face by Lady Gaga next in the play queue."
24134;play;music;"turn on the tunes";"turn on the tunes";"Turn on the tunes."
21693;play;music;"[music_genre : rock]";"rock";"1980's rock"
27115;play;music;"play [song_name : jumper] by [artist_name : third eye blind]";"play jumper by third eye blind";"Olly, play jumper by third eye blind."
12164;play;music;"play music playlist";"play music playlist";"play 80s music playlist"
23188;play;music;"please turn on my music";"please turn on my music";"Please turn on my music."
11981;play;music;"play my [music_genre : rap] playlist";"play my rap playlist";"Play my Rap playlist"
11442;play;music;"after this song play [song_name : atmosphere]";"after this song play atmosphere";"After this song, play Atomsphere."
20044;play;music;"play [song_name : true love] next";"play true love next";"play True Love next"
23971;play;music;"play [music_genre : hip hop] songs";"play hip hop songs";"Play Hip Hop Songs"
10966;play;music;"hey play crazy by [artist_name : britney spears]";"hey play crazy by britney spears";"hey PDA play crazy by britney spears"
27006;play;music;"play [artist_name : marvin gaye] [song_name : i want you]";"play marvin gaye i want you";"Play Marvin Gaye I Want You"
2491;play;music;"play [music_descriptor : tonic]";"play tonic";"plau Tonic"
14113;play;music;"play [song_name : jingle bells] next";"play jingle bells next";"Play Jingle Bells next."
8704;play;music;"open [music_genre : jazz]";"open jazz";"open jazz"
19826;play;music;"play all [artist_name : third day]";"play all third day";"play all Third Day"
5228;play;music;"try to play old [music_genre : nineties] [music_genre : classic] music";"try to play old nineties classic music";"try to play old 90's classic music"
10563;play;music;"play new [artist_name : rihanna] song";"play new rihanna song";"Play new Rihanna song"
6920;play;music;"turn on some music";"turn on some music";"Turn on some music!"
25020;play;music;"can you play my favorite music";"can you play my favorite music";"PDA name: can you play my favorite music"
24006;play;music;"play [music_descriptor : party songs]";"play party songs";"play 'party songs'"
2118;play;music;"please play the song [song_name : games] by [artist_name : disturbed]";"please play the song games by disturbed";"Please play the song Games by Disturbed"
5062;play;music;"i want to listen [artist_name : arijit singh] song once again";"i want to listen arijit singh song once again";"I WANT TO LISTEN ARIJIT SINGH SONG ONCE AGAIN."
14313;play;music;"play my first favorite song on loop";"play my first favorite song on loop";"play my first favorite song on loop"
14036;play;music;"can you play call me by [artist_name : aretha franklin] after this song is finished playing";"can you play call me by aretha franklin after this song is finished playing";"Can you play Call Me by Aretha Franklin after this song is finished playing."
14059;play;music;"Play [song_name : best friends] by [artist_name : yelawolf]";"Play best friends by yelawolf";"Echo play Best Friends by Yelawolf."
22098;play;music;"will you put on the music";"will you put on the music";"Will you put on the music ?"
