answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
4200;calendar;set;"set a reminder for [date : tomorrow] [timeofday : evening]";"set a reminder for tomorrow evening";"Set a reminder for tomorrow evening"
25853;calendar;set;"notify me when the event is going to take place";"notify me when the event is going to take place";"Notify me when the event is going to take place"
19247;calendar;set;"add [person : jim] and [person : jerry] to event";"add jim and jerry to event";"Add ... and ... to event ...."
10508;calendar;set;"make a repeating reminder for my [event_name : yoga practice] [general_frequency : every day] at [timeofday : noon]";"make a repeating reminder for my yoga practice every day at noon";"Make a repeating reminder for my yoga practice every day at noon"
15927;calendar;set;"i have a meeting with [person : sean] at [time : four pm] on [date : wednesday] can you remind me";"i have a meeting with sean at four pm on wednesday can you remind me";"i have a meeting with Sean at 4PM on Wednesday, can you remind me?"
7310;calendar;set;"create an event [event_name : gym] day on [date : monday] and set it to [general_frequency : repeat]";"create an event gym day on monday and set it to repeat";"create an event 'gym day' on monday and set it to repeat"
19490;calendar;set;"blot me all the [event_name : phone calls] planned for the [timeofday : morning] of [date : twenty three march]";"blot me all the phone calls planned for the morning of twenty three march";"blot me all the phone calls planned for the morning of 23 March"
18391;calendar;set;"can you remind me about my [event_name : meeting] [date : tomorrow]";"can you remind me about my meeting tomorrow";"Can you remind me about my meeting tomorrow?"
7327;calendar;set;"repeat reminder for my schedule for [event_name : christmas]";"repeat reminder for my schedule for christmas";"Repeat Reminder for my schedule for Christmas"
1535;calendar;set;"remind me to [event_name : call my grandma] this [date : Sunday]";"remind me to call my grandma this Sunday";"Remind me to call my grandma this Sunday"
25436;calendar;set;"[date : next week] my [event_name : uncle birthday]";"next week my uncle birthday";"NEXT WEEK MY UNCLE BIRTHDAY"
10197;calendar;set;"add [event_name : running] to my calendar for [date : thursday]";"add running to my calendar for thursday";"Add running to my calendar for thursday."
14116;calendar;set;"i would like to [event_name : attend church] [date : every sunday] at [time : eleven am]";"i would like to attend church every sunday at eleven am";"I would like to attend church every Sunday at 11am."
3240;calendar;set;"see if [person : john] is available for a [event_name : meeting] on [date : Monday]";"see if john is available for a meeting on Monday";"See if... is available for a meeting on Monday."
20020;calendar;set;"remind me about the [event_name : meeting]";"remind me about the meeting";"remind me about the meeting"
20632;calendar;set;"set the alarm in my calendar events [time : before five mins]";"set the alarm in my calendar events before five mins";"set the alarm in my calendar events before 5 mins"
6385;calendar;set;"activate a one week notification before my [event_name : anniversary] please";"activate a one week notification before my anniversary please";"Activate a 1 week notification before my anniversary please."
7438;calendar;set;"could you please schedule a [event_name : meeting] with this person";"could you please schedule a meeting with this person";"Could you please schedule a meeting with this person"
