answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
17732;qa;maths;"two by two is";"two by two is";"Two by two is?"
21653;qa;maths;"fifteen plus twenty";"fifteen plus twenty";"15+20"
24273;qa;maths;"divide two hundred by four";"divide two hundred by four";"Divide two hundred by four."
6520;qa;maths;"what is one plus one";"what is one plus one";"What is 1+1?"
24054;qa;maths;"is one divisible by three";"is one divisible by three";"is 1005 divisible by 3"
21449;qa;maths;"convert ten inches to centimeters";"convert ten inches to centimeters";"Convert 10 inches to centimeters."
18355;qa;maths;"what is the answer to this math question";"what is the answer to this math question";"what is the answer to this math question?"
2999;qa;maths;"three times two equals six";"three times two equals six";"3*2=6"
21463;qa;maths;"how many inches make one feet";"how many inches make one feet";"How many inches make one feet?"
17914;qa;maths;"what is the square root of four";"what is the square root of four";"What is the square root of 4 ?"
8965;qa;maths;"can you add up thirteen plus five plus nine for me";"can you add up thirteen plus five plus nine for me";"Can you add up 13+5+9 for me?"
23404;qa;maths;"what is twenty percent of one hundred and twenty";"what is twenty percent of one hundred and twenty";"What is 20 % of 120?"
12444;qa;maths;"what is five divided by one";"what is five divided by one";"What is 5 divided by 1"
null;qa;maths;"what is the sum of 9 and 12";"what is the sum of 9 and 12";"null"
4879;qa;maths;"what is the linear equation";"what is the linear equation";"What is the linear equation"
8080;qa;maths;"tell me sum of five and six";"tell me sum of five and six";"Tell me sum of five and six"
15513;qa;maths;"how much money will i make for the week if i make dollars per hour and work twenty hours";"how much money will i make for the week if i make dollars per hour and work twenty hours";"How much money will I make for the week if I make $8.00 per hour and work 20 hours?"
4498;qa;maths;"solution for eighty one divided by nine";"solution for eighty one divided by nine";"solution for 81 divided by 9"
12080;qa;maths;"what is ten divided by five";"what is ten divided by five";"What is 10 divided by 5"
12396;qa;maths;"show me the answer for this problem two hundred and forty six plus six hundred and fifty four";"show me the answer for this problem two hundred and forty six plus six hundred and fifty four";"Show me the answer for this problem 246 + 654"
16655;qa;maths;"what is the square root of ten";"what is the square root of ten";"What is the square root of ten?"
24053;qa;maths;"what is the square root of ninety seven";"what is the square root of ninety seven";"what is the square root of 97"
25049;qa;maths;"what is the square root of thirty four";"what is the square root of thirty four";"what is the square root of 34?"
752;qa;maths;"seven times seven";"seven times seven";"Seven times seven"
11217;qa;maths;"what is five minus one";"what is five minus one";"what is 5 minus 1"
8178;qa;maths;"tell me if five hundred and forty is subtracted seven time by twenty eight";"tell me if five hundred and forty is subtracted seven time by twenty eight";"tell me if 540 is subtracted seven time by 28."
8347;qa;maths;"solve the calculation";"solve the calculation";"solve the calculation."
14306;qa;maths;"what is the square root of thirty six";"what is the square root of thirty six";"what is the square root of 36"
null;qa;maths;"what is the square of 4";"what is the square of 4";"null"
2998;qa;maths;"four plus five equals nine";"four plus five equals nine";"4+5=9"
12079;qa;maths;"whats ten percent off forty dollars";"whats ten percent off forty dollars";"Whats 10 percent  off 40 dollars"
14305;qa;maths;"what is twenty four times twenty four";"what is twenty four times twenty four";"what is 24 times 24"
25050;qa;maths;"divide seventy six in two parts";"divide seventy six in two parts";"divide 76 in two parts"
3823;qa;maths;"what is three times seven";"what is three times seven";"What is 3 times 7"
8081;qa;maths;"find me square root of forty nine";"find me square root of forty nine";"Find me square root of forty nine"
null;qa;maths;"what is fifty five minus two";"what is fifty five minus two";"null"
25919;qa;maths;"how much is twelve divided by four";"how much is twelve divided by four";"How much is 12 divided by 4?"
16656;qa;maths;"how many miles in five kilometers";"how many miles in five kilometers";"How many miles in 5 kilometers?"
11466;qa;maths;"what is twelve plus one hundred and ninety six";"what is twelve plus one hundred and ninety six";"What is 12 plus 196?"
18356;qa;maths;"can you help me find the answer to this question";"can you help me find the answer to this question";"can you help me find the answer to this question?"
5467;qa;maths;"what is the square root of forty two";"what is the square root of forty two";"What is the square root of 42?"
7359;qa;maths;"what is the answer to that question";"what is the answer to that question";"what is the answer to that question"
11283;qa;maths;"how do i get the answer to two plus two";"how do i get the answer to two plus two";"How do i get the answer to 2 plus 2?"
13295;qa;maths;"what is twelve divided by four";"what is twelve divided by four";"What is twelve divided by four?"
