answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
4670;music;settings;"turn on [app_name : spotify] [player_setting : shuffle]";"turn on spotify shuffle";"Turn on Spotify shuffle."
15074;music;settings;"turn on [player_setting : shuffle]";"turn on shuffle";"turn on shuffle"
3468;music;settings;"[player_setting : stop repeating] this song";"stop repeating this song";"Stop repeating this song."
16328;music;settings;"[player_setting : move] to the next song in the list";"move to the next song in the list";"Move to the next song in the list."
7130;music;settings;"[player_setting : repeat] song number ten from [playlist_name : main list]";"repeat song number ten from main list";"repeat song no 10 from main list"
20490;music;settings;"olly [player_setting : shuffle] playlist";"olly shuffle playlist";"Siri, shuffle playlist"
20430;music;settings;"olly skip two songs";"olly skip two songs";"Siri, skip two songs"
8717;music;settings;"[player_setting : repeat] [music_genre : jazz]";"repeat jazz";"repeat jazz"
9393;music;settings;"set [media_type : track] twenty eight in music player on [player_setting : repeat]";"set track twenty eight in music player on repeat";"Set track 28 in music player on repeat."
8716;music;settings;"[player_setting : repeat] song";"repeat song";"repeat song"
8718;music;settings;"[player_setting : repeat] [media_type : music]";"repeat music";"repeat music"
20784;music;settings;"please [player_setting : repeat] the last song";"please repeat the last song";"Please repeat the last song"
2310;music;settings;"[player_setting : repeat] album";"repeat album";"Repeat album."
8929;music;settings;"[player_setting : repeat] the music";"repeat the music";"Repeat the music"
