answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
26266;play;game;"please play [game_name : trivial pursuit] with me";"please play trivial pursuit with me";"Please play Trivial Pursuit with me."
null;play;game;"let's play [game_name : chess]";"let's play chess";"null"
16449;play;game;"i feel like playing [game_name : chess] can you play that";"i feel like playing chess can you play that";"I feel like playing chess, can you play that?"
23371;play;game;"open [game_name : temple run] game";"open temple run game";"open temple run game"
17429;play;game;"open [game_name : chess] play against me";"open chess play against me";"Open chess, play against me"
22478;play;game;"play [game_name : football] with me";"play football with me";"Play football with me"
20589;play;game;"let's play a game how about [game_name : tic tac toe]";"let's play a game how about tic tac toe";"Let's play a game.  How about tic-tac-toe"
24191;play;game;"play [game_name : papa pear saga]";"play papa pear saga";"play papa pear saga"
23354;play;game;"play [game_name : tic tac toe] with me";"play tic tac toe with me";"Play tic-tac-toe with me"
16089;play;game;"play [game_name : subway surfers] with me";"play subway surfers with me";"Play Subway surfers with me."
23355;play;game;"lets play [game_name : chess] together";"lets play chess together";"Lets play chess together"
24379;play;game;"play game";"play game";"play game"
16447;play;game;"can you play [game_name : tic tac toe]";"can you play tic tac toe";"Can you play tic tac toe?"
24829;play;game;"play a game of [game_name : contra] as a second player";"play a game of contra as a second player";"play a game of contra as a second player"
24436;play;game;"play a game of [game_name : chess] with me";"play a game of chess with me";"Play a game of Chess with me."
21187;play;game;"please play my [game_name : cricket] game";"please play my cricket game";"PLEASE PLAY MY CRICKET GAME."
27152;play;game;"Lets play [game_name : tic tac toe]";"Lets play tic tac toe";"Olly, lets play tic tac toe."
24758;play;game;"[game_name : mario]";"mario";"mario"
21219;play;game;"start [game_name : angry bird]";"start angry bird";"start angry bird"
