answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
14833;social;query;"can you show me the popular posts from [media_type : facebook] [date : today]";"can you show me the popular posts from facebook today";"Can you show me the popular posts from Facebook today?"
15764;social;query;"what's trending on social media";"what's trending on social media";"What's trending on social media?"
12620;social;query;"tell me what's trending on [media_type : twitter]";"tell me what's trending on twitter";"Tell me what's trending on Twitter."
3960;social;query;"are there any new snaps on [media_type : snapchat]";"are there any new snaps on snapchat";"Are there any new snaps on Snapchat?"
11158;social;query;"what is the latest from my feed";"what is the latest from my feed";"what is the latest from my feed?"
3508;social;query;"do i have any new [media_type : facebook] notifications";"do i have any new facebook notifications";"Do I have any new Facebook notifications?"
8101;social;query;"what is trending on [media_type : twitter]";"what is trending on twitter";"What is trending on Twitter?"
24413;social;query;"what are the latest tweets on my [media_type : twitter] account";"what are the latest tweets on my twitter account";"What are the latest tweets on my Twitter account"
11952;social;query;"show me my social media notifications";"show me my social media notifications";"show me my social media notifications"
5307;social;query;"check how many likes did i got on my most recent post";"check how many likes did i got on my most recent post";"Check how many likes did I got on my most recent post?"
27108;social;query;"check [media_type : facebook] and [media_type : twitter] and tell me if anything interesting is happening";"check facebook and twitter and tell me if anything interesting is happening";"Check facebook and twitter and tell me if anything interesting is happening."
18120;social;query;"what are trending topics on [media_type : twitter] right now";"what are trending topics on twitter right now";"What are trending topics on Twitter right now?"
4601;social;query;"check my [media_type : facebook] for notifications";"check my facebook for notifications";"Check my Facebook for notifications"
24570;social;query;"social info";"social info";"social info"
10651;social;query;"what's new on my [media_type : facebook] account";"what's new on my facebook account";"what's new on my Facebook account?"
2562;social;query;"what was the last thing my [relation : mom] said";"what was the last thing my mom said";"What was the last thing my mom said?"
15763;social;query;"what's happening on social media right now";"what's happening on social media right now";"What's happening on social media right now?"
5752;social;query;"whats online";"whats online";"wats online, PDA?"
