answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
25968;alarm;query;"tell me time of alarm you set";"tell me time of alarm you set";"Tell me time of alarm you set"
17726;alarm;query;"list all of my alarms";"list all of my alarms";"<List all of my alarms>"
3602;alarm;query;"alarm settings";"alarm settings";"Alarm settings"
3022;alarm;query;"what alarms are set for [date : today]";"what alarms are set for today";"what alarms are set for today"
23504;alarm;query;"please see see for me the alarms that you have set [date : sunday] [timeofday : morning]";"please see see for me the alarms that you have set sunday morning";"Please see see for me the alarms that you have set Sunday morning."
23481;alarm;query;"tell me when the next alarms are for";"tell me when the next alarms are for";"Tell me when the next alarms are for."
18800;alarm;query;"please tell me what alarms are on";"please tell me what alarms are on";"please tell me what alarms are on."
18274;alarm;query;"please list all my alarms";"please list all my alarms";"Please list all my alarms"
3568;alarm;query;"what alarms are set right now";"what alarms are set right now";"What alarms are set right now?"
6493;alarm;query;"check whether i have set any alarms for [date : tomorrow] [timeofday : morning]";"check whether i have set any alarms for tomorrow morning";"Check whether I have set any alarms for tomorrow morning"
563;alarm;query;"tell me about my alarms";"tell me about my alarms";"Tell me about my alarms"
6817;alarm;query;"do i have any alarms set";"do i have any alarms set";"Do I have any alarms set, Olly?"
15474;alarm;query;"is there an alarm at [time : four am]";"is there an alarm at four am";"is there an alarm at 4 am?"
6763;alarm;query;"show me my alarms";"show me my alarms";"Show me my alarms"
15574;alarm;query;"what alarm time had you set";"what alarm time had you set";"What alarm time had you set?"
2911;alarm;query;"can you tell me what alarms i have set";"can you tell me what alarms i have set";"can you tell me what alarms i have set"
23036;alarm;query;"please let me know the [timeofday : morning] alarm time kept for [time : weekends]";"please let me know the morning alarm time kept for weekends";"Please let me know the morning alarm time kept for Weekends"
3386;alarm;query;"what time is the alarm set for [date : tomorrow]";"what time is the alarm set for tomorrow";"what time is the alarm set for tomorrow?"
26291;alarm;query;"may i know the about alarm you set";"may i know the about alarm you set";"may i know the about alarm you set"
15605;alarm;query;"what alarms do i have set right now";"what alarms do i have set right now";"What alarms do I have set right now?"
7194;alarm;query;"checkout [date : today] alarm of meeting";"checkout today alarm of meeting";"Checkout today alarm of meeting."
23479;alarm;query;"report alarm settings";"report alarm settings";"Report alarm settings."
23505;alarm;query;"see see for me the alarms that you have set [date : tomorrow] [timeofday : morning]";"see see for me the alarms that you have set tomorrow morning";"See see for me the alarms that you have set [date : tomorrow] morning."
11544;alarm;query;"is there an alarm for [time : ten am]";"is there an alarm for ten am";"Is there an alarm for 10am?"
2507;alarm;query;"confirm the alarm time";"confirm the alarm time";"confirm the alarm time"
17725;alarm;query;"show my alarms";"show my alarms";"<Show my alarms>"
25967;alarm;query;"at what time have you set alarm for me";"at what time have you set alarm for me";"At what time have you set alarm for me"
562;alarm;query;"please list active alarms";"please list active alarms";"Please list active alarms"
17897;alarm;query;"please tell me about upcoming alarms";"please tell me about upcoming alarms";"Please tell me about upcoming alarms."
12132;alarm;query;"what alarms have i set for [date : tomorrow]";"what alarms have i set for tomorrow";"what alarms have i set for tomorrow"
8134;alarm;query;"have i set any alarm for [date : today]";"have i set any alarm for today";"have i set any alarm for today."
9720;alarm;query;"what alarms are upcoming";"what alarms are upcoming";"what alarms are upcoming?"
21709;alarm;query;"what alarms do you have set";"what alarms do you have set";"PDA, What alarms do you have set?"
6901;alarm;query;"show me all scheduled alarms";"show me all scheduled alarms";"Show me all scheduled alarms"
16488;alarm;query;"could you tell me about the alerts i have set";"could you tell me about the alerts i have set";"Could you tell me about the alerts I have set?"
12131;alarm;query;"show me my alarms i have set";"show me my alarms i have set";"show me my alarms i have set"
12098;alarm;query;"do i have any alarms for [date : tomorrow] [timeofday : morning]";"do i have any alarms for tomorrow morning";"Do I have any alarms for tomorrow morning?"
17311;alarm;query;"what alarm do i have set for [date : today]";"what alarm do i have set for today";"what alarm do i have set for today"
2511;alarm;query;"do i have an alarm set";"do i have an alarm set";"do I have an alarm set"
14937;alarm;query;"show me the list of alarms";"show me the list of alarms";"Show me the list of alarms"
15434;alarm;query;"just to confirm you set the alarm to go off at [time : eight hundred]";"just to confirm you set the alarm to go off at eight hundred";"Just to confirm, you set the alarm to go off at 8:00?"
22759;alarm;query;"did i set my [alarm_type : house alarm]";"did i set my house alarm";"DID I SET MY HOUSE ALARM?"
11258;alarm;query;"tell me my alarms";"tell me my alarms";"olly tell me my alarms"
13458;alarm;query;"what are the next three alarms set to go off";"what are the next three alarms set to go off";"What are the next three alarms set to go off?"
25498;alarm;query;"check if alarm is set for [time : six am]";"check if alarm is set for six am";"Check if alarm is set for 6 AM"
2913;alarm;query;"i need to set an alarm how many do i have set";"i need to set an alarm how many do i have set";"i need to set an alarm how many do i have set"
14528;alarm;query;"is the alarm to the backdoor set and ready to go";"is the alarm to the backdoor set and ready to go";"is the alarm to the backdoor set and ready to go?"
14527;alarm;query;"what time do i have my alarm set for [date : tomorrow]";"what time do i have my alarm set for tomorrow";"What time do I have my alarm set for tomorrow?"
17652;alarm;query;"what's the description for the alarm at [time : eleven am]";"what's the description for the alarm at eleven am";"What's the description for the alarm at 11am?"
21710;alarm;query;"are there any alarms set";"are there any alarms set";"PDA, Are there any alarms set?"
3570;alarm;query;"are there any alarms set right now";"are there any alarms set right now";"Are there any alarms set right now?"
1728;alarm;query;"are there any alarms";"are there any alarms";"Are there any alarms"
11262;alarm;query;"do i have alarms set for [date : today]";"do i have alarms set for today";"Do I have alarms set for today?"
2680;alarm;query;"how many alarms are listed";"how many alarms are listed";"How many alarms are listed?"
15664;alarm;query;"remind me about my alarms [date : today]";"remind me about my alarms today";"Remind me about my alarms today."
14143;alarm;query;"list alarms";"list alarms";"list alrams"
25901;alarm;query;"do i have alarms set [time : before six] in the [timeofday : morning]";"do i have alarms set before six in the morning";"Do i have alarms set before  6 in the morning?"
4901;alarm;query;"how many alarms do i have";"how many alarms do i have";"PDA how many alarms do I have?"
23503;alarm;query;"just see for me the alarms that you have set [date : today] [timeofday : morning]";"just see for me the alarms that you have set today morning";"Just see for me the alarms that you have set today morning."
7758;alarm;query;"what alarms are on right now";"what alarms are on right now";"What alarms are on right now?"
26292;alarm;query;"please tell about the alarms";"please tell about the alarms";"please tell about the alarms"
16784;alarm;query;"review set alarms";"review set alarms";"Review set alarms."
4096;alarm;query;"is my work alarm set for [date : tomorrow]";"is my work alarm set for tomorrow";"Is my work alarm set for tomorrow?"
2509;alarm;query;"what alarms are set";"what alarms are set";"what alarms are set"
11543;alarm;query;"what time are my alarms";"what time are my alarms";"What time are my alarms?"
15472;alarm;query;"which alarms are set in the [device_type : phone]";"which alarms are set in the phone";"Which alarms are set in the phone?"
4902;alarm;query;"is my alarm set for [date : tomorrow] [timeofday : morning]";"is my alarm set for tomorrow morning";"PDA is my alarm set for tomorrow morning?"
20572;alarm;query;"check if any alarm is there after [time : five am]";"check if any alarm is there after five am";"check if any alarm is there after 5am"
4097;alarm;query;"what alarms do i have set for [date : thursday]";"what alarms do i have set for thursday";"What alarms do I have set for Thursday?"
7192;alarm;query;"checkout [date : today] set alarm of [time : ten am]";"checkout today set alarm of ten am";"Checkout today set alarm of 10 a.m."
4098;alarm;query;"is my school alarm set";"is my school alarm set";"Is my school alarm set?"
5209;alarm;query;"what alarms do i have scheduled for [date : tomorrow]";"what alarms do i have scheduled for tomorrow";"PDA what alarms do I have scheduled for tomorrow?"
22761;alarm;query;"tell me if my alarm is set for the [timeofday : morning]";"tell me if my alarm is set for the morning";"TELL ME IF MY ALARM IS SET FOR THE MORNING?"
13951;alarm;query;"do i have an alarm set for [date : tomorrow]";"do i have an alarm set for tomorrow";"Olly do I have an alarm set for tomorrow."
5745;alarm;query;"what alarms do i have";"what alarms do i have";"what alarms do I have PDA?"
22959;alarm;query;"when was the last alarm set";"when was the last alarm set";"when was the last alarm set"
3024;alarm;query;"[date : today] how many alarms do i have set";"today how many alarms do i have set";"today how many alarms do i have set"
10634;alarm;query;"how many alarms do i have set for [timeofday : morning] hours between [time : six and nine am]";"how many alarms do i have set for morning hours between six and nine am";"How many alarms do I have set for morning hours between 6 and 9 am"
24403;alarm;query;"what is [date : tomorrow's] alarm time set to";"what is tomorrow's alarm time set to";"What is [date : tomorrow]'s alarm time set to?"
23035;alarm;query;"please let me know the [timeofday : morning] alarm time for [date : weekdays]";"please let me know the morning alarm time for weekdays";"Please let me know the morning alarm time for Weekdays"
17650;alarm;query;"can you tell me about the alarm called bed";"can you tell me about the alarm called bed";"Can you tell me about the alarm called 'Bed'?"
2210;alarm;query;"read me my alarms";"read me my alarms";"Read me my alarms"
